Subject,Start Date,All Day Event,Start Time,End Time,Location,Description
Added manual download,14/05/2021,TRUE,,,Julien Kellerhals,
Added frost,14/05/2021,TRUE,,,Julien Kellerhals,
Fixed multi click bug,13/05/2021,TRUE,,,Julien Kellerhals,
Added todo,13/05/2021,TRUE,,,Julien Kellerhals,
Moved mv creation code,13/05/2021,TRUE,,,Julien Kellerhals,
Added increment load for new configs,12/05/2021,TRUE,,,Julien Kellerhals,
Added config,12/05/2021,TRUE,,,Julien Kellerhals,
Added new server config,04/05/2021,TRUE,,,Julien Kellerhals,
Fixed last refresh query,02/05/2021,TRUE,,,Julien Kellerhals,
Added stage mv + triggers,02/05/2021,TRUE,,,Julien Kellerhals,
Fixed refresh + inspector bug,02/05/2021,TRUE,,,Julien Kellerhals,
Added select to mv,01/05/2021,TRUE,,,Julien Kellerhals,
Added mv + update trigger,01/05/2021,TRUE,,,Julien Kellerhals,
Added start of table trigger,01/05/2021,TRUE,,,Julien Kellerhals,
Fixed update bug,01/05/2021,TRUE,,,Julien Kellerhals,
Added row creation,30/04/2021,TRUE,,,Julien Kellerhals,
Changed row creation logic,29/04/2021,TRUE,,,Julien Kellerhals,
Added structCreate function subfunctions,29/04/2021,TRUE,,,Julien Kellerhals,
Fixed enabled button bug,29/04/2021,TRUE,,,Julien Kellerhals,
TODO combine create and refresh functions,28/04/2021,TRUE,,,Julien Kellerhals,
Extracted createRowStructure function,28/04/2021,TRUE,,,Julien Kellerhals,
Added data refresh functionality,28/04/2021,TRUE,,,Julien Kellerhals,
Fixed non unique id,28/04/2021,TRUE,,,Julien Kellerhals,
Removed old function,28/04/2021,TRUE,,,Julien Kellerhals,
Added core schema,28/04/2021,TRUE,,,Julien Kellerhals,
Fixed badge overwrite bug,28/04/2021,TRUE,,,Julien Kellerhals,
Added progress,28/04/2021,TRUE,,,Julien Kellerhals,
Added icon to base,28/04/2021,TRUE,,,Julien Kellerhals,
Added favicon to remove 404 error,28/04/2021,TRUE,,,Julien Kellerhals,
Added db ready state,28/04/2021,TRUE,,,Julien Kellerhals,
Fixed breadcrumb refersh,28/04/2021,TRUE,,,Julien Kellerhals,
Fixed interval,28/04/2021,TRUE,,,Julien Kellerhals,
Added workbook,28/04/2021,TRUE,,,Julien Kellerhals,
Added dashboard mockup,28/04/2021,TRUE,,,Julien Kellerhals,
Added click event to anchors,27/04/2021,TRUE,,,Julien Kellerhals,
Added materialize,27/04/2021,TRUE,,,Julien Kellerhals,
Added multi button and disabled support,27/04/2021,TRUE,,,Julien Kellerhals,
Changed fe error display,27/04/2021,TRUE,,,Julien Kellerhals,
Added dynamic collapsible div column,27/04/2021,TRUE,,,Julien Kellerhals,
Added dual debug config,27/04/2021,TRUE,,,Julien Kellerhals,
Added dynamic running service,26/04/2021,TRUE,,,Julien Kellerhals,
Added mockup,26/04/2021,TRUE,,,Julien Kellerhals,
Added base script,26/04/2021,TRUE,,,Julien Kellerhals,
Added cleanup progress,26/04/2021,TRUE,,,Julien Kellerhals,
Removed script from html,25/04/2021,TRUE,,,Julien Kellerhals,
Removed old pages,25/04/2021,TRUE,,,Julien Kellerhals,
Added by param refresh and data,23/04/2021,TRUE,,,Julien Kellerhals,
Changed layout of pop out,23/04/2021,TRUE,,,Julien Kellerhals,
Added increment load to idaweb,23/04/2021,TRUE,,,Julien Kellerhals,
Added core load for station and parameter,23/04/2021,TRUE,,,Julien Kellerhals,
Fixed performance issue and empty coordinates,23/04/2021,TRUE,,,Julien Kellerhals,
Added station_t and param_t,22/04/2021,TRUE,,,Julien Kellerhals,
Fixed core load and added de-duplication,21/04/2021,TRUE,,,Julien Kellerhals,
Added core version progress,21/04/2021,TRUE,,,Julien Kellerhals,
Added stage action block,21/04/2021,TRUE,,,Julien Kellerhals,
Added action blocking and actions to buttons,21/04/2021,TRUE,,,Julien Kellerhals,
Added threading logic to webscraping,21/04/2021,TRUE,,,Julien Kellerhals,
Added idaweb core update,21/04/2021,TRUE,,,Julien Kellerhals,
Added string format,20/04/2021,TRUE,,,Julien Kellerhals,
Added rows and last refreshed display,20/04/2021,TRUE,,,Julien Kellerhals,
Added mockup for tables page,19/04/2021,TRUE,,,Julien Kellerhals,
Added - to nan replace,19/04/2021,TRUE,,,Julien Kellerhals,
Fixed config overwrite,19/04/2021,TRUE,,,Julien Kellerhals,
Added sql append after each param,19/04/2021,TRUE,,,Julien Kellerhals,
Added basic dashboard example,18/04/2021,TRUE,,,Julien Kellerhals,
Added basic dash app,17/04/2021,TRUE,,,Julien Kellerhals,
Added progress bar to etl,16/04/2021,TRUE,,,Julien Kellerhals,
Added tables to schema div,16/04/2021,TRUE,,,Julien Kellerhals,
Added action button disabling,16/04/2021,TRUE,,,Julien Kellerhals,
Fixed db not found error in table status,16/04/2021,TRUE,,,Julien Kellerhals,
Added data,16/04/2021,TRUE,,,Julien Kellerhals,
Added back to first page in idaweb order,16/04/2021,TRUE,,,Julien Kellerhals,
Added ETL buttons,16/04/2021,TRUE,,,Julien Kellerhals,
Added table creation to admin page,16/04/2021,TRUE,,,Julien Kellerhals,
Added breadcrumb on tables page,16/04/2021,TRUE,,,Julien Kellerhals,
Added order alert test,16/04/2021,TRUE,,,Julien Kellerhals,
Added dir create,15/04/2021,TRUE,,,Julien Kellerhals,
Added scraping to main func,15/04/2021,TRUE,,,Julien Kellerhals,
Formated code,15/04/2021,TRUE,,,Julien Kellerhals,
Added download logic,15/04/2021,TRUE,,,Julien Kellerhals,
Added idaweb stage etl,15/04/2021,TRUE,,,Julien Kellerhals,
Added brefard0 and rs1000m0 data,15/04/2021,TRUE,,,Julien Kellerhals,
Added py cache to gitignore,15/04/2021,TRUE,,,Julien Kellerhals,
Added a few comments,14/04/2021,TRUE,,,Julien Kellerhals,
Added material design,13/04/2021,TRUE,,,Julien Kellerhals,
Added etl to core process for meteoswiss data,13/04/2021,TRUE,,,Julien Kellerhals,
Moved measurements from stage to core,04/04/2021,TRUE,,,Julien Kellerhals,
Added db create to table page,04/04/2021,TRUE,,,Julien Kellerhals,
Added database not created error and start of core,04/04/2021,TRUE,,,Julien Kellerhals,
Moved api files,03/04/2021,TRUE,,,Julien Kellerhals,
Split app into multiple blueprints,03/04/2021,TRUE,,,Julien Kellerhals,
Added database start on tables.html,02/04/2021,TRUE,,,Julien Kellerhals,
Added comments and cleaned up code,02/04/2021,TRUE,,,Julien Kellerhals,
Added server event log on admin page,02/04/2021,TRUE,,,Julien Kellerhals,
Added engine status to db.py,02/04/2021,TRUE,,,Julien Kellerhals,
Finished engine status and added refresh check,02/04/2021,TRUE,,,Julien Kellerhals,
Fixed driver not found for 10 sec,02/04/2021,TRUE,,,Julien Kellerhals,
Removed thread kill,02/04/2021,TRUE,,,Julien Kellerhals,
Added driver close detection,02/04/2021,TRUE,,,Julien Kellerhals,
Changed from driver close to quit,02/04/2021,TRUE,,,Julien Kellerhals,
Added database status,01/04/2021,TRUE,,,Julien Kellerhals,
Cleaned admin page output,01/04/2021,TRUE,,,Julien Kellerhals,
Added driver path status,01/04/2021,TRUE,,,Julien Kellerhals,
Added status stream,01/04/2021,TRUE,,,Julien Kellerhals,
Separated stream for engine status,01/04/2021,TRUE,,,Julien Kellerhals,
Added driver status,31/03/2021,TRUE,,,Julien Kellerhals,
Converted abstractDriver to class,31/03/2021,TRUE,,,Julien Kellerhals,
Added engine status to app and db,31/03/2021,TRUE,,,Julien Kellerhals,
Added engine status,31/03/2021,TRUE,,,Julien Kellerhals,
Fixed announcer problem,31/03/2021,TRUE,,,Julien Kellerhals,
Added format sse and stream to announcer class,31/03/2021,TRUE,,,Julien Kellerhals,
Added templates of admin page,31/03/2021,TRUE,,,Julien Kellerhals,
Added base.html,31/03/2021,TRUE,,,Julien Kellerhals,
Added routes and changed stream name,31/03/2021,TRUE,,,Julien Kellerhals,
Changed quotes,31/03/2021,TRUE,,,Julien Kellerhals,
Added docstrings,30/03/2021,TRUE,,,Julien Kellerhals,
Added create function for js and ordername and reduced object iteration,29/03/2021,TRUE,,,Julien Kellerhals,
Converted yaml config to xml,29/03/2021,TRUE,,,Julien Kellerhals,
Fixed merge problems,26/03/2021,TRUE,,,Julien Kellerhals,
Added driver to sse,26/03/2021,TRUE,,,Julien Kellerhals,
Fixed not terminating parent process,26/03/2021,TRUE,,,Julien Kellerhals,
Removed logging in headless mode,26/03/2021,TRUE,,,Julien Kellerhals,
Added sse testing,26/03/2021,TRUE,,,Julien Kellerhals,
Changed line height,26/03/2021,TRUE,,,Julien Kellerhals,
Added basic styling,26/03/2021,TRUE,,,Julien Kellerhals,
Added threading,26/03/2021,TRUE,,,Julien Kellerhals,
Removed eager page loading and formated to PEP8,26/03/2021,TRUE,,,Julien Kellerhals,
Reverted sse changes,25/03/2021,TRUE,,,Julien Kellerhals,
Added sse,25/03/2021,TRUE,,,Julien Kellerhals,
Added basic sse,25/03/2021,TRUE,,,Julien Kellerhals,
Formatted code PEP8 ish,24/03/2021,TRUE,,,Julien Kellerhals,
Change folder name,24/03/2021,TRUE,,,Julien Kellerhals,
Added driver to testing,24/03/2021,TRUE,,,Julien Kellerhals,
Cleaned code a bit,24/03/2021,TRUE,,,Julien Kellerhals,
Added time delta progress,23/03/2021,TRUE,,,Julien Kellerhals,
Changed section lookup,23/03/2021,TRUE,,,Julien Kellerhals,
Split code into function per page,23/03/2021,TRUE,,,Julien Kellerhals,
Changed timeout and loading strategy,23/03/2021,TRUE,,,Julien Kellerhals,
Added param example,23/03/2021,TRUE,,,Julien Kellerhals,
Added driver wait,22/03/2021,TRUE,,,Julien Kellerhals,
Fixed duplicate inventory entries bug,22/03/2021,TRUE,,,Julien Kellerhals,
Added inventory bug fix progress,22/03/2021,TRUE,,,Julien Kellerhals,
Added test and example config,21/03/2021,TRUE,,,Julien Kellerhals,
Added order scrapping,19/03/2021,TRUE,,,Julien Kellerhals,
Added config and config read code,19/03/2021,TRUE,,,Julien Kellerhals,
Added sql engine start,18/03/2021,TRUE,,,Julien Kellerhals,
Add dir creation,18/03/2021,TRUE,,,Julien Kellerhals,
Changed condition,18/03/2021,TRUE,,,Julien Kellerhals,
Added driver creation link,17/03/2021,TRUE,,,Julien Kellerhals,
Added pandas parsing of ALT data,17/03/2021,TRUE,,,Julien Kellerhals,
Fixed driver not starting bug,17/03/2021,TRUE,,,Julien Kellerhals,
Fixed chrome driver install bug,17/03/2021,TRUE,,,Julien Kellerhals,
Added driver abstraction and test route,17/03/2021,TRUE,,,Julien Kellerhals,
Added browser abstraction,17/03/2021,TRUE,,,Julien Kellerhals,
Added automatic driver download,17/03/2021,TRUE,,,Julien Kellerhals,
Added web request demo,11/03/2021,TRUE,,,Julien Kellerhals,
Added config for flask launch,11/03/2021,TRUE,,,Julien Kellerhals,
Added postgres conn engine,08/03/2021,TRUE,,,Julien Kellerhals,
Added refresh path,05/03/2021,TRUE,,,Julien Kellerhals,
Added base project,05/03/2021,TRUE,,,Julien Kellerhals,
added unittests on adminpage,15/04/2021,TRUE,,,lars.altschul,
added announcer to webscraping_test,15/04/2021,TRUE,,,lars.altschul,
Added classes for pytest,24/03/2021,TRUE,,,lars.altschul,
webscraping_test formated PEP8 ish,24/03/2021,TRUE,,,lars.altschul,
added first pytest for webscraping_test,23/03/2021,TRUE,,,lars.altschul,
cleaned code,19/03/2021,TRUE,,,lars.altschul,
Added class to create DB and Table,19/03/2021,TRUE,,,lars.altschul,
call testGlobal() before create DB,18/03/2021,TRUE,,,lars.altschul,
change etl to stage,18/03/2021,TRUE,,,lars.altschul,
Create DB and schemas,18/03/2021,TRUE,,,lars.altschul,
