 

stn;time;brefard0
UEB;20060901;0
UEB;20060902;0
UEB;20060903;0
UEB;20060904;0
UEB;20060905;0
UEB;20060906;0
UEB;20060907;368
UEB;20060908;1
UEB;20060909;0
UEB;20060910;8
UEB;20060911;16
UEB;20060912;7
UEB;20060913;0
UEB;20060914;0
UEB;20060915;0
UEB;20060916;0
UEB;20060917;1
UEB;20060918;0
UEB;20060919;0
UEB;20060920;0
UEB;20060921;0
UEB;20060922;0
UEB;20060923;0
UEB;20060924;0
UEB;20060925;0
UEB;20060926;0
UEB;20060927;0
UEB;20060928;0
UEB;20060929;1
UEB;20060930;21
UEB;20061001;0
UEB;20061002;1
UEB;20061003;2
UEB;20061004;0
UEB;20061005;0
UEB;20061006;0
UEB;20061007;0
UEB;20061008;0
UEB;20061009;0
UEB;20061010;0
UEB;20061011;0
UEB;20061012;0
UEB;20061013;0
UEB;20061014;0
UEB;20061015;0
UEB;20061016;0
UEB;20061017;0
UEB;20061018;1
UEB;20061019;0
UEB;20061020;0
UEB;20061021;0
UEB;20061022;0
UEB;20061023;4
UEB;20061024;0
UEB;20061025;0
UEB;20061026;0
UEB;20061027;0
UEB;20061028;0
UEB;20061029;0
UEB;20061030;0
UEB;20061031;0
UEB;20061101;0
UEB;20061102;0
UEB;20061103;0
UEB;20061104;0
UEB;20061105;0
UEB;20061106;0
UEB;20061107;0
UEB;20061108;0
UEB;20061109;0
UEB;20061110;0
UEB;20061111;0
UEB;20061112;0
UEB;20061113;0
UEB;20061114;0
UEB;20061115;0
UEB;20061116;0
UEB;20061117;0
UEB;20061118;0
UEB;20061119;0
UEB;20061120;0
UEB;20061121;0
UEB;20061122;0
UEB;20061123;0
UEB;20061124;0
UEB;20061125;0
UEB;20061126;0
UEB;20061127;0
UEB;20061128;0
UEB;20061129;0
UEB;20061130;0
UEB;20061201;0
UEB;20061202;0
UEB;20061203;0
UEB;20061204;0
UEB;20061205;0
UEB;20061206;0
UEB;20061207;0
UEB;20061208;0
UEB;20061209;0
UEB;20061210;0
UEB;20061211;0
UEB;20061212;0
UEB;20061213;0
UEB;20061214;0
UEB;20061215;0
UEB;20061216;0
UEB;20061217;0
UEB;20061218;0
UEB;20061219;0
UEB;20061220;0
UEB;20061221;0
UEB;20061222;0
UEB;20061223;0
UEB;20061224;0
UEB;20061225;0
UEB;20061226;0
UEB;20061227;0
UEB;20061228;0
UEB;20061229;0
UEB;20061230;0
UEB;20061231;0
UEB;20070101;1
UEB;20070102;0
UEB;20070103;0
UEB;20070104;0
UEB;20070105;0
UEB;20070106;0
UEB;20070107;0
UEB;20070108;0
UEB;20070109;0
UEB;20070110;0
UEB;20070111;0
UEB;20070112;0
UEB;20070113;0
UEB;20070114;0
UEB;20070115;0
UEB;20070116;0
UEB;20070117;0
UEB;20070118;0
UEB;20070119;0
UEB;20070120;0
UEB;20070121;0
UEB;20070122;0
UEB;20070123;1
UEB;20070124;0
UEB;20070125;0
UEB;20070126;0
UEB;20070127;0
UEB;20070128;0
UEB;20070129;0
UEB;20070130;0
UEB;20070131;0
UEB;20070201;0
UEB;20070202;0
UEB;20070203;0
UEB;20070204;0
UEB;20070205;0
UEB;20070206;0
UEB;20070207;0
UEB;20070208;0
UEB;20070209;0
UEB;20070210;0
UEB;20070211;6
UEB;20070212;0
UEB;20070213;0
UEB;20070214;0
UEB;20070215;0
UEB;20070216;0
UEB;20070217;0
UEB;20070218;0
UEB;20070219;0
UEB;20070220;0
UEB;20070221;0
UEB;20070222;0
UEB;20070223;0
UEB;20070224;24
UEB;20070225;0
UEB;20070226;0
UEB;20070227;0
UEB;20070228;0
UEB;20070301;0
UEB;20070302;0
UEB;20070303;0
UEB;20070304;0
UEB;20070305;0
UEB;20070306;0
UEB;20070307;0
UEB;20070308;0
UEB;20070309;0
UEB;20070310;0
UEB;20070311;0
UEB;20070312;0
UEB;20070313;0
UEB;20070314;0
UEB;20070315;0
