Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94074

Filename                                Filetype  Station                              Parameter                                                   Period
order_94074_GUT_rhh150mx_4_data.txt     Data      Güttingen                            Precipitation; maximum total per hour of the month          201907-202005
order_94074_GUT_rhh150mx_4_legend.txt   Legend    Güttingen                            Precipitation; maximum total per hour of the month          201907-202005
order_94074_GUT_rhh150mx_5_data.txt     Data      Güttingen                            Precipitation; maximum total per hour of the month          202006-202103
order_94074_GUT_rhh150mx_5_legend.txt   Legend    Güttingen                            Precipitation; maximum total per hour of the month          202006-202103
order_94074_DLHEM_rhh150mx_1_data.txt   Data      Hermaringen                          Precipitation; maximum total per hour of the month          200508-202103
order_94074_DLHEM_rhh150mx_1_legend.txt Legend    Hermaringen                          Precipitation; maximum total per hour of the month          200508-202103
order_94074_BEINS_rhh150mx_1_data.txt   Data      Ins                                  Precipitation; maximum total per hour of the month          199908-201312
order_94074_BEINS_rhh150mx_1_legend.txt Legend    Ins                                  Precipitation; maximum total per hour of the month          199908-201312
order_94074_BEINS_rhh150mx_2_data.txt   Data      Ins                                  Precipitation; maximum total per hour of the month          201402-201403
order_94074_BEINS_rhh150mx_2_legend.txt Legend    Ins                                  Precipitation; maximum total per hour of the month          201402-201403
order_94074_BEINS_rhh150mx_3_data.txt   Data      Ins                                  Precipitation; maximum total per hour of the month          201410-202103
order_94074_BEINS_rhh150mx_3_legend.txt Legend    Ins                                  Precipitation; maximum total per hour of the month          201410-202103
order_94074_MBISL_rhh150mx_1_data.txt   Data      Isleten                              Precipitation; maximum total per hour of the month          201504-201506
order_94074_MBISL_rhh150mx_1_legend.txt Legend    Isleten                              Precipitation; maximum total per hour of the month          201504-201506
order_94074_MBISL_rhh150mx_2_data.txt   Data      Isleten                              Precipitation; maximum total per hour of the month          201507-201508
order_94074_MBISL_rhh150mx_2_legend.txt Legend    Isleten                              Precipitation; maximum total per hour of the month          201507-201508
order_94074_TGKAL_rhh150mx_1_data.txt   Data      Kaltenbach                           Precipitation; maximum total per hour of the month          201008-201009
order_94074_TGKAL_rhh150mx_1_legend.txt Legend    Kaltenbach                           Precipitation; maximum total per hour of the month          201008-201009
order_94074_TGKAL_rhh150mx_2_data.txt   Data      Kaltenbach                           Precipitation; maximum total per hour of the month          201010-201107
order_94074_TGKAL_rhh150mx_2_legend.txt Legend    Kaltenbach                           Precipitation; maximum total per hour of the month          201010-201107
order_94074_TGKAL_rhh150mx_3_data.txt   Data      Kaltenbach                           Precipitation; maximum total per hour of the month          201108-201110
order_94074_TGKAL_rhh150mx_3_legend.txt Legend    Kaltenbach                           Precipitation; maximum total per hour of the month          201108-201110
order_94074_TGKAL_rhh150mx_4_data.txt   Data      Kaltenbach                           Precipitation; maximum total per hour of the month          201111-201209
order_94074_TGKAL_rhh150mx_4_legend.txt Legend    Kaltenbach                           Precipitation; maximum total per hour of the month          201111-201209
order_94074_TGKAL_rhh150mx_5_data.txt   Data      Kaltenbach                           Precipitation; maximum total per hour of the month          201212-201303
order_94074_TGKAL_rhh150mx_5_legend.txt Legend    Kaltenbach                           Precipitation; maximum total per hour of the month          201212-201303
order_94074_TGKAL_rhh150mx_6_data.txt   Data      Kaltenbach                           Precipitation; maximum total per hour of the month          201304-201306
order_94074_TGKAL_rhh150mx_6_legend.txt Legend    Kaltenbach                           Precipitation; maximum total per hour of the month          201304-201306
order_94074_TGKAL_rhh150mx_7_data.txt   Data      Kaltenbach                           Precipitation; maximum total per hour of the month          201307-201308
order_94074_TGKAL_rhh150mx_7_legend.txt Legend    Kaltenbach                           Precipitation; maximum total per hour of the month          201307-201308
order_94074_TGKAL_rhh150mx_8_data.txt   Data      Kaltenbach                           Precipitation; maximum total per hour of the month          201309-201404
order_94074_TGKAL_rhh150mx_8_legend.txt Legend    Kaltenbach                           Precipitation; maximum total per hour of the month          201309-201404
order_94074_TGKAL_rhh150mx_9_data.txt   Data      Kaltenbach                           Precipitation; maximum total per hour of the month          201405-201407
order_94074_TGKAL_rhh150mx_9_legend.txt Legend    Kaltenbach                           Precipitation; maximum total per hour of the month          201405-201407
order_94074_TGKAL_rhh150mx_10_data.txt  Data      Kaltenbach                           Precipitation; maximum total per hour of the month          201411-201504
order_94074_TGKAL_rhh150mx_10_legend.txt Legend    Kaltenbach                           Precipitation; maximum total per hour of the month          201411-201504
order_94074_TGKAL_rhh150mx_11_data.txt  Data      Kaltenbach                           Precipitation; maximum total per hour of the month          201508-201512
order_94074_TGKAL_rhh150mx_11_legend.txt Legend    Kaltenbach                           Precipitation; maximum total per hour of the month          201508-201512
order_94074_TGKAL_rhh150mx_12_data.txt  Data      Kaltenbach                           Precipitation; maximum total per hour of the month          201601-201604
order_94074_TGKAL_rhh150mx_12_legend.txt Legend    Kaltenbach                           Precipitation; maximum total per hour of the month          201601-201604
order_94074_TGKAL_rhh150mx_13_data.txt  Data      Kaltenbach                           Precipitation; maximum total per hour of the month          201605-201703
order_94074_TGKAL_rhh150mx_13_legend.txt Legend    Kaltenbach                           Precipitation; maximum total per hour of the month          201605-201703
order_94074_TGKAL_rhh150mx_14_data.txt  Data      Kaltenbach                           Precipitation; maximum total per hour of the month          201704-201707
order_94074_TGKAL_rhh150mx_14_legend.txt Legend    Kaltenbach                           Precipitation; maximum total per hour of the month          201704-201707
order_94074_TGKAL_rhh150mx_15_data.txt  Data      Kaltenbach                           Precipitation; maximum total per hour of the month          201708-201808
order_94074_TGKAL_rhh150mx_15_legend.txt Legend    Kaltenbach                           Precipitation; maximum total per hour of the month          201708-201808
order_94074_TGKAL_rhh150mx_16_data.txt  Data      Kaltenbach                           Precipitation; maximum total per hour of the month          201809-201811
order_94074_TGKAL_rhh150mx_16_legend.txt Legend    Kaltenbach                           Precipitation; maximum total per hour of the month          201809-201811
order_94074_TGKAL_rhh150mx_17_data.txt  Data      Kaltenbach                           Precipitation; maximum total per hour of the month          201812-202011
order_94074_TGKAL_rhh150mx_17_legend.txt Legend    Kaltenbach                           Precipitation; maximum total per hour of the month          201812-202011
order_94074_TGKAL_rhh150mx_18_data.txt  Data      Kaltenbach                           Precipitation; maximum total per hour of the month          202012-202103
order_94074_TGKAL_rhh150mx_18_legend.txt Legend    Kaltenbach                           Precipitation; maximum total per hour of the month          202012-202103
order_94074_BEKAP_rhh150mx_1_data.txt   Data      Kappelen                             Precipitation; maximum total per hour of the month          199606-202004
order_94074_BEKAP_rhh150mx_1_legend.txt Legend    Kappelen                             Precipitation; maximum total per hour of the month          199606-202004
order_94074_DLKON_rhh150mx_1_data.txt   Data      Konstanz                             Precipitation; maximum total per hour of the month          199508-199604
order_94074_DLKON_rhh150mx_1_legend.txt Legend    Konstanz                             Precipitation; maximum total per hour of the month          199508-199604
order_94074_DLKON_rhh150mx_2_data.txt   Data      Konstanz                             Precipitation; maximum total per hour of the month          199605-199707
order_94074_DLKON_rhh150mx_2_legend.txt Legend    Konstanz                             Precipitation; maximum total per hour of the month          199605-199707
order_94074_DLKON_rhh150mx_3_data.txt   Data      Konstanz                             Precipitation; maximum total per hour of the month          199709-199710
order_94074_DLKON_rhh150mx_3_legend.txt Legend    Konstanz                             Precipitation; maximum total per hour of the month          199709-199710
order_94074_DLKON_rhh150mx_4_data.txt   Data      Konstanz                             Precipitation; maximum total per hour of the month          199801-200003
order_94074_DLKON_rhh150mx_4_legend.txt Legend    Konstanz                             Precipitation; maximum total per hour of the month          199801-200003
order_94074_DLKON_rhh150mx_5_data.txt   Data      Konstanz                             Precipitation; maximum total per hour of the month          200004-200011
order_94074_DLKON_rhh150mx_5_legend.txt Legend    Konstanz                             Precipitation; maximum total per hour of the month          200004-200011
order_94074_DLKON_rhh150mx_6_data.txt   Data      Konstanz                             Precipitation; maximum total per hour of the month          200012-200103
order_94074_DLKON_rhh150mx_6_legend.txt Legend    Konstanz                             Precipitation; maximum total per hour of the month          200012-200103
order_94074_DLKON_rhh150mx_7_data.txt   Data      Konstanz                             Precipitation; maximum total per hour of the month          200104-200307
order_94074_DLKON_rhh150mx_7_legend.txt Legend    Konstanz                             Precipitation; maximum total per hour of the month          200104-200307
order_94074_DLKON_rhh150mx_8_data.txt   Data      Konstanz                             Precipitation; maximum total per hour of the month          200308-201708
