 

stn;time;rs1000m0
BLS;201607;0
BLS;201608;0
BLS;201609;0
BLS;201610;0
BLS;201611;0
BLS;201612;0
BLS;201701;0
BLS;201702;0
BLS;201703;0
BLS;201704;0
BLS;201705;0
BLS;201706;0
BLS;201707;0
BLS;201708;0
BLS;201709;0
BLS;201710;0
BLS;201711;0
BLS;201712;0
BLS;201801;0
BLS;201802;0
BLS;201803;0
BLS;201804;0
BLS;201805;0
BLS;201806;0
BLS;201807;0
BLS;201808;0
BLS;201809;0
BLS;201810;0
BLS;201811;0
BLS;201812;0
BLS;201901;0
BLS;201902;0
BLS;201903;0
BLS;201904;0
BLS;201905;0
BLS;201906;0
BLS;201907;0
BLS;201908;0
BLS;201909;0
BLS;201910;0
BLS;201911;0
BLS;201912;0
BLS;202001;0
BLS;202002;0
BLS;202003;0
BLS;202004;0
BLS;202005;0
BLS;202006;0
BLS;202007;0
BLS;202008;0
BLS;202009;0
BLS;202010;0
BLS;202011;0
BLS;202012;0
BLS;202101;0
BLS;202102;0
BLS;202103;0
