Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 93924

Filename                                Filetype  Station                              Parameter                                                   Period
order_93924_IYLAI_tre200d0_1_data.txt   Data      Laimburg                             Air temperature 2 m above ground; daily mean                20091026-20210414
order_93924_IYLAI_tre200d0_1_legend.txt Legend    Laimburg                             Air temperature 2 m above ground; daily mean                20091026-20210414
order_93924_DLLAU_tre200d0_1_data.txt   Data      Lautertal, Oberlauter                Air temperature 2 m above ground; daily mean                20200828-20210414
order_93924_DLLAU_tre200d0_1_legend.txt Legend    Lautertal, Oberlauter                Air temperature 2 m above ground; daily mean                20200828-20210414
order_93924_LEI_tre200d0_1_data.txt     Data      Leibstadt                            Air temperature 2 m above ground; daily mean                19870131-20210414
order_93924_LEI_tre200d0_1_legend.txt   Legend    Leibstadt                            Air temperature 2 m above ground; daily mean                19870131-20210414
order_93924_BLLIT_tre200d0_1_data.txt   Data      Liestal                              Air temperature 2 m above ground; daily mean                20181122-20210414
order_93924_BLLIT_tre200d0_1_legend.txt Legend    Liestal                              Air temperature 2 m above ground; daily mean                20181122-20210414
order_93924_OTL_tre200d0_1_data.txt     Data      Locarno / Monti                      Air temperature 2 m above ground; daily mean                19350430-20210414
order_93924_OTL_tre200d0_1_legend.txt   Legend    Locarno / Monti                      Air temperature 2 m above ground; daily mean                19350430-20210414
order_93924_LMU_tre200d0_1_data.txt     Data      Locarno-Muralto                      Air temperature 2 m above ground; daily mean                18821130-19351230
order_93924_LMU_tre200d0_1_legend.txt   Legend    Locarno-Muralto                      Air temperature 2 m above ground; daily mean                18821130-19351230
order_93924_LUG_tre200d0_1_data.txt     Data      Lugano                               Air temperature 2 m above ground; daily mean                18631231-20210414
order_93924_LUG_tre200d0_1_legend.txt   Legend    Lugano                               Air temperature 2 m above ground; daily mean                18631231-20210414
order_93924_MMBIR_tre200d0_1_data.txt   Data      Lupfig / Flugplatz Birrfeld          Air temperature 2 m above ground; daily mean                20121125-20210414
order_93924_MMBIR_tre200d0_1_legend.txt Legend    Lupfig / Flugplatz Birrfeld          Air temperature 2 m above ground; daily mean                20121125-20210414
order_93924_MAG_tre200d0_1_data.txt     Data      Magadino / Cadenazzo                 Air temperature 2 m above ground; daily mean                19530531-20210414
order_93924_MAG_tre200d0_1_legend.txt   Legend    Magadino / Cadenazzo                 Air temperature 2 m above ground; daily mean                19530531-20210414
order_93924_VSMAS_tre200d0_1_data.txt   Data      Massongex                            Air temperature 2 m above ground; daily mean                20181011-20210414
order_93924_VSMAS_tre200d0_1_legend.txt Legend    Massongex                            Air temperature 2 m above ground; daily mean                20181011-20210414
order_93924_IYMER_tre200d0_1_data.txt   Data      Meran                                Air temperature 2 m above ground; daily mean                19821231-20210414
order_93924_IYMER_tre200d0_1_legend.txt Legend    Meran                                Air temperature 2 m above ground; daily mean                19821231-20210414
