Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95475

Filename                                Filetype  Station                              Parameter                                                   Period
order_95475_VSANZ_rre002mx_1_data.txt   Data      Anzère                               Precipitation; maximum 2-day total of the month             201010-201210
order_95475_MAL_rre002mx_1_data.txt     Data      Malbun                               Precipitation; maximum 2-day total of the month             197401-201503
order_95475_MAL_rre002mx_1_legend.txt   Legend    Malbun                               Precipitation; maximum 2-day total of the month             197401-201503
order_95475_MAL_rre002mx_2_data.txt     Data      Malbun                               Precipitation; maximum 2-day total of the month             201504-202105
order_95475_MAL_rre002mx_2_legend.txt   Legend    Malbun                               Precipitation; maximum 2-day total of the month             201504-202105
order_95475_MAM_rre002mx_1_data.txt     Data      Marmorera                            Precipitation; maximum 2-day total of the month             196012-197412
order_95475_MAM_rre002mx_1_legend.txt   Legend    Marmorera                            Precipitation; maximum 2-day total of the month             196012-197412
order_95475_MAU_rre002mx_1_data.txt     Data      Mauvoisin                            Precipitation; maximum 2-day total of the month             197112-200112
order_95475_MAU_rre002mx_1_legend.txt   Legend    Mauvoisin                            Precipitation; maximum 2-day total of the month             197112-200112
order_95475_MST_rre002mx_1_data.txt     Data      Monstein                             Precipitation; maximum 2-day total of the month             197212-202105
order_95475_MST_rre002mx_1_legend.txt   Legend    Monstein                             Precipitation; maximum 2-day total of the month             197212-202105
order_95475_GEN_rre002mx_1_data.txt     Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             199511-199606
order_95475_GEN_rre002mx_1_legend.txt   Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             199511-199606
order_95475_GEN_rre002mx_2_data.txt     Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             199607-199610
order_95475_GEN_rre002mx_2_legend.txt   Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             199607-199610
order_95475_GEN_rre002mx_3_data.txt     Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             199611-199706
order_95475_GEN_rre002mx_3_legend.txt   Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             199611-199706
order_95475_GEN_rre002mx_4_data.txt     Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             199707-199807
order_95475_GEN_rre002mx_4_legend.txt   Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             199707-199807
order_95475_GEN_rre002mx_5_data.txt     Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             199808-199812
order_95475_GEN_rre002mx_5_legend.txt   Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             199808-199812
order_95475_GEN_rre002mx_6_data.txt     Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             199901-199904
order_95475_GEN_rre002mx_6_legend.txt   Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             199901-199904
order_95475_GEN_rre002mx_7_data.txt     Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             199905-200303
order_95475_GEN_rre002mx_7_legend.txt   Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             199905-200303
order_95475_GEN_rre002mx_8_data.txt     Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             200304-200601
order_95475_GEN_rre002mx_8_legend.txt   Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             200304-200601
order_95475_GEN_rre002mx_9_data.txt     Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             200603-200604
order_95475_GEN_rre002mx_9_legend.txt   Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             200603-200604
order_95475_GEN_rre002mx_10_data.txt    Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             200605-200606
order_95475_GEN_rre002mx_10_legend.txt  Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             200605-200606
order_95475_GEN_rre002mx_11_data.txt    Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             200607-200611
order_95475_GEN_rre002mx_11_legend.txt  Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             200607-200611
order_95475_GEN_rre002mx_12_data.txt    Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             200701-200704
order_95475_GEN_rre002mx_12_legend.txt  Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             200701-200704
order_95475_GEN_rre002mx_13_data.txt    Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             200707-200709
order_95475_GEN_rre002mx_13_legend.txt  Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             200707-200709
order_95475_GEN_rre002mx_14_data.txt    Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             200710-200712
order_95475_GEN_rre002mx_14_legend.txt  Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             200710-200712
order_95475_GEN_rre002mx_15_data.txt    Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             200803-200806
order_95475_GEN_rre002mx_15_legend.txt  Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             200803-200806
order_95475_GEN_rre002mx_16_data.txt    Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             200807-200808
order_95475_GEN_rre002mx_16_legend.txt  Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             200807-200808
order_95475_GEN_rre002mx_17_data.txt    Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             200810-200811
order_95475_GEN_rre002mx_17_legend.txt  Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             200810-200811
order_95475_GEN_rre002mx_18_data.txt    Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             200902-200908
order_95475_GEN_rre002mx_18_legend.txt  Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             200902-200908
order_95475_GEN_rre002mx_19_data.txt    Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             200910-201004
order_95475_GEN_rre002mx_19_legend.txt  Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             200910-201004
order_95475_GEN_rre002mx_20_data.txt    Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             201005-201010
order_95475_GEN_rre002mx_20_legend.txt  Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             201005-201010
order_95475_GEN_rre002mx_21_data.txt    Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             201012-201104
order_95475_GEN_rre002mx_21_legend.txt  Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             201012-201104
order_95475_GEN_rre002mx_22_data.txt    Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             201105-201106
order_95475_GEN_rre002mx_22_legend.txt  Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             201105-201106
order_95475_GEN_rre002mx_23_data.txt    Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             201107-201112
order_95475_GEN_rre002mx_23_legend.txt  Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             201107-201112
order_95475_GEN_rre002mx_24_data.txt    Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             201202-201203
order_95475_GEN_rre002mx_24_legend.txt  Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             201202-201203
order_95475_GEN_rre002mx_25_data.txt    Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             201204-201304
order_95475_GEN_rre002mx_25_legend.txt  Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             201204-201304
order_95475_GEN_rre002mx_26_data.txt    Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             201305-201312
order_95475_GEN_rre002mx_26_legend.txt  Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             201305-201312
order_95475_GEN_rre002mx_27_data.txt    Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             201402-201601
order_95475_GEN_rre002mx_27_legend.txt  Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             201402-201601
order_95475_GEN_rre002mx_28_data.txt    Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             201603-201611
order_95475_GEN_rre002mx_28_legend.txt  Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             201603-201611
order_95475_GEN_rre002mx_29_data.txt    Data      Monte Generoso                       Precipitation; maximum 2-day total of the month             201612-202105
order_95475_GEN_rre002mx_29_legend.txt  Legend    Monte Generoso                       Precipitation; maximum 2-day total of the month             201612-202105
order_95475_MTE_rre002mx_1_data.txt     Data      Mottec                               Precipitation; maximum 2-day total of the month             197212-202105
order_95475_MTE_rre002mx_1_legend.txt   Legend    Mottec                               Precipitation; maximum 2-day total of the month             197212-202105
order_95475_MUE_rre002mx_1_data.txt     Data      Mürren                               Precipitation; maximum 2-day total of the month             196012-202105
order_95475_MUE_rre002mx_1_legend.txt   Legend    Mürren                               Precipitation; maximum 2-day total of the month             196012-202105
order_95475_MMMUE_rre002mx_1_data.txt   Data      Mürren                               Precipitation; maximum 2-day total of the month             201612-201711
order_95475_MMMUE_rre002mx_1_legend.txt Legend    Mürren                               Precipitation; maximum 2-day total of the month             201612-201711
order_95475_MMMUE_rre002mx_2_data.txt   Data      Mürren                               Precipitation; maximum 2-day total of the month             201712-201808
order_95475_MMMUE_rre002mx_2_legend.txt Legend    Mürren                               Precipitation; maximum 2-day total of the month             201712-201808
order_95475_MMMUE_rre002mx_3_data.txt   Data      Mürren                               Precipitation; maximum 2-day total of the month             201810-201908
order_95475_MMMUE_rre002mx_3_legend.txt Legend    Mürren                               Precipitation; maximum 2-day total of the month             201810-201908
order_95475_MMMUE_rre002mx_4_data.txt   Data      Mürren                               Precipitation; maximum 2-day total of the month             201909-202105
order_95475_MMMUE_rre002mx_4_legend.txt Legend    Mürren                               Precipitation; maximum 2-day total of the month             201909-202105
order_95475_WSLNAB_rre002mx_1_data.txt  Data      Nationalpark Bestand                 Precipitation; maximum 2-day total of the month             201712-201909
order_95475_WSLNAB_rre002mx_1_legend.txt Legend    Nationalpark Bestand                 Precipitation; maximum 2-day total of the month             201712-201909
order_95475_WSLNAB_rre002mx_2_data.txt  Data      Nationalpark Bestand                 Precipitation; maximum 2-day total of the month             202002-202105
order_95475_WSLNAB_rre002mx_2_legend.txt Legend    Nationalpark Bestand                 Precipitation; maximum 2-day total of the month             202002-202105
order_95475_WSLNAF_rre002mx_1_data.txt  Data      Nationalpark Freiland                Precipitation; maximum 2-day total of the month             201712-201908
order_95475_WSLNAF_rre002mx_1_legend.txt Legend    Nationalpark Freiland                Precipitation; maximum 2-day total of the month             201712-201908
order_95475_WSLNAF_rre002mx_2_data.txt  Data      Nationalpark Freiland                Precipitation; maximum 2-day total of the month             202002-202105
order_95475_WSLNAF_rre002mx_2_legend.txt Legend    Nationalpark Freiland                Precipitation; maximum 2-day total of the month             202002-202105
order_95475_VSNEN_rre002mx_1_data.txt   Data      Nendaz                               Precipitation; maximum 2-day total of the month             201211-201503
order_95475_VSNEN_rre002mx_1_legend.txt Legend    Nendaz                               Precipitation; maximum 2-day total of the month             201211-201503
order_95475_VSNEN_rre002mx_2_data.txt   Data      Nendaz                               Precipitation; maximum 2-day total of the month             201504-202105
order_95475_VSNEN_rre002mx_2_legend.txt Legend    Nendaz                               Precipitation; maximum 2-day total of the month             201504-202105
order_95475_MMOES_rre002mx_1_data.txt   Data      Oeschinensee                         Precipitation; maximum 2-day total of the month             201612-201808
order_95475_MMOES_rre002mx_1_legend.txt Legend    Oeschinensee                         Precipitation; maximum 2-day total of the month             201612-201808
order_95475_MMOES_rre002mx_2_data.txt   Data      Oeschinensee                         Precipitation; maximum 2-day total of the month             201809-201904
order_95475_MMOES_rre002mx_2_legend.txt Legend    Oeschinensee                         Precipitation; maximum 2-day total of the month             201809-201904
order_95475_MMOES_rre002mx_3_data.txt   Data      Oeschinensee                         Precipitation; maximum 2-day total of the month             201905-201908
order_95475_MMOES_rre002mx_3_legend.txt Legend    Oeschinensee                         Precipitation; maximum 2-day total of the month             201905-201908
order_95475_MMOES_rre002mx_4_data.txt   Data      Oeschinensee                         Precipitation; maximum 2-day total of the month             201909-202009
order_95475_MMOES_rre002mx_4_legend.txt Legend    Oeschinensee                         Precipitation; maximum 2-day total of the month             201909-202009
order_95475_MMOES_rre002mx_5_data.txt   Data      Oeschinensee                         Precipitation; maximum 2-day total of the month             202010-202105
order_95475_MMOES_rre002mx_5_legend.txt Legend    Oeschinensee                         Precipitation; maximum 2-day total of the month             202010-202105
order_95475_TIOLI_rre002mx_1_data.txt   Data      Olivone diga Luzzone                 Precipitation; maximum 2-day total of the month             199912-200908
order_95475_TIOLI_rre002mx_1_legend.txt Legend    Olivone diga Luzzone                 Precipitation; maximum 2-day total of the month             199912-200908
order_95475_TIOLI_rre002mx_2_data.txt   Data      Olivone diga Luzzone                 Precipitation; maximum 2-day total of the month             200909-201612
order_95475_TIOLI_rre002mx_2_legend.txt Legend    Olivone diga Luzzone                 Precipitation; maximum 2-day total of the month             200909-201612
order_95475_TIOLI_rre002mx_3_data.txt   Data      Olivone diga Luzzone                 Precipitation; maximum 2-day total of the month             201701-201705
order_95475_TIOLI_rre002mx_3_legend.txt Legend    Olivone diga Luzzone                 Precipitation; maximum 2-day total of the month             201701-201705
order_95475_TIOLI_rre002mx_4_data.txt   Data      Olivone diga Luzzone                 Precipitation; maximum 2-day total of the month             201706-202105
order_95475_TIOLI_rre002mx_4_legend.txt Legend    Olivone diga Luzzone                 Precipitation; maximum 2-day total of the month             201706-202105
order_95475_VSOXE_rre002mx_1_data.txt   Data      Oxefeld-Freichi                      Precipitation; maximum 2-day total of the month             201211-201308
order_95475_VSOXE_rre002mx_1_legend.txt Legend    Oxefeld-Freichi                      Precipitation; maximum 2-day total of the month             201211-201308
order_95475_IYPFE_rre002mx_1_data.txt   Data      Pfelders                             Precipitation; maximum 2-day total of the month             200012-200101
order_95475_IYPFE_rre002mx_1_legend.txt Legend    Pfelders                             Precipitation; maximum 2-day total of the month             200012-200101
order_95475_IYPFE_rre002mx_2_data.txt   Data      Pfelders                             Precipitation; maximum 2-day total of the month             200103-200303
order_95475_IYPFE_rre002mx_2_legend.txt Legend    Pfelders                             Precipitation; maximum 2-day total of the month             200103-200303
order_95475_IYPFE_rre002mx_3_data.txt   Data      Pfelders                             Precipitation; maximum 2-day total of the month             200405-200406
order_95475_IYPFE_rre002mx_3_legend.txt Legend    Pfelders                             Precipitation; maximum 2-day total of the month             200405-200406
order_95475_IYPFE_rre002mx_4_data.txt   Data      Pfelders                             Precipitation; maximum 2-day total of the month             200407-201905
order_95475_IYPFE_rre002mx_4_legend.txt Legend    Pfelders                             Precipitation; maximum 2-day total of the month             200407-201905
order_95475_IYPFE_rre002mx_5_data.txt   Data      Pfelders                             Precipitation; maximum 2-day total of the month             201906-202004
order_95475_IYPFE_rre002mx_5_legend.txt Legend    Pfelders                             Precipitation; maximum 2-day total of the month             201906-202004
order_95475_IYPFE_rre002mx_6_data.txt   Data      Pfelders                             Precipitation; maximum 2-day total of the month             202005-202006
order_95475_IYPFE_rre002mx_6_legend.txt Legend    Pfelders                             Precipitation; maximum 2-day total of the month             202005-202006
order_95475_IYPFE_rre002mx_7_data.txt   Data      Pfelders                             Precipitation; maximum 2-day total of the month             202007-202009
order_95475_IYPFE_rre002mx_7_legend.txt Legend    Pfelders                             Precipitation; maximum 2-day total of the month             202007-202009
order_95475_IYPFE_rre002mx_8_data.txt   Data      Pfelders                             Precipitation; maximum 2-day total of the month             202010-202011
order_95475_IYPFE_rre002mx_8_legend.txt Legend    Pfelders                             Precipitation; maximum 2-day total of the month             202010-202011
order_95475_IYPFE_rre002mx_9_data.txt   Data      Pfelders                             Precipitation; maximum 2-day total of the month             202012-202105
order_95475_IYPFE_rre002mx_9_legend.txt Legend    Pfelders                             Precipitation; maximum 2-day total of the month             202012-202105
order_95475_PON_rre002mx_1_data.txt     Data      Pontresina                           Precipitation; maximum 2-day total of the month             197112-202105
order_95475_PON_rre002mx_1_legend.txt   Legend    Pontresina                           Precipitation; maximum 2-day total of the month             197112-202105
order_95475_PRD_rre002mx_1_data.txt     Data      Preda                                Precipitation; maximum 2-day total of the month             196012-197504
order_95475_PRD_rre002mx_1_legend.txt   Legend    Preda                                Precipitation; maximum 2-day total of the month             196012-197504
order_95475_PUD_rre002mx_1_data.txt     Data      Punt la Drossa                       Precipitation; maximum 2-day total of the month             197312-202105
order_95475_PUD_rre002mx_1_legend.txt   Legend    Punt la Drossa                       Precipitation; maximum 2-day total of the month             197312-202105
order_95475_TIPIO_rre002mx_1_data.txt   Data      Quinto / Piora                       Precipitation; maximum 2-day total of the month             201612-202104
order_95475_TIPIO_rre002mx_1_legend.txt Legend    Quinto / Piora                       Precipitation; maximum 2-day total of the month             201612-202104
order_95475_URREA_rre002mx_1_data.txt   Data      Realp / Bahnhof DFB                  Precipitation; maximum 2-day total of the month             201712-202105
order_95475_URREA_rre002mx_1_legend.txt Legend    Realp / Bahnhof DFB                  Precipitation; maximum 2-day total of the month             201712-202105
order_95475_URREE_rre002mx_1_data.txt   Data      Realp / Ebnen                        Precipitation; maximum 2-day total of the month             201712-202007
order_95475_URREE_rre002mx_1_legend.txt Legend    Realp / Ebnen                        Precipitation; maximum 2-day total of the month             201712-202007
order_95475_URREE_rre002mx_2_data.txt   Data      Realp / Ebnen                        Precipitation; maximum 2-day total of the month             202008-202105
order_95475_URREE_rre002mx_2_legend.txt Legend    Realp / Ebnen                        Precipitation; maximum 2-day total of the month             202008-202105
order_95475_IYREI_rre002mx_1_data.txt   Data      Rein in Taufers                      Precipitation; maximum 2-day total of the month             200012-202004
order_95475_IYREI_rre002mx_1_legend.txt Legend    Rein in Taufers                      Precipitation; maximum 2-day total of the month             200012-202004
order_95475_IYREI_rre002mx_2_data.txt   Data      Rein in Taufers                      Precipitation; maximum 2-day total of the month             202005-202006
order_95475_IYREI_rre002mx_2_legend.txt Legend    Rein in Taufers                      Precipitation; maximum 2-day total of the month             202005-202006
order_95475_IYREI_rre002mx_3_data.txt   Data      Rein in Taufers                      Precipitation; maximum 2-day total of the month             202007-202008
order_95475_IYREI_rre002mx_3_legend.txt Legend    Rein in Taufers                      Precipitation; maximum 2-day total of the month             202007-202008
order_95475_IYREI_rre002mx_4_data.txt   Data      Rein in Taufers                      Precipitation; maximum 2-day total of the month             202009-202105
order_95475_IYREI_rre002mx_4_legend.txt Legend    Rein in Taufers                      Precipitation; maximum 2-day total of the month             202009-202105
order_95475_RIE_rre002mx_1_data.txt     Data      Ried, Lötschen                       Precipitation; maximum 2-day total of the month             197312-199901
order_95475_RIE_rre002mx_1_legend.txt   Legend    Ried, Lötschen                       Precipitation; maximum 2-day total of the month             197312-199901
order_95475_RIE_rre002mx_2_data.txt     Data      Ried, Lötschen                       Precipitation; maximum 2-day total of the month             199911-200511
order_95475_RIE_rre002mx_2_legend.txt   Legend    Ried, Lötschen                       Precipitation; maximum 2-day total of the month             199911-200511
order_95475_RIE_rre002mx_3_data.txt     Data      Ried, Lötschen                       Precipitation; maximum 2-day total of the month             200512-200608
order_95475_RIE_rre002mx_3_legend.txt   Legend    Ried, Lötschen                       Precipitation; maximum 2-day total of the month             200512-200608
order_95475_RIE_rre002mx_4_data.txt     Data      Ried, Lötschen                       Precipitation; maximum 2-day total of the month             200609-200703
order_95475_RIE_rre002mx_4_legend.txt   Legend    Ried, Lötschen                       Precipitation; maximum 2-day total of the month             200609-200703
order_95475_RKU_rre002mx_1_data.txt     Data      Rigi-Kulm                            Precipitation; maximum 2-day total of the month             190012-194805
order_95475_RKU_rre002mx_1_legend.txt   Legend    Rigi-Kulm                            Precipitation; maximum 2-day total of the month             190012-194805
order_95475_RKU_rre002mx_2_data.txt     Data      Rigi-Kulm                            Precipitation; maximum 2-day total of the month             195405-196503
order_95475_RKU_rre002mx_2_legend.txt   Legend    Rigi-Kulm                            Precipitation; maximum 2-day total of the month             195405-196503
order_95475_ROE_rre002mx_1_data.txt     Data      Robièi                               Precipitation; maximum 2-day total of the month             199101-202105
order_95475_ROE_rre002mx_1_legend.txt   Legend    Robièi                               Precipitation; maximum 2-day total of the month             199101-202105
order_95475_SRL_rre002mx_1_data.txt     Data      S-charl                              Precipitation; maximum 2-day total of the month             199810-202104
order_95475_SRL_rre002mx_1_legend.txt   Legend    S-charl                              Precipitation; maximum 2-day total of the month             199810-202104
order_95475_MMSRL_rre002mx_1_data.txt   Data      S-charl                              Precipitation; maximum 2-day total of the month             201306-201307
order_95475_MMSRL_rre002mx_1_legend.txt Legend    S-charl                              Precipitation; maximum 2-day total of the month             201306-201307
order_95475_MMSRL_rre002mx_2_data.txt   Data      S-charl                              Precipitation; maximum 2-day total of the month             201710-201810
order_95475_MMSRL_rre002mx_2_legend.txt Legend    S-charl                              Precipitation; maximum 2-day total of the month             201710-201810
order_95475_MMSRL_rre002mx_3_data.txt   Data      S-charl                              Precipitation; maximum 2-day total of the month             201905-201910
order_95475_MMSRL_rre002mx_3_legend.txt Legend    S-charl                              Precipitation; maximum 2-day total of the month             201905-201910
order_95475_MMSRL_rre002mx_4_data.txt   Data      S-charl                              Precipitation; maximum 2-day total of the month             202010-202011
order_95475_MMSRL_rre002mx_4_legend.txt Legend    S-charl                              Precipitation; maximum 2-day total of the month             202010-202011
order_95475_SBE_rre002mx_1_data.txt     Data      S. Bernardino                        Precipitation; maximum 2-day total of the month             196712-202105
order_95475_SBE_rre002mx_1_legend.txt   Legend    S. Bernardino                        Precipitation; maximum 2-day total of the month             196712-202105
order_95475_VSSAB_rre002mx_1_data.txt   Data      Saas Balen                           Precipitation; maximum 2-day total of the month             201010-202105
order_95475_VSSAB_rre002mx_1_legend.txt Legend    Saas Balen                           Precipitation; maximum 2-day total of the month             201010-202105
order_95475_SAF_rre002mx_1_data.txt     Data      Saas Fee                             Precipitation; maximum 2-day total of the month             199410-201605
order_95475_SAF_rre002mx_1_legend.txt   Legend    Saas Fee                             Precipitation; maximum 2-day total of the month             199410-201605
order_95475_SAF_rre002mx_2_data.txt     Data      Saas Fee                             Precipitation; maximum 2-day total of the month             201607-202105
order_95475_SAF_rre002mx_2_legend.txt   Legend    Saas Fee                             Precipitation; maximum 2-day total of the month             201607-202105
order_95475_MMSAF_rre002mx_1_data.txt   Data      Saas Fee                             Precipitation; maximum 2-day total of the month             201608-201612
order_95475_MMSAF_rre002mx_1_legend.txt Legend    Saas Fee                             Precipitation; maximum 2-day total of the month             201608-201612
order_95475_MMSAF_rre002mx_2_data.txt   Data      Saas Fee                             Precipitation; maximum 2-day total of the month             201701-201707
order_95475_MMSAF_rre002mx_2_legend.txt Legend    Saas Fee                             Precipitation; maximum 2-day total of the month             201701-201707
order_95475_MMSAF_rre002mx_3_data.txt   Data      Saas Fee                             Precipitation; maximum 2-day total of the month             201708-201808
order_95475_MMSAF_rre002mx_3_legend.txt Legend    Saas Fee                             Precipitation; maximum 2-day total of the month             201708-201808
order_95475_MMSAF_rre002mx_4_data.txt   Data      Saas Fee                             Precipitation; maximum 2-day total of the month             201809-201811
order_95475_MMSAF_rre002mx_4_legend.txt Legend    Saas Fee                             Precipitation; maximum 2-day total of the month             201809-201811
order_95475_MMSAF_rre002mx_5_data.txt   Data      Saas Fee                             Precipitation; maximum 2-day total of the month             201812-201904
order_95475_MMSAF_rre002mx_5_legend.txt Legend    Saas Fee                             Precipitation; maximum 2-day total of the month             201812-201904
order_95475_MMSAF_rre002mx_6_data.txt   Data      Saas Fee                             Precipitation; maximum 2-day total of the month             201906-201907
order_95475_MMSAF_rre002mx_6_legend.txt Legend    Saas Fee                             Precipitation; maximum 2-day total of the month             201906-201907
order_95475_MMSAF_rre002mx_7_data.txt   Data      Saas Fee                             Precipitation; maximum 2-day total of the month             201909-202105
order_95475_MMSAF_rre002mx_7_legend.txt Legend    Saas Fee                             Precipitation; maximum 2-day total of the month             201909-202105
order_95475_SAS_rre002mx_1_data.txt     Data      Saas-Almagell                        Precipitation; maximum 2-day total of the month             196706-199408
order_95475_SAS_rre002mx_1_legend.txt   Legend    Saas-Almagell                        Precipitation; maximum 2-day total of the month             196706-199408
order_95475_SAA_rre002mx_1_data.txt     Data      Saas-Fee                             Precipitation; maximum 2-day total of the month             193012-196812
order_95475_SAA_rre002mx_1_legend.txt   Legend    Saas-Fee                             Precipitation; maximum 2-day total of the month             193012-196812
order_95475_MMSAP_rre002mx_1_data.txt   Data      Safien / Thalkirch                   Precipitation; maximum 2-day total of the month             201211-201307
order_95475_MMSAP_rre002mx_1_legend.txt Legend    Safien / Thalkirch                   Precipitation; maximum 2-day total of the month             201211-201307
order_95475_MMSAP_rre002mx_2_data.txt   Data      Safien / Thalkirch                   Precipitation; maximum 2-day total of the month             201308-201404
order_95475_MMSAP_rre002mx_2_legend.txt Legend    Safien / Thalkirch                   Precipitation; maximum 2-day total of the month             201308-201404
order_95475_MMSAP_rre002mx_3_data.txt   Data      Safien / Thalkirch                   Precipitation; maximum 2-day total of the month             201405-201410
order_95475_MMSAP_rre002mx_3_legend.txt Legend    Safien / Thalkirch                   Precipitation; maximum 2-day total of the month             201405-201410
order_95475_MMSAP_rre002mx_4_data.txt   Data      Safien / Thalkirch                   Precipitation; maximum 2-day total of the month             201411-201412
order_95475_MMSAP_rre002mx_4_legend.txt Legend    Safien / Thalkirch                   Precipitation; maximum 2-day total of the month             201411-201412
order_95475_MMSAP_rre002mx_5_data.txt   Data      Safien / Thalkirch                   Precipitation; maximum 2-day total of the month             201501-201506
order_95475_MMSAP_rre002mx_5_legend.txt Legend    Safien / Thalkirch                   Precipitation; maximum 2-day total of the month             201501-201506
order_95475_MMSAP_rre002mx_6_data.txt   Data      Safien / Thalkirch                   Precipitation; maximum 2-day total of the month             201507-201511
order_95475_MMSAP_rre002mx_6_legend.txt Legend    Safien / Thalkirch                   Precipitation; maximum 2-day total of the month             201507-201511
order_95475_MMSAP_rre002mx_7_data.txt   Data      Safien / Thalkirch                   Precipitation; maximum 2-day total of the month             201602-201707
order_95475_MMSAP_rre002mx_7_legend.txt Legend    Safien / Thalkirch                   Precipitation; maximum 2-day total of the month             201602-201707
order_95475_MMSAP_rre002mx_8_data.txt   Data      Safien / Thalkirch                   Precipitation; maximum 2-day total of the month             201708-201711
order_95475_MMSAP_rre002mx_8_legend.txt Legend    Safien / Thalkirch                   Precipitation; maximum 2-day total of the month             201708-201711
order_95475_MMSAP_rre002mx_9_data.txt   Data      Safien / Thalkirch                   Precipitation; maximum 2-day total of the month             201712-201807
order_95475_MMSAP_rre002mx_9_legend.txt Legend    Safien / Thalkirch                   Precipitation; maximum 2-day total of the month             201712-201807
order_95475_MMSAP_rre002mx_10_data.txt  Data      Safien / Thalkirch                   Precipitation; maximum 2-day total of the month             201808-202105
order_95475_MMSAP_rre002mx_10_legend.txt Legend    Safien / Thalkirch                   Precipitation; maximum 2-day total of the month             201808-202105
order_95475_VSSFE_rre002mx_1_data.txt   Data      Salanfe                              Precipitation; maximum 2-day total of the month             201109-201110
order_95475_VSSFE_rre002mx_1_legend.txt Legend    Salanfe                              Precipitation; maximum 2-day total of the month             201109-201110
order_95475_VSSFE_rre002mx_2_data.txt   Data      Salanfe                              Precipitation; maximum 2-day total of the month             201111-201112
order_95475_VSSFE_rre002mx_2_legend.txt Legend    Salanfe                              Precipitation; maximum 2-day total of the month             201111-201112
order_95475_VSSFE_rre002mx_3_data.txt   Data      Salanfe                              Precipitation; maximum 2-day total of the month             201201-201212
order_95475_VSSFE_rre002mx_3_legend.txt Legend    Salanfe                              Precipitation; maximum 2-day total of the month             201201-201212
order_95475_VSSFE_rre002mx_4_data.txt   Data      Salanfe                              Precipitation; maximum 2-day total of the month             201302-201512
order_95475_VSSFE_rre002mx_4_legend.txt Legend    Salanfe                              Precipitation; maximum 2-day total of the month             201302-201512
order_95475_VSSFE_rre002mx_5_data.txt   Data      Salanfe                              Precipitation; maximum 2-day total of the month             201601-201712
order_95475_VSSFE_rre002mx_5_legend.txt Legend    Salanfe                              Precipitation; maximum 2-day total of the month             201601-201712
