Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94915

Filename                                Filetype  Station                              Parameter                                                   Period
order_94915_CHZ_rzz150yx_2_data.txt     Data      Cham                                 Precipitation; maximum ten minute total of the year         2014-2018
order_94915_CHZ_rzz150yx_2_legend.txt   Legend    Cham                                 Precipitation; maximum ten minute total of the year         2014-2018
order_94915_CHZ_rzz150yx_3_data.txt     Data      Cham                                 Precipitation; maximum ten minute total of the year         2019-2020
order_94915_CHZ_rzz150yx_3_legend.txt   Legend    Cham                                 Precipitation; maximum ten minute total of the year         2019-2020
order_94915_GECHE_rzz150yx_1_data.txt   Data      Chevrier                             Precipitation; maximum ten minute total of the year         1979-1981
order_94915_GECHE_rzz150yx_1_legend.txt Legend    Chevrier                             Precipitation; maximum ten minute total of the year         1979-1981
order_94915_GECHE_rzz150yx_2_data.txt   Data      Chevrier                             Precipitation; maximum ten minute total of the year         1983-1984
order_94915_GECHE_rzz150yx_2_legend.txt Legend    Chevrier                             Precipitation; maximum ten minute total of the year         1983-1984
order_94915_GECHE_rzz150yx_3_data.txt   Data      Chevrier                             Precipitation; maximum ten minute total of the year         1987-1989
order_94915_GECHE_rzz150yx_3_legend.txt Legend    Chevrier                             Precipitation; maximum ten minute total of the year         1987-1989
order_94915_GECHE_rzz150yx_4_data.txt   Data      Chevrier                             Precipitation; maximum ten minute total of the year         1990-1994
order_94915_GECHE_rzz150yx_4_legend.txt Legend    Chevrier                             Precipitation; maximum ten minute total of the year         1990-1994
order_94915_GECHE_rzz150yx_5_data.txt   Data      Chevrier                             Precipitation; maximum ten minute total of the year         1996-2020
order_94915_GECHE_rzz150yx_5_legend.txt Legend    Chevrier                             Precipitation; maximum ten minute total of the year         1996-2020
order_94915_TICIA_rzz150yx_1_data.txt   Data      Chiasso                              Precipitation; maximum ten minute total of the year         2007-2011
order_94915_TICIA_rzz150yx_1_legend.txt Legend    Chiasso                              Precipitation; maximum ten minute total of the year         2007-2011
order_94915_TICIA_rzz150yx_2_data.txt   Data      Chiasso                              Precipitation; maximum ten minute total of the year         2012-2020
order_94915_TICIA_rzz150yx_2_legend.txt Legend    Chiasso                              Precipitation; maximum ten minute total of the year         2012-2020
order_94915_GEGFA_rzz150yx_1_data.txt   Data      Chêne-Bougeries / Grange-Falquet     Precipitation; maximum ten minute total of the year         1989-1995
order_94915_GEGFA_rzz150yx_1_legend.txt Legend    Chêne-Bougeries / Grange-Falquet     Precipitation; maximum ten minute total of the year         1989-1995
order_94915_GEGFA_rzz150yx_2_data.txt   Data      Chêne-Bougeries / Grange-Falquet     Precipitation; maximum ten minute total of the year         1996-2006
order_94915_GEGFA_rzz150yx_2_legend.txt Legend    Chêne-Bougeries / Grange-Falquet     Precipitation; maximum ten minute total of the year         1996-2006
order_94915_GEGFA_rzz150yx_3_data.txt   Data      Chêne-Bougeries / Grange-Falquet     Precipitation; maximum ten minute total of the year         2007-2020
order_94915_GEGFA_rzz150yx_3_legend.txt Legend    Chêne-Bougeries / Grange-Falquet     Precipitation; maximum ten minute total of the year         2007-2020
order_94915_GEMIR_rzz150yx_1_data.txt   Data      Chêne-Bourg / Mirany                 Precipitation; maximum ten minute total of the year         2008-2017
order_94915_GEMIR_rzz150yx_1_legend.txt Legend    Chêne-Bourg / Mirany                 Precipitation; maximum ten minute total of the year         2008-2017
order_94915_COL_rzz150yx_1_data.txt     Data      Coldrerio                            Precipitation; maximum ten minute total of the year         2015-2020
order_94915_COL_rzz150yx_1_legend.txt   Legend    Coldrerio                            Precipitation; maximum ten minute total of the year         2015-2020
order_94915_TICOM_rzz150yx_1_data.txt   Data      Comano                               Precipitation; maximum ten minute total of the year         2009-2014
