Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94065

Filename                                Filetype  Station                              Parameter                                                   Period
order_94065_GLFIL_rzz150mx_10_data.txt  Data      Filzbach                             Precipitation; maximum ten minute total of the month        202009-202012
order_94065_GLFIL_rzz150mx_10_legend.txt Legend    Filzbach                             Precipitation; maximum ten minute total of the month        202009-202012
order_94065_VDFOL_rzz150mx_1_data.txt   Data      Forel                                Precipitation; maximum ten minute total of the month        201212-202103
order_94065_VDFOL_rzz150mx_1_legend.txt Legend    Forel                                Precipitation; maximum ten minute total of the month        201212-202103
order_94065_GRA_rzz150mx_1_data.txt     Data      Fribourg / Grangeneuve               Precipitation; maximum ten minute total of the month        201106-202103
order_94065_GRA_rzz150mx_1_legend.txt   Legend    Fribourg / Grangeneuve               Precipitation; maximum ten minute total of the month        201106-202103
order_94065_DLGAR_rzz150mx_1_data.txt   Data      Garmisch-Partenkirchen               Precipitation; maximum ten minute total of the month        201605-201608
order_94065_DLGAR_rzz150mx_1_legend.txt Legend    Garmisch-Partenkirchen               Precipitation; maximum ten minute total of the month        201605-201608
order_94065_DLGAR_rzz150mx_2_data.txt   Data      Garmisch-Partenkirchen               Precipitation; maximum ten minute total of the month        201609-201612
order_94065_DLGAR_rzz150mx_2_legend.txt Legend    Garmisch-Partenkirchen               Precipitation; maximum ten minute total of the month        201609-201612
order_94065_DLGAR_rzz150mx_3_data.txt   Data      Garmisch-Partenkirchen               Precipitation; maximum ten minute total of the month        201701-202006
order_94065_DLGAR_rzz150mx_3_legend.txt Legend    Garmisch-Partenkirchen               Precipitation; maximum ten minute total of the month        201701-202006
order_94065_DLGAR_rzz150mx_4_data.txt   Data      Garmisch-Partenkirchen               Precipitation; maximum ten minute total of the month        202007-202103
order_94065_DLGAR_rzz150mx_4_legend.txt Legend    Garmisch-Partenkirchen               Precipitation; maximum ten minute total of the month        202007-202103
order_94065_DLGEI_rzz150mx_1_data.txt   Data      Geisingen                            Precipitation; maximum ten minute total of the month        201605-201608
order_94065_DLGEI_rzz150mx_1_legend.txt Legend    Geisingen                            Precipitation; maximum ten minute total of the month        201605-201608
order_94065_DLGEI_rzz150mx_2_data.txt   Data      Geisingen                            Precipitation; maximum ten minute total of the month        201609-201610
order_94065_DLGEI_rzz150mx_2_legend.txt Legend    Geisingen                            Precipitation; maximum ten minute total of the month        201609-201610
order_94065_DLGEI_rzz150mx_3_data.txt   Data      Geisingen                            Precipitation; maximum ten minute total of the month        201611-202103
order_94065_DLGEI_rzz150mx_3_legend.txt Legend    Geisingen                            Precipitation; maximum ten minute total of the month        201611-202103
order_94065_SOHIM_rzz150mx_1_data.txt   Data      Himmelried                           Precipitation; maximum ten minute total of the month        200612-201208
order_94065_SOHIM_rzz150mx_1_legend.txt Legend    Himmelried                           Precipitation; maximum ten minute total of the month        200612-201208
order_94065_SOHIM_rzz150mx_2_data.txt   Data      Himmelried                           Precipitation; maximum ten minute total of the month        201303-201310
order_94065_SOHIM_rzz150mx_2_legend.txt Legend    Himmelried                           Precipitation; maximum ten minute total of the month        201303-201310
order_94065_SOHIM_rzz150mx_3_data.txt   Data      Himmelried                           Precipitation; maximum ten minute total of the month        201312-202008
order_94065_SOHIM_rzz150mx_3_legend.txt Legend    Himmelried                           Precipitation; maximum ten minute total of the month        201312-202008
order_94065_SOHIM_rzz150mx_4_data.txt   Data      Himmelried                           Precipitation; maximum ten minute total of the month        202009-202103
order_94065_SOHIM_rzz150mx_4_legend.txt Legend    Himmelried                           Precipitation; maximum ten minute total of the month        202009-202103
order_94065_DLHOL_rzz150mx_1_data.txt   Data      Holzkirchen                          Precipitation; maximum ten minute total of the month        201605-201608
order_94065_DLHOL_rzz150mx_1_legend.txt Legend    Holzkirchen                          Precipitation; maximum ten minute total of the month        201605-201608
order_94065_DLHOL_rzz150mx_2_data.txt   Data      Holzkirchen                          Precipitation; maximum ten minute total of the month        201609-201705
order_94065_DLHOL_rzz150mx_2_legend.txt Legend    Holzkirchen                          Precipitation; maximum ten minute total of the month        201609-201705
order_94065_DLHOL_rzz150mx_3_data.txt   Data      Holzkirchen                          Precipitation; maximum ten minute total of the month        201706-202103
order_94065_DLHOL_rzz150mx_3_legend.txt Legend    Holzkirchen                          Precipitation; maximum ten minute total of the month        201706-202103
order_94065_HUT_rzz150mx_1_data.txt     Data      Huttwil                              Precipitation; maximum ten minute total of the month        201310-201510
order_94065_HUT_rzz150mx_1_legend.txt   Legend    Huttwil                              Precipitation; maximum ten minute total of the month        201310-201510
order_94065_HUT_rzz150mx_2_data.txt     Data      Huttwil                              Precipitation; maximum ten minute total of the month        201511-201811
order_94065_HUT_rzz150mx_2_legend.txt   Legend    Huttwil                              Precipitation; maximum ten minute total of the month        201511-201811
order_94065_HUT_rzz150mx_3_data.txt     Data      Huttwil                              Precipitation; maximum ten minute total of the month        201812-202103
order_94065_HUT_rzz150mx_3_legend.txt   Legend    Huttwil                              Precipitation; maximum ten minute total of the month        201812-202103
order_94065_ILZ_rzz150mx_1_data.txt     Data      Ilanz                                Precipitation; maximum ten minute total of the month        201401-202003
order_94065_ILZ_rzz150mx_1_legend.txt   Legend    Ilanz                                Precipitation; maximum ten minute total of the month        201401-202003
order_94065_ILZ_rzz150mx_2_data.txt     Data      Ilanz                                Precipitation; maximum ten minute total of the month        202004-202103
order_94065_ILZ_rzz150mx_2_legend.txt   Legend    Ilanz                                Precipitation; maximum ten minute total of the month        202004-202103
order_94065_DLKEM_rzz150mx_1_data.txt   Data      Kempten                              Precipitation; maximum ten minute total of the month        201605-201607
order_94065_DLKEM_rzz150mx_1_legend.txt Legend    Kempten                              Precipitation; maximum ten minute total of the month        201605-201607
order_94065_DLKEM_rzz150mx_2_data.txt   Data      Kempten                              Precipitation; maximum ten minute total of the month        201610-201711
order_94065_DLKEM_rzz150mx_2_legend.txt Legend    Kempten                              Precipitation; maximum ten minute total of the month        201610-201711
order_94065_DLKEM_rzz150mx_3_data.txt   Data      Kempten                              Precipitation; maximum ten minute total of the month        201712-201810
order_94065_DLKEM_rzz150mx_3_legend.txt Legend    Kempten                              Precipitation; maximum ten minute total of the month        201712-201810
order_94065_DLKEM_rzz150mx_4_data.txt   Data      Kempten                              Precipitation; maximum ten minute total of the month        201811-201903
order_94065_DLKEM_rzz150mx_4_legend.txt Legend    Kempten                              Precipitation; maximum ten minute total of the month        201811-201903
order_94065_DLKEM_rzz150mx_5_data.txt   Data      Kempten                              Precipitation; maximum ten minute total of the month        201905-201906
order_94065_DLKEM_rzz150mx_5_legend.txt Legend    Kempten                              Precipitation; maximum ten minute total of the month        201905-201906
order_94065_DLKEM_rzz150mx_6_data.txt   Data      Kempten                              Precipitation; maximum ten minute total of the month        201908-202005
order_94065_DLKEM_rzz150mx_6_legend.txt Legend    Kempten                              Precipitation; maximum ten minute total of the month        201908-202005
order_94065_DLKEM_rzz150mx_7_data.txt   Data      Kempten                              Precipitation; maximum ten minute total of the month        202006-202007
order_94065_DLKEM_rzz150mx_7_legend.txt Legend    Kempten                              Precipitation; maximum ten minute total of the month        202006-202007
order_94065_DLKEM_rzz150mx_8_data.txt   Data      Kempten                              Precipitation; maximum ten minute total of the month        202008-202103
order_94065_DLKEM_rzz150mx_8_legend.txt Legend    Kempten                              Precipitation; maximum ten minute total of the month        202008-202103
order_94065_TILAV_rzz150mx_1_data.txt   Data      Lavertezzo                           Precipitation; maximum ten minute total of the month        201812-201912
order_94065_TILAV_rzz150mx_1_legend.txt Legend    Lavertezzo                           Precipitation; maximum ten minute total of the month        201812-201912
order_94065_TILAV_rzz150mx_2_data.txt   Data      Lavertezzo                           Precipitation; maximum ten minute total of the month        202001-202005
order_94065_TILAV_rzz150mx_2_legend.txt Legend    Lavertezzo                           Precipitation; maximum ten minute total of the month        202001-202005
order_94065_TILAV_rzz150mx_3_data.txt   Data      Lavertezzo                           Precipitation; maximum ten minute total of the month        202006-202101
order_94065_TILAV_rzz150mx_3_legend.txt Legend    Lavertezzo                           Precipitation; maximum ten minute total of the month        202006-202101
order_94065_GECOI_rzz150mx_1_data.txt   Data      Le Coin, France                      Precipitation; maximum ten minute total of the month        201212-201803
order_94065_GECOI_rzz150mx_1_legend.txt Legend    Le Coin, France                      Precipitation; maximum ten minute total of the month        201212-201803
order_94065_DLLEU_rzz150mx_1_data.txt   Data      Leutkirch                            Precipitation; maximum ten minute total of the month        201605-201608
order_94065_DLLEU_rzz150mx_1_legend.txt Legend    Leutkirch                            Precipitation; maximum ten minute total of the month        201605-201608
order_94065_DLLEU_rzz150mx_2_data.txt   Data      Leutkirch                            Precipitation; maximum ten minute total of the month        201609-201708
order_94065_DLLEU_rzz150mx_2_legend.txt Legend    Leutkirch                            Precipitation; maximum ten minute total of the month        201609-201708
order_94065_DLLEU_rzz150mx_3_data.txt   Data      Leutkirch                            Precipitation; maximum ten minute total of the month        201710-201803
order_94065_DLLEU_rzz150mx_3_legend.txt Legend    Leutkirch                            Precipitation; maximum ten minute total of the month        201710-201803
order_94065_DLLEU_rzz150mx_4_data.txt   Data      Leutkirch                            Precipitation; maximum ten minute total of the month        201805-201807
order_94065_DLLEU_rzz150mx_4_legend.txt Legend    Leutkirch                            Precipitation; maximum ten minute total of the month        201805-201807
order_94065_DLLEU_rzz150mx_5_data.txt   Data      Leutkirch                            Precipitation; maximum ten minute total of the month        201809-201904
order_94065_DLLEU_rzz150mx_5_legend.txt Legend    Leutkirch                            Precipitation; maximum ten minute total of the month        201809-201904
order_94065_DLLEU_rzz150mx_6_data.txt   Data      Leutkirch                            Precipitation; maximum ten minute total of the month        201905-202004
order_94065_DLLEU_rzz150mx_6_legend.txt Legend    Leutkirch                            Precipitation; maximum ten minute total of the month        201905-202004
order_94065_DLLEU_rzz150mx_7_data.txt   Data      Leutkirch                            Precipitation; maximum ten minute total of the month        202005-202007
order_94065_DLLEU_rzz150mx_7_legend.txt Legend    Leutkirch                            Precipitation; maximum ten minute total of the month        202005-202007
order_94065_DLLEU_rzz150mx_8_data.txt   Data      Leutkirch                            Precipitation; maximum ten minute total of the month        202008-202012
order_94065_DLLEU_rzz150mx_8_legend.txt Legend    Leutkirch                            Precipitation; maximum ten minute total of the month        202008-202012
order_94065_DLLEU_rzz150mx_9_data.txt   Data      Leutkirch                            Precipitation; maximum ten minute total of the month        202101-202103
