Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94090

Filename                                Filetype  Station                              Parameter                                                   Period
order_94090_MMBOY_rre150m0_7_data.txt   Data      Boudry                               Precipitation; monthly total                                201602-201706
order_94090_MMBOY_rre150m0_7_legend.txt Legend    Boudry                               Precipitation; monthly total                                201602-201706
order_94090_MMBOY_rre150m0_8_data.txt   Data      Boudry                               Precipitation; monthly total                                201707-201805
order_94090_MMBOY_rre150m0_8_legend.txt Legend    Boudry                               Precipitation; monthly total                                201707-201805
order_94090_MMBOY_rre150m0_9_data.txt   Data      Boudry                               Precipitation; monthly total                                201806-201811
order_94090_MMBOY_rre150m0_9_legend.txt Legend    Boudry                               Precipitation; monthly total                                201806-201811
order_94090_MMBOY_rre150m0_10_data.txt  Data      Boudry                               Precipitation; monthly total                                201812-202005
order_94090_MMBOY_rre150m0_10_legend.txt Legend    Boudry                               Precipitation; monthly total                                201812-202005
order_94090_MMBOY_rre150m0_11_data.txt  Data      Boudry                               Precipitation; monthly total                                202006-202012
order_94090_MMBOY_rre150m0_11_legend.txt Legend    Boudry                               Precipitation; monthly total                                202006-202012
order_94090_MMBOY_rre150m0_12_data.txt  Data      Boudry                               Precipitation; monthly total                                202101-202103
order_94090_MMBOY_rre150m0_12_legend.txt Legend    Boudry                               Precipitation; monthly total                                202101-202103
order_94090_BHO_rre150m0_1_data.txt     Data      Breitenhof BL                        Precipitation; monthly total                                196812-199506
order_94090_BHO_rre150m0_1_legend.txt   Legend    Breitenhof BL                        Precipitation; monthly total                                196812-199506
order_94090_BUD_rre150m0_1_data.txt     Data      Burgdorf                             Precipitation; monthly total                                190012-202103
order_94090_BUD_rre150m0_1_legend.txt   Legend    Burgdorf                             Precipitation; monthly total                                190012-202103
order_94090_BEBUD_rre150m0_1_data.txt   Data      Burgdorf / Buchmatt                  Precipitation; monthly total                                201312-201405
order_94090_BEBUD_rre150m0_1_legend.txt Legend    Burgdorf / Buchmatt                  Precipitation; monthly total                                201312-201405
order_94090_BEBUD_rre150m0_2_data.txt   Data      Burgdorf / Buchmatt                  Precipitation; monthly total                                201406-201407
order_94090_BEBUD_rre150m0_2_legend.txt Legend    Burgdorf / Buchmatt                  Precipitation; monthly total                                201406-201407
order_94090_BEBUD_rre150m0_3_data.txt   Data      Burgdorf / Buchmatt                  Precipitation; monthly total                                201408-201703
order_94090_BEBUD_rre150m0_3_legend.txt Legend    Burgdorf / Buchmatt                  Precipitation; monthly total                                201408-201703
order_94090_BEBUD_rre150m0_4_data.txt   Data      Burgdorf / Buchmatt                  Precipitation; monthly total                                201705-201711
order_94090_BEBUD_rre150m0_4_legend.txt Legend    Burgdorf / Buchmatt                  Precipitation; monthly total                                201705-201711
order_94090_BEBUD_rre150m0_5_data.txt   Data      Burgdorf / Buchmatt                  Precipitation; monthly total                                201712-201810
order_94090_BEBUD_rre150m0_5_legend.txt Legend    Burgdorf / Buchmatt                  Precipitation; monthly total                                201712-201810
order_94090_BEBUD_rre150m0_6_data.txt   Data      Burgdorf / Buchmatt                  Precipitation; monthly total                                201901-202004
order_94090_BEBUD_rre150m0_6_legend.txt Legend    Burgdorf / Buchmatt                  Precipitation; monthly total                                201901-202004
order_94090_BEBUD_rre150m0_7_data.txt   Data      Burgdorf / Buchmatt                  Precipitation; monthly total                                202005-202102
order_94090_BEBUD_rre150m0_7_legend.txt Legend    Burgdorf / Buchmatt                  Precipitation; monthly total                                202005-202102
order_94090_BEBUE_rre150m0_1_data.txt   Data      Burgdorf / Einschlag                 Precipitation; monthly total                                201312-201407
order_94090_BEBUE_rre150m0_1_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; monthly total                                201312-201407
order_94090_BEBUE_rre150m0_2_data.txt   Data      Burgdorf / Einschlag                 Precipitation; monthly total                                201408-201610
order_94090_BEBUE_rre150m0_2_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; monthly total                                201408-201610
order_94090_BEBUE_rre150m0_3_data.txt   Data      Burgdorf / Einschlag                 Precipitation; monthly total                                201612-201707
order_94090_BEBUE_rre150m0_3_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; monthly total                                201612-201707
order_94090_BEBUE_rre150m0_4_data.txt   Data      Burgdorf / Einschlag                 Precipitation; monthly total                                201708-201711
order_94090_BEBUE_rre150m0_4_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; monthly total                                201708-201711
order_94090_BEBUE_rre150m0_5_data.txt   Data      Burgdorf / Einschlag                 Precipitation; monthly total                                201712-201804
order_94090_BEBUE_rre150m0_5_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; monthly total                                201712-201804
order_94090_BEBUE_rre150m0_6_data.txt   Data      Burgdorf / Einschlag                 Precipitation; monthly total                                201805-202004
order_94090_BEBUE_rre150m0_6_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; monthly total                                201805-202004
order_94090_BEBUE_rre150m0_7_data.txt   Data      Burgdorf / Einschlag                 Precipitation; monthly total                                202005-202102
order_94090_BEBUE_rre150m0_7_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; monthly total                                202005-202102
order_94090_BEBUV_rre150m0_1_data.txt   Data      Burgdorf / Viehmarktplatz            Precipitation; monthly total                                201312-202004
