Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94087

Filename                                Filetype  Station                              Parameter                                                   Period
order_94087_GLBIL_rre150m0_10_legend.txt Legend    Bilten                               Precipitation; monthly total                                201804-201805
order_94087_GLBIL_rre150m0_11_data.txt  Data      Bilten                               Precipitation; monthly total                                201806-201906
order_94087_GLBIL_rre150m0_11_legend.txt Legend    Bilten                               Precipitation; monthly total                                201806-201906
order_94087_GLBIL_rre150m0_12_data.txt  Data      Bilten                               Precipitation; monthly total                                201907-202001
order_94087_GLBIL_rre150m0_12_legend.txt Legend    Bilten                               Precipitation; monthly total                                201907-202001
order_94087_GLBIL_rre150m0_13_data.txt  Data      Bilten                               Precipitation; monthly total                                202003-202006
order_94087_GLBIL_rre150m0_13_legend.txt Legend    Bilten                               Precipitation; monthly total                                202003-202006
order_94087_GLBIL_rre150m0_14_data.txt  Data      Bilten                               Precipitation; monthly total                                202007-202103
order_94087_GLBIL_rre150m0_14_legend.txt Legend    Bilten                               Precipitation; monthly total                                202007-202103
order_94087_TICAM_rre150m0_1_data.txt   Data      Camignolo                            Precipitation; monthly total                                200910-201012
order_94087_TICAM_rre150m0_1_legend.txt Legend    Camignolo                            Precipitation; monthly total                                200910-201012
order_94087_TICAM_rre150m0_2_data.txt   Data      Camignolo                            Precipitation; monthly total                                201101-201109
order_94087_TICAM_rre150m0_2_legend.txt Legend    Camignolo                            Precipitation; monthly total                                201101-201109
order_94087_TICAM_rre150m0_3_data.txt   Data      Camignolo                            Precipitation; monthly total                                201110-201605
order_94087_TICAM_rre150m0_3_legend.txt Legend    Camignolo                            Precipitation; monthly total                                201110-201605
order_94087_TICAM_rre150m0_4_data.txt   Data      Camignolo                            Precipitation; monthly total                                201606-201803
order_94087_TICAM_rre150m0_4_legend.txt Legend    Camignolo                            Precipitation; monthly total                                201606-201803
order_94087_TICAM_rre150m0_5_data.txt   Data      Camignolo                            Precipitation; monthly total                                201804-202103
order_94087_TICAM_rre150m0_5_legend.txt Legend    Camignolo                            Precipitation; monthly total                                201804-202103
order_94087_CZG_rre150m0_1_data.txt     Data      Cham                                 Precipitation; monthly total                                196012-200108
order_94087_CZG_rre150m0_1_legend.txt   Legend    Cham                                 Precipitation; monthly total                                196012-200108
order_94087_CHY_rre150m0_1_data.txt     Data      Chavornay                            Precipitation; monthly total                                197312-202103
order_94087_CHY_rre150m0_1_legend.txt   Legend    Chavornay                            Precipitation; monthly total                                197312-202103
order_94087_GECHE_rre150m0_1_data.txt   Data      Chevrier                             Precipitation; monthly total                                197901-197903
order_94087_GECHE_rre150m0_1_legend.txt Legend    Chevrier                             Precipitation; monthly total                                197901-197903
order_94087_GECHE_rre150m0_2_data.txt   Data      Chevrier                             Precipitation; monthly total                                197905-197908
order_94087_GECHE_rre150m0_2_legend.txt Legend    Chevrier                             Precipitation; monthly total                                197905-197908
order_94087_GECHE_rre150m0_3_data.txt   Data      Chevrier                             Precipitation; monthly total                                197910-197912
order_94087_GECHE_rre150m0_3_legend.txt Legend    Chevrier                             Precipitation; monthly total                                197910-197912
order_94087_GECHE_rre150m0_4_data.txt   Data      Chevrier                             Precipitation; monthly total                                198001-198012
order_94087_GECHE_rre150m0_4_legend.txt Legend    Chevrier                             Precipitation; monthly total                                198001-198012
order_94087_GECHE_rre150m0_5_data.txt   Data      Chevrier                             Precipitation; monthly total                                198101-198209
order_94087_GECHE_rre150m0_5_legend.txt Legend    Chevrier                             Precipitation; monthly total                                198101-198209
order_94087_GECHE_rre150m0_6_data.txt   Data      Chevrier                             Precipitation; monthly total                                198301-198501
