Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94063

Filename                                Filetype  Station                              Parameter                                                   Period
order_94063_TGAMR_rzz150mx_12_legend.txt Legend    Amriswil                             Precipitation; maximum ten minute total of the month        201607-201706
order_94063_TGAMR_rzz150mx_13_data.txt  Data      Amriswil                             Precipitation; maximum ten minute total of the month        201707-201708
order_94063_TGAMR_rzz150mx_13_legend.txt Legend    Amriswil                             Precipitation; maximum ten minute total of the month        201707-201708
order_94063_TGAMR_rzz150mx_14_data.txt  Data      Amriswil                             Precipitation; maximum ten minute total of the month        201709-201806
order_94063_TGAMR_rzz150mx_14_legend.txt Legend    Amriswil                             Precipitation; maximum ten minute total of the month        201709-201806
order_94063_TGAMR_rzz150mx_15_data.txt  Data      Amriswil                             Precipitation; maximum ten minute total of the month        201807-201808
order_94063_TGAMR_rzz150mx_15_legend.txt Legend    Amriswil                             Precipitation; maximum ten minute total of the month        201807-201808
order_94063_TGAMR_rzz150mx_16_data.txt  Data      Amriswil                             Precipitation; maximum ten minute total of the month        201809-201811
order_94063_TGAMR_rzz150mx_16_legend.txt Legend    Amriswil                             Precipitation; maximum ten minute total of the month        201809-201811
order_94063_TGAMR_rzz150mx_17_data.txt  Data      Amriswil                             Precipitation; maximum ten minute total of the month        201902-201903
order_94063_TGAMR_rzz150mx_17_legend.txt Legend    Amriswil                             Precipitation; maximum ten minute total of the month        201902-201903
order_94063_TGAMR_rzz150mx_18_data.txt  Data      Amriswil                             Precipitation; maximum ten minute total of the month        201904-201906
order_94063_TGAMR_rzz150mx_18_legend.txt Legend    Amriswil                             Precipitation; maximum ten minute total of the month        201904-201906
order_94063_TGAMR_rzz150mx_19_data.txt  Data      Amriswil                             Precipitation; maximum ten minute total of the month        201907-201908
order_94063_TGAMR_rzz150mx_19_legend.txt Legend    Amriswil                             Precipitation; maximum ten minute total of the month        201907-201908
order_94063_TGAMR_rzz150mx_20_data.txt  Data      Amriswil                             Precipitation; maximum ten minute total of the month        201909-201911
