 

stn;time;rhs150d0
SMA;18650516;8.7
SMA;18650517;0.5
SMA;18650518;0.0
SMA;18650519;21.4
SMA;18650520;1.9
SMA;18650521;0.0
SMA;18650522;0.0
SMA;18650523;0.0
SMA;18650524;1.5
SMA;18650525;8.4
SMA;18650526;0.3
SMA;18650527;0.0
SMA;18650528;0.0
SMA;18650529;0.0
SMA;18650530;0.0
SMA;18650531;0.0
SMA;18650601;0.8
SMA;18650602;0.5
SMA;18650603;4.9
SMA;18650604;0.0
SMA;18650605;8.0
SMA;18650606;0.0
SMA;18650607;0.0
SMA;18650608;0.0
SMA;18650609;0.0
SMA;18650610;0.0
SMA;18650611;0.4
SMA;18650612;0.0
SMA;18650613;0.0
SMA;18650614;0.0
SMA;18650615;0.0
SMA;18650616;0.0
SMA;18650617;0.0
SMA;18650618;0.0
SMA;18650619;0.0
SMA;18650620;0.0
SMA;18650621;0.0
SMA;18650622;0.0
SMA;18650623;0.0
SMA;18650624;0.0
SMA;18650625;0.1
SMA;18650626;0.0
SMA;18650627;0.0
SMA;18650628;0.0
SMA;18650629;0.0
SMA;18650630;28.4
SMA;18650701;0.0
SMA;18650702;5.2
SMA;18650703;0.0
SMA;18650704;0.0
SMA;18650705;0.0
SMA;18650706;0.0
SMA;18650707;0.0
SMA;18650708;0.0
SMA;18650709;0.0
SMA;18650710;16.1
SMA;18650711;4.4
SMA;18650712;1.3
SMA;18650713;0.0
SMA;18650714;0.0
SMA;18650715;0.0
SMA;18650716;0.0
SMA;18650717;0.0
SMA;18650718;0.2
SMA;18650719;0.0
SMA;18650720;0.0
SMA;18650721;0.0
SMA;18650722;0.0
SMA;18650723;0.0
SMA;18650724;25.4
SMA;18650725;0.0
SMA;18650726;9.6
SMA;18650727;12.9
SMA;18650728;4.2
SMA;18650729;0.5
SMA;18650730;0.0
SMA;18650731;0.0
SMA;18650801;1.6
SMA;18650802;0.1
SMA;18650803;14.7
SMA;18650804;9.6
SMA;18650805;0.7
SMA;18650806;0.0
SMA;18650807;0.1
SMA;18650808;6.7
SMA;18650809;0.0
SMA;18650810;0.0
SMA;18650811;0.5
SMA;18650812;0.7
SMA;18650813;0.2
SMA;18650814;24.8
SMA;18650815;1.5
SMA;18650816;0.0
SMA;18650817;0.5
SMA;18650818;2.6
SMA;18650819;31.7
SMA;18650820;0.0
SMA;18650821;5.2
SMA;18650822;9.7
SMA;18650823;15.2
SMA;18650824;6.6
SMA;18650825;14.6
SMA;18650826;5.0
SMA;18650827;0.0
SMA;18650828;0.0
SMA;18650829;0.0
SMA;18650830;12.3
SMA;18650831;0.1
SMA;18650901;0.0
SMA;18650902;0.0
SMA;18650903;0.0
SMA;18650904;0.0
SMA;18650905;0.0
SMA;18650906;0.0
SMA;18650907;0.0
SMA;18650908;0.0
SMA;18650909;0.0
SMA;18650910;0.0
SMA;18650911;0.0
SMA;18650912;0.0
SMA;18650913;0.0
SMA;18650914;0.0
SMA;18650915;0.0
SMA;18650916;0.0
SMA;18650917;0.0
SMA;18650918;0.0
SMA;18650919;0.0
SMA;18650920;0.0
SMA;18650921;0.0
SMA;18650922;0.0
SMA;18650923;0.0
SMA;18650924;0.0
SMA;18650925;0.0
SMA;18650926;0.0
SMA;18650927;0.0
SMA;18650928;0.0
SMA;18650929;0.0
SMA;18650930;0.0
SMA;18651001;0.0
SMA;18651002;0.0
SMA;18651003;0.0
SMA;18651004;0.0
SMA;18651005;0.0
SMA;18651006;0.0
SMA;18651007;0.0
