Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95465

Filename                                Filetype  Station                              Parameter                                                   Period
order_95465_BLZ_rre002mx_7_legend.txt   Legend    Bellinzona                           Precipitation; maximum 2-day total of the month             189804-202105
order_95465_DLBER_rre002mx_1_data.txt   Data      Berus                                Precipitation; maximum 2-day total of the month             202008-202105
order_95465_DLBER_rre002mx_1_legend.txt Legend    Berus                                Precipitation; maximum 2-day total of the month             202008-202105
order_95465_BZN_rre002mx_1_data.txt     Data      Beznau                               Precipitation; maximum 2-day total of the month             188110-201407
order_95465_BZN_rre002mx_1_legend.txt   Legend    Beznau                               Precipitation; maximum 2-day total of the month             188110-201407
order_95465_BZN_rre002mx_2_data.txt     Data      Beznau                               Precipitation; maximum 2-day total of the month             201408-201409
order_95465_BZN_rre002mx_2_legend.txt   Legend    Beznau                               Precipitation; maximum 2-day total of the month             201408-201409
order_95465_BEZ_rre002mx_1_data.txt     Data      Beznau                               Precipitation; maximum 2-day total of the month             198811-202105
order_95465_BEZ_rre002mx_1_legend.txt   Legend    Beznau                               Precipitation; maximum 2-day total of the month             198811-202105
order_95465_BIA_rre002mx_1_data.txt     Data      Biasca                               Precipitation; maximum 2-day total of the month             189912-193212
order_95465_BIA_rre002mx_1_legend.txt   Legend    Biasca                               Precipitation; maximum 2-day total of the month             189912-193212
order_95465_BIA_rre002mx_2_data.txt     Data      Biasca                               Precipitation; maximum 2-day total of the month             193308-202105
order_95465_BIA_rre002mx_2_legend.txt   Legend    Biasca                               Precipitation; maximum 2-day total of the month             193308-202105
order_95465_TIBIC_rre002mx_1_data.txt   Data      Biasca A2                            Precipitation; maximum 2-day total of the month             201110-201112
order_95465_TIBIC_rre002mx_1_legend.txt Legend    Biasca A2                            Precipitation; maximum 2-day total of the month             201110-201112
order_95465_TIBIC_rre002mx_2_data.txt   Data      Biasca A2                            Precipitation; maximum 2-day total of the month             201201-201612
order_95465_TIBIC_rre002mx_2_legend.txt Legend    Biasca A2                            Precipitation; maximum 2-day total of the month             201201-201612
order_95465_TIBIC_rre002mx_3_data.txt   Data      Biasca A2                            Precipitation; maximum 2-day total of the month             201701-202105
order_95465_TIBIC_rre002mx_3_legend.txt Legend    Biasca A2                            Precipitation; maximum 2-day total of the month             201701-202105
