Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94066

Filename                                Filetype  Station                              Parameter                                                   Period
order_94066_GLFIL_rzz150mx_2_data.txt   Data      Filzbach                             Precipitation; maximum ten minute total of the month        201405-201406
order_94066_GLFIL_rzz150mx_2_legend.txt Legend    Filzbach                             Precipitation; maximum ten minute total of the month        201405-201406
order_94066_GLFIL_rzz150mx_3_data.txt   Data      Filzbach                             Precipitation; maximum ten minute total of the month        201407-201506
order_94066_GLFIL_rzz150mx_3_legend.txt Legend    Filzbach                             Precipitation; maximum ten minute total of the month        201407-201506
order_94066_GLFIL_rzz150mx_4_data.txt   Data      Filzbach                             Precipitation; maximum ten minute total of the month        201507-201509
order_94066_GLFIL_rzz150mx_4_legend.txt Legend    Filzbach                             Precipitation; maximum ten minute total of the month        201507-201509
order_94066_GLFIL_rzz150mx_5_data.txt   Data      Filzbach                             Precipitation; maximum ten minute total of the month        201510-201712
order_94066_GLFIL_rzz150mx_5_legend.txt Legend    Filzbach                             Precipitation; maximum ten minute total of the month        201510-201712
order_94066_GLFIL_rzz150mx_6_data.txt   Data      Filzbach                             Precipitation; maximum ten minute total of the month        201801-201802
order_94066_GLFIL_rzz150mx_6_legend.txt Legend    Filzbach                             Precipitation; maximum ten minute total of the month        201801-201802
order_94066_GLFIL_rzz150mx_7_data.txt   Data      Filzbach                             Precipitation; maximum ten minute total of the month        201804-201807
order_94066_GLFIL_rzz150mx_7_legend.txt Legend    Filzbach                             Precipitation; maximum ten minute total of the month        201804-201807
order_94066_GLFIL_rzz150mx_8_data.txt   Data      Filzbach                             Precipitation; maximum ten minute total of the month        201808-202003
order_94066_GLFIL_rzz150mx_8_legend.txt Legend    Filzbach                             Precipitation; maximum ten minute total of the month        201808-202003
order_94066_GLFIL_rzz150mx_9_data.txt   Data      Filzbach                             Precipitation; maximum ten minute total of the month        202004-202006
order_94066_GLFIL_rzz150mx_9_legend.txt Legend    Filzbach                             Precipitation; maximum ten minute total of the month        202004-202006
order_94066_GLFIL_rzz150mx_10_data.txt  Data      Filzbach                             Precipitation; maximum ten minute total of the month        202009-202012
order_94066_GLFIL_rzz150mx_10_legend.txt Legend    Filzbach                             Precipitation; maximum ten minute total of the month        202009-202012
