 

stn;time;breclod0
MBA;20060808;1
MBA;20060809;0
MBA;20060810;0
MBA;20060811;0
MBA;20060812;0
MBA;20060813;0
MBA;20060814;0
MBA;20060815;0
MBA;20060816;0
MBA;20060817;0
MBA;20060818;1
MBA;20060819;0
MBA;20060820;0
MBA;20060821;0
MBA;20060822;0
MBA;20060823;0
MBA;20060824;2
MBA;20060825;0
MBA;20060826;0
MBA;20060827;0
MBA;20060828;0
MBA;20060829;0
MBA;20060830;0
MBA;20060831;0
MBA;20060901;0
MBA;20060902;0
MBA;20060903;0
MBA;20060904;0
MBA;20060905;0
MBA;20060906;0
MBA;20060907;0
MBA;20060908;0
MBA;20060909;0
MBA;20060910;0
MBA;20060911;0
MBA;20060912;0
MBA;20060913;0
MBA;20060914;0
MBA;20060915;0
MBA;20060916;0
MBA;20060917;0
MBA;20060918;0
MBA;20060919;0
MBA;20060920;0
MBA;20060921;0
MBA;20060922;0
MBA;20060923;0
MBA;20060924;0
MBA;20060925;0
MBA;20060926;0
MBA;20060927;0
MBA;20060928;0
MBA;20060929;0
MBA;20060930;0
MBA;20061001;0
MBA;20061002;0
MBA;20061003;0
MBA;20061004;0
MBA;20061005;0
MBA;20061006;0
MBA;20061007;0
MBA;20061008;0
MBA;20061009;0
MBA;20061010;0
MBA;20061011;0
MBA;20061012;0
MBA;20061013;0
MBA;20061014;0
MBA;20061015;0
MBA;20061016;0
MBA;20061017;0
MBA;20061018;0
MBA;20061019;0
MBA;20061020;0
MBA;20061021;0
MBA;20061022;0
MBA;20061023;0
MBA;20061024;0
MBA;20061025;0
MBA;20061026;0
MBA;20061027;0
MBA;20061028;0
MBA;20061029;0
MBA;20061030;0
MBA;20061031;0
MBA;20061101;0
MBA;20061102;0
MBA;20061103;0
MBA;20061104;0
MBA;20061105;0
MBA;20061106;0
MBA;20061107;0
MBA;20061108;0
MBA;20061109;0
MBA;20061110;0
MBA;20061111;0
MBA;20061112;0
MBA;20061113;0
MBA;20061114;0
MBA;20061115;0
MBA;20061116;0
MBA;20061117;0
MBA;20061118;0
MBA;20061119;0
MBA;20061120;0
MBA;20061121;0
MBA;20061122;0
MBA;20061123;0
MBA;20061124;0
MBA;20061125;0
MBA;20061126;0
MBA;20061127;0
MBA;20061128;0
MBA;20061129;0
MBA;20061130;0
MBA;20061201;0
MBA;20061202;0
MBA;20061203;0
MBA;20061204;0
MBA;20061205;0
MBA;20061206;0
MBA;20061207;0
MBA;20061208;0
MBA;20061209;0
MBA;20061210;0
MBA;20061211;0
MBA;20061212;0
MBA;20061213;0
MBA;20061214;0
MBA;20061215;0
MBA;20061216;0
MBA;20061217;0
MBA;20061218;0
MBA;20061219;0
MBA;20061220;0
MBA;20061221;0
MBA;20061222;0
MBA;20061223;0
MBA;20061224;0
MBA;20061225;0
MBA;20061226;0
MBA;20061227;0
MBA;20061228;0
MBA;20061229;0
MBA;20061230;0
MBA;20061231;0
MBA;20070101;0
MBA;20070102;0
MBA;20070103;0
MBA;20070104;0
MBA;20070105;0
MBA;20070106;0
MBA;20070107;0
MBA;20070108;0
MBA;20070109;0
MBA;20070110;0
MBA;20070111;0
MBA;20070112;0
MBA;20070113;0
MBA;20070114;0
MBA;20070115;0
MBA;20070116;0
MBA;20070117;0
MBA;20070118;0
MBA;20070119;0
MBA;20070120;0
MBA;20070121;0
MBA;20070122;0
MBA;20070123;0
MBA;20070124;0
MBA;20070125;0
MBA;20070126;0
MBA;20070127;0
MBA;20070128;0
MBA;20070129;0
MBA;20070130;0
MBA;20070131;0
MBA;20070201;0
MBA;20070202;0
MBA;20070203;0
MBA;20070204;0
MBA;20070205;0
MBA;20070206;0
MBA;20070207;0
MBA;20070208;0
MBA;20070209;0
MBA;20070210;0
MBA;20070211;0
MBA;20070212;0
MBA;20070213;0
MBA;20070214;0
MBA;20070215;0
MBA;20070216;0
MBA;20070217;0
MBA;20070218;0
MBA;20070219;0
MBA;20070220;0
MBA;20070221;0
MBA;20070222;0
MBA;20070223;0
MBA;20070224;0
MBA;20070225;0
MBA;20070226;0
MBA;20070227;0
MBA;20070228;0
MBA;20070301;0
MBA;20070302;0
MBA;20070303;0
MBA;20070304;0
MBA;20070305;0
MBA;20070306;0
MBA;20070307;0
MBA;20070308;0
MBA;20070309;0
MBA;20070310;0
MBA;20070311;0
MBA;20070312;0
MBA;20070313;0
MBA;20070314;0
MBA;20070315;0
MBA;20070316;0
MBA;20070317;0
MBA;20070318;0
MBA;20070319;0
MBA;20070320;0
MBA;20070321;0
MBA;20070322;0
MBA;20070323;0
MBA;20070324;0
MBA;20070325;0
MBA;20070326;0
MBA;20070327;0
MBA;20070328;0
MBA;20070329;0
MBA;20070330;0
MBA;20070331;0
MBA;20070401;0
MBA;20070402;0
MBA;20070403;0
MBA;20070404;0
MBA;20070405;0
MBA;20070406;0
MBA;20070407;0
MBA;20070408;0
MBA;20070409;0
MBA;20070410;0
MBA;20070411;0
MBA;20070412;0
MBA;20070413;0
MBA;20070414;0
MBA;20070415;0
MBA;20070416;0
MBA;20070417;0
MBA;20070418;0
MBA;20070419;0
MBA;20070420;0
MBA;20070421;0
MBA;20070422;0
MBA;20070423;0
MBA;20070424;0
MBA;20070425;0
MBA;20070426;1
MBA;20070427;0
MBA;20070428;0
MBA;20070429;12
MBA;20070430;0
MBA;20070501;0
MBA;20070502;0
MBA;20070503;0
MBA;20070504;0
MBA;20070505;0
MBA;20070506;0
MBA;20070507;0
MBA;20070508;0
MBA;20070509;0
MBA;20070510;0
MBA;20070511;0
MBA;20070512;0
MBA;20070513;0
MBA;20070514;0
MBA;20070515;0
MBA;20070516;0
MBA;20070517;0
MBA;20070518;0
MBA;20070519;0
MBA;20070520;7
MBA;20070521;10
MBA;20070522;0
MBA;20070523;0
MBA;20070524;1
MBA;20070525;5
MBA;20070526;0
MBA;20070527;0
MBA;20070528;0
MBA;20070529;0
MBA;20070530;0
MBA;20070531;0
MBA;20070601;0
MBA;20070602;0
MBA;20070603;0
MBA;20070604;0
MBA;20070605;0
MBA;20070606;0
MBA;20070607;0
MBA;20070608;1
MBA;20070609;0
MBA;20070610;2
MBA;20070611;0
MBA;20070612;1
MBA;20070613;0
MBA;20070614;0
MBA;20070615;0
MBA;20070616;0
MBA;20070617;0
MBA;20070618;0
MBA;20070619;2
MBA;20070620;0
MBA;20070621;0
MBA;20070622;0
MBA;20070623;0
MBA;20070624;0
MBA;20070625;2
MBA;20070626;0
MBA;20070627;0
MBA;20070628;0
MBA;20070629;0
MBA;20070630;0
MBA;20070701;15
MBA;20070702;0
MBA;20070703;0
MBA;20070704;0
MBA;20070705;0
MBA;20070706;0
MBA;20070707;0
MBA;20070708;1
MBA;20070709;2
MBA;20070710;0
MBA;20070711;0
MBA;20070712;0
MBA;20070713;0
MBA;20070714;0
MBA;20070715;0
MBA;20070716;0
MBA;20070717;0
MBA;20070718;0
MBA;20070719;6
MBA;20070720;1
MBA;20070721;2
MBA;20070722;0
MBA;20070723;2
MBA;20070724;0
MBA;20070725;0
MBA;20070726;0
MBA;20070727;0
MBA;20070728;0
MBA;20070729;0
MBA;20070730;0
MBA;20070731;0
MBA;20070801;0
MBA;20070802;1
MBA;20070803;0
MBA;20070804;0
MBA;20070805;0
MBA;20070806;0
MBA;20070807;1
MBA;20070808;1
MBA;20070809;0
MBA;20070810;0
MBA;20070811;0
MBA;20070812;0
MBA;20070813;0
MBA;20070814;0
MBA;20070815;0
MBA;20070816;0
MBA;20070817;0
MBA;20070818;0
MBA;20070819;0
MBA;20070820;0
MBA;20070821;0
MBA;20070822;0
MBA;20070823;0
MBA;20070824;0
MBA;20070825;0
MBA;20070826;0
MBA;20070827;0
MBA;20070828;13
MBA;20070829;7
MBA;20070830;0
MBA;20070831;0
MBA;20070901;0
MBA;20070902;0
MBA;20070903;0
MBA;20070904;0
MBA;20070905;0
MBA;20070906;0
MBA;20070907;0
MBA;20070908;0
MBA;20070909;0
MBA;20070910;0
MBA;20070911;0
MBA;20070912;0
MBA;20070913;0
MBA;20070914;0
MBA;20070915;0
MBA;20070916;0
MBA;20070917;0
MBA;20070918;0
MBA;20070919;0
MBA;20070920;0
MBA;20070921;0
MBA;20070922;0
MBA;20070923;0
MBA;20070924;0
MBA;20070925;0
MBA;20070926;0
MBA;20070927;0
MBA;20070928;0
MBA;20070929;0
MBA;20070930;0
MBA;20071001;0
MBA;20071002;0
MBA;20071003;0
MBA;20071004;0
MBA;20071005;0
MBA;20071006;0
MBA;20071007;0
MBA;20071008;0
MBA;20071009;0
MBA;20071010;0
MBA;20071011;0
MBA;20071012;0
MBA;20071013;0
MBA;20071014;0
MBA;20071015;0
MBA;20071016;0
MBA;20071017;0
MBA;20071018;0
MBA;20071019;0
MBA;20071020;0
MBA;20071021;0
MBA;20071022;0
MBA;20071023;0
MBA;20071024;0
MBA;20071025;0
MBA;20071026;0
MBA;20071027;0
MBA;20071028;0
MBA;20071029;0
MBA;20071030;0
MBA;20071031;0
MBA;20071101;0
MBA;20071102;0
MBA;20071103;0
MBA;20071104;0
MBA;20071105;0
MBA;20071106;0
MBA;20071107;0
MBA;20071108;0
MBA;20071109;0
MBA;20071110;0
MBA;20071111;0
MBA;20071112;0
MBA;20071113;0
MBA;20071114;0
MBA;20071115;0
MBA;20071116;0
MBA;20071117;0
MBA;20071118;0
MBA;20071119;0
MBA;20071120;0
MBA;20071121;0
MBA;20071122;0
MBA;20071123;0
MBA;20071124;0
MBA;20071125;0
MBA;20071126;0
MBA;20071127;0
MBA;20071128;0
MBA;20071129;0
MBA;20071130;0
MBA;20071201;0
MBA;20071202;0
MBA;20071203;0
MBA;20071204;0
MBA;20071205;0
MBA;20071206;0
MBA;20071207;0
MBA;20071208;0
MBA;20071209;0
MBA;20071210;0
MBA;20071211;0
MBA;20071212;0
MBA;20071213;0
MBA;20071214;0
MBA;20071215;0
MBA;20071216;0
MBA;20071217;0
MBA;20071218;0
MBA;20071219;0
MBA;20071220;0
MBA;20071221;0
MBA;20071222;0
MBA;20071223;0
MBA;20071224;0
MBA;20071225;0
MBA;20071226;0
MBA;20071227;0
MBA;20071228;0
MBA;20071229;0
MBA;20071230;0
MBA;20071231;0
MBA;20080101;0
MBA;20080102;0
MBA;20080103;0
MBA;20080104;0
MBA;20080105;0
MBA;20080106;0
MBA;20080107;0
MBA;20080108;0
MBA;20080109;0
MBA;20080110;0
MBA;20080111;0
MBA;20080112;0
MBA;20080113;0
MBA;20080114;0
MBA;20080115;0
MBA;20080116;0
MBA;20080117;0
MBA;20080118;0
MBA;20080119;0
MBA;20080120;0
MBA;20080121;0
MBA;20080122;0
MBA;20080123;0
MBA;20080124;0
MBA;20080125;0
MBA;20080126;0
MBA;20080127;0
MBA;20080128;0
MBA;20080129;0
MBA;20080130;0
MBA;20080131;0
MBA;20080201;0
MBA;20080202;0
MBA;20080203;0
MBA;20080204;0
MBA;20080205;0
MBA;20080206;0
MBA;20080207;0
MBA;20080208;0
MBA;20080209;0
MBA;20080210;0
MBA;20080211;0
MBA;20080212;0
MBA;20080213;0
MBA;20080214;0
MBA;20080215;0
MBA;20080216;0
MBA;20080217;0
MBA;20080218;0
MBA;20080219;0
MBA;20080220;0
MBA;20080221;0
MBA;20080222;0
MBA;20080223;0
MBA;20080224;0
MBA;20080225;0
MBA;20080226;0
MBA;20080227;0
MBA;20080228;0
MBA;20080229;0
MBA;20080301;0
MBA;20080302;0
MBA;20080303;0
MBA;20080304;0
MBA;20080305;0
MBA;20080306;0
MBA;20080307;0
MBA;20080308;0
MBA;20080309;0
MBA;20080310;0
MBA;20080311;0
MBA;20080312;0
MBA;20080313;0
MBA;20080314;0
MBA;20080315;0
MBA;20080316;0
MBA;20080317;0
MBA;20080318;0
MBA;20080319;0
MBA;20080320;0
MBA;20080321;0
MBA;20080322;0
MBA;20080323;0
MBA;20080324;0
MBA;20080325;0
MBA;20080326;0
MBA;20080327;0
MBA;20080328;0
MBA;20080329;0
MBA;20080330;0
MBA;20080331;0
MBA;20080401;0
MBA;20080402;0
MBA;20080403;0
MBA;20080404;0
MBA;20080405;0
MBA;20080406;0
MBA;20080407;0
MBA;20080408;0
MBA;20080409;0
MBA;20080410;0
MBA;20080411;0
MBA;20080412;0
MBA;20080413;0
MBA;20080414;0
MBA;20080415;0
MBA;20080416;0
MBA;20080417;0
MBA;20080418;0
MBA;20080419;0
MBA;20080420;0
MBA;20080421;0
MBA;20080422;0
MBA;20080423;0
MBA;20080424;0
MBA;20080425;0
MBA;20080426;0
MBA;20080427;0
MBA;20080428;0
MBA;20080429;0
MBA;20080430;0
MBA;20080501;0
MBA;20080502;0
