 

stn;time;brefard0
PDM;20060914;0
PDM;20060915;1
PDM;20060916;0
PDM;20060917;1
PDM;20060918;0
PDM;20060919;0
PDM;20060920;0
PDM;20060921;0
PDM;20060922;0
PDM;20060923;1
PDM;20060924;74
PDM;20060925;0
PDM;20060926;0
PDM;20060927;0
PDM;20060928;0
PDM;20060929;5
PDM;20060930;156
PDM;20061001;6
PDM;20061002;0
PDM;20061003;0
PDM;20061004;0
PDM;20061005;0
PDM;20061006;0
PDM;20061007;0
PDM;20061008;0
PDM;20061009;0
PDM;20061010;0
PDM;20061011;0
PDM;20061012;0
PDM;20061013;0
PDM;20061014;0
PDM;20061015;11
PDM;20061016;0
PDM;20061017;0
PDM;20061018;1
PDM;20061019;0
PDM;20061020;0
PDM;20061021;0
PDM;20061022;0
PDM;20061023;19
PDM;20061024;18
PDM;20061025;1
PDM;20061026;0
PDM;20061027;0
PDM;20061028;0
PDM;20061029;0
PDM;20061030;0
PDM;20061031;0
PDM;20061101;0
PDM;20061102;0
PDM;20061103;0
PDM;20061104;0
PDM;20061105;0
PDM;20061106;0
PDM;20061107;0
PDM;20061108;0
PDM;20061109;0
PDM;20061110;0
PDM;20061111;0
PDM;20061112;0
PDM;20061113;0
PDM;20061114;0
PDM;20061115;0
PDM;20061116;0
PDM;20061117;0
PDM;20061118;0
PDM;20061119;0
PDM;20061120;0
PDM;20061121;0
PDM;20061122;0
PDM;20061123;0
PDM;20061124;0
PDM;20061125;0
PDM;20061126;0
PDM;20061127;0
PDM;20061128;0
PDM;20061129;0
PDM;20061130;0
PDM;20061201;0
PDM;20061202;0
PDM;20061203;0
PDM;20061204;0
PDM;20061205;0
PDM;20061206;1
PDM;20061207;0
PDM;20061208;0
PDM;20061209;0
PDM;20061210;0
PDM;20061211;0
PDM;20061212;0
PDM;20061213;0
PDM;20061214;0
PDM;20061215;0
PDM;20061216;0
PDM;20061217;0
PDM;20061218;0
PDM;20061219;0
PDM;20061220;0
PDM;20061221;0
PDM;20061222;0
PDM;20061223;0
PDM;20061224;0
PDM;20061225;0
PDM;20061226;0
PDM;20061227;0
PDM;20061228;0
PDM;20061229;0
PDM;20061230;0
PDM;20061231;0
PDM;20070101;0
PDM;20070102;0
PDM;20070103;0
PDM;20070104;0
PDM;20070105;0
PDM;20070106;0
PDM;20070107;0
PDM;20070108;0
PDM;20070109;0
PDM;20070110;0
PDM;20070111;0
PDM;20070112;0
PDM;20070113;0
PDM;20070114;0
PDM;20070115;0
PDM;20070116;0
PDM;20070117;0
PDM;20070118;0
PDM;20070119;0
PDM;20070120;0
PDM;20070121;0
PDM;20070122;0
PDM;20070123;0
PDM;20070124;0
PDM;20070125;0
PDM;20070126;0
PDM;20070127;0
PDM;20070128;0
PDM;20070129;0
PDM;20070130;0
PDM;20070131;0
PDM;20070201;0
PDM;20070202;0
PDM;20070203;0
PDM;20070204;0
PDM;20070205;0
PDM;20070206;0
PDM;20070207;0
PDM;20070208;5
PDM;20070209;0
PDM;20070210;0
PDM;20070211;0
PDM;20070212;1
PDM;20070213;0
PDM;20070214;0
PDM;20070215;0
PDM;20070216;0
PDM;20070217;0
PDM;20070218;0
PDM;20070219;0
PDM;20070220;0
PDM;20070221;0
PDM;20070222;0
PDM;20070223;0
PDM;20070224;20
PDM;20070225;0
PDM;20070226;0
PDM;20070227;0
PDM;20070228;0
PDM;20070301;0
PDM;20070302;0
PDM;20070303;0
PDM;20070304;0
PDM;20070305;0
PDM;20070306;0
PDM;20070307;0
PDM;20070308;0
PDM;20070309;0
PDM;20070310;0
PDM;20070311;0
PDM;20070312;0
PDM;20070313;0
PDM;20070314;0
PDM;20070315;0
PDM;20070316;0
PDM;20070317;0
PDM;20070318;0
PDM;20070319;0
PDM;20070320;0
PDM;20070321;0
PDM;20070322;0
PDM;20070323;0
PDM;20070324;0
PDM;20070325;0
PDM;20070326;0
PDM;20070327;2
PDM;20070328;0
PDM;20070329;2
PDM;20070330;6
PDM;20070331;0
PDM;20070401;0
PDM;20070402;0
PDM;20070403;3
PDM;20070404;0
PDM;20070405;0
PDM;20070406;0
PDM;20070407;0
PDM;20070408;0
PDM;20070409;0
PDM;20070410;0
PDM;20070411;0
PDM;20070412;0
PDM;20070413;0
PDM;20070414;0
PDM;20070415;0
PDM;20070416;0
PDM;20070417;0
PDM;20070418;0
PDM;20070419;0
PDM;20070420;0
PDM;20070421;0
PDM;20070422;0
PDM;20070423;0
PDM;20070424;0
PDM;20070425;0
PDM;20070426;88
PDM;20070427;91
PDM;20070428;98
PDM;20070429;147
PDM;20070430;72
PDM;20070501;0
PDM;20070502;0
PDM;20070503;3
PDM;20070504;12
PDM;20070505;1
PDM;20070506;0
PDM;20070507;0
PDM;20070508;0
PDM;20070509;0
PDM;20070510;0
PDM;20070511;11
PDM;20070512;0
PDM;20070513;0
PDM;20070514;2
PDM;20070515;0
PDM;20070516;0
PDM;20070517;0
PDM;20070518;0
PDM;20070519;0
PDM;20070520;281
PDM;20070521;147
PDM;20070522;1
PDM;20070523;368
PDM;20070524;119
PDM;20070525;42
PDM;20070526;14
PDM;20070527;0
PDM;20070528;0
PDM;20070529;0
PDM;20070530;0
PDM;20070531;2
PDM;20070601;0
PDM;20070602;1
PDM;20070603;0
PDM;20070604;266
PDM;20070605;4
PDM;20070606;4
PDM;20070607;358
PDM;20070608;187
PDM;20070609;1
PDM;20070610;358
PDM;20070611;20
PDM;20070612;19
PDM;20070613;34
PDM;20070614;74
PDM;20070615;7
PDM;20070616;0
PDM;20070617;0
PDM;20070618;129
PDM;20070619;378
PDM;20070620;882
PDM;20070621;870
PDM;20070622;28
PDM;20070623;0
PDM;20070624;25
PDM;20070625;0
PDM;20070626;0
PDM;20070627;0
PDM;20070628;0
PDM;20070629;0
PDM;20070630;0
PDM;20070701;109
PDM;20070702;2
PDM;20070703;0
PDM;20070704;24
PDM;20070705;0
PDM;20070706;0
PDM;20070707;0
PDM;20070708;124
PDM;20070709;32
PDM;20070710;0
PDM;20070711;0
PDM;20070712;0
PDM;20070713;0
PDM;20070714;0
PDM;20070715;0
PDM;20070716;0
PDM;20070717;0
PDM;20070718;4
PDM;20070719;314
PDM;20070720;61
PDM;20070721;0
PDM;20070722;0
PDM;20070723;25
PDM;20070724;0
PDM;20070725;0
PDM;20070726;0
PDM;20070727;0
PDM;20070728;0
PDM;20070729;0
PDM;20070730;0
PDM;20070731;0
PDM;20070801;0
PDM;20070802;53
PDM;20070803;0
PDM;20070804;0
PDM;20070805;0
PDM;20070806;13
PDM;20070807;192
PDM;20070808;10
PDM;20070809;0
PDM;20070810;0
PDM;20070811;0
PDM;20070812;55
PDM;20070813;0
PDM;20070814;0
PDM;20070815;0
PDM;20070816;0
PDM;20070817;0
PDM;20070818;0
PDM;20070819;1
PDM;20070820;0
PDM;20070821;4
PDM;20070822;0
PDM;20070823;0
PDM;20070824;0
PDM;20070825;0
PDM;20070826;0
PDM;20070827;0
PDM;20070828;129
PDM;20070829;1713
PDM;20070830;0
PDM;20070831;0
PDM;20070901;0
PDM;20070902;0
PDM;20070903;0
PDM;20070904;0
PDM;20070905;0
PDM;20070906;0
PDM;20070907;0
PDM;20070908;0
PDM;20070909;0
PDM;20070910;0
PDM;20070911;0
PDM;20070912;0
PDM;20070913;0
PDM;20070914;0
PDM;20070915;0
PDM;20070916;1
PDM;20070917;177
PDM;20070918;0
PDM;20070919;0
PDM;20070920;0
PDM;20070921;0
PDM;20070922;0
PDM;20070923;0
PDM;20070924;0
PDM;20070925;0
PDM;20070926;1
PDM;20070927;0
PDM;20070928;0
PDM;20070929;0
PDM;20070930;0
PDM;20071001;0
PDM;20071002;0
PDM;20071003;0
PDM;20071004;0
PDM;20071005;0
PDM;20071006;0
PDM;20071007;0
PDM;20071008;0
PDM;20071009;0
PDM;20071010;0
PDM;20071011;0
PDM;20071012;0
PDM;20071013;0
PDM;20071014;0
PDM;20071015;0
PDM;20071016;0
PDM;20071017;0
PDM;20071018;0
PDM;20071019;0
PDM;20071020;0
PDM;20071021;0
PDM;20071022;0
PDM;20071023;0
PDM;20071024;0
PDM;20071025;0
PDM;20071026;0
PDM;20071027;0
PDM;20071028;0
PDM;20071029;0
PDM;20071030;0
PDM;20071031;0
PDM;20071101;0
PDM;20071102;0
PDM;20071103;0
PDM;20071104;0
PDM;20071105;0
PDM;20071106;0
PDM;20071107;0
PDM;20071108;0
PDM;20071109;0
PDM;20071110;0
PDM;20071111;0
PDM;20071112;0
PDM;20071113;0
PDM;20071114;0
PDM;20071115;0
PDM;20071116;0
PDM;20071117;0
PDM;20071118;0
PDM;20071119;0
PDM;20071120;0
PDM;20071121;0
PDM;20071122;0
PDM;20071123;0
PDM;20071124;0
PDM;20071125;0
PDM;20071126;0
PDM;20071127;0
PDM;20071128;0
PDM;20071129;0
PDM;20071130;0
PDM;20071201;0
PDM;20071202;0
PDM;20071203;0
PDM;20071204;0
PDM;20071205;0
PDM;20071206;0
PDM;20071207;1
PDM;20071208;0
PDM;20071209;0
PDM;20071210;0
PDM;20071211;0
PDM;20071212;0
PDM;20071213;0
PDM;20071214;0
PDM;20071215;0
PDM;20071216;0
PDM;20071217;0
PDM;20071218;0
PDM;20071219;0
PDM;20071220;0
PDM;20071221;0
PDM;20071222;0
PDM;20071223;0
PDM;20071224;0
PDM;20071225;0
PDM;20071226;0
PDM;20071227;0
PDM;20071228;0
PDM;20071229;0
PDM;20071230;0
PDM;20071231;0
PDM;20080101;0
PDM;20080102;0
PDM;20080103;0
PDM;20080104;0
PDM;20080105;0
PDM;20080106;0
PDM;20080107;0
PDM;20080108;0
PDM;20080109;0
PDM;20080110;0
PDM;20080111;0
PDM;20080112;0
PDM;20080113;0
PDM;20080114;0
PDM;20080115;0
PDM;20080116;0
PDM;20080117;0
PDM;20080118;0
PDM;20080119;0
PDM;20080120;0
PDM;20080121;0
PDM;20080122;0
PDM;20080123;0
PDM;20080124;0
PDM;20080125;0
PDM;20080126;0
PDM;20080127;0
PDM;20080128;0
PDM;20080129;0
PDM;20080130;0
PDM;20080131;0
PDM;20080201;0
PDM;20080202;0
PDM;20080203;0
PDM;20080204;0
PDM;20080205;0
PDM;20080206;0
PDM;20080207;0
PDM;20080208;0
PDM;20080209;0
PDM;20080210;0
PDM;20080211;0
PDM;20080212;0
PDM;20080213;0
PDM;20080214;0
PDM;20080215;0
PDM;20080216;0
PDM;20080217;0
PDM;20080218;0
PDM;20080219;0
PDM;20080220;0
PDM;20080221;0
PDM;20080222;0
PDM;20080223;0
PDM;20080224;0
PDM;20080225;0
PDM;20080226;0
PDM;20080227;0
PDM;20080228;0
PDM;20080229;0
PDM;20080301;0
PDM;20080302;0
PDM;20080303;0
PDM;20080304;0
PDM;20080305;0
PDM;20080306;0
PDM;20080307;0
PDM;20080308;0
PDM;20080309;0
PDM;20080310;0
PDM;20080311;0
PDM;20080312;0
PDM;20080313;0
PDM;20080314;0
PDM;20080315;0
PDM;20080316;0
PDM;20080317;0
PDM;20080318;0
PDM;20080319;0
PDM;20080320;0
PDM;20080321;0
PDM;20080322;0
PDM;20080323;0
PDM;20080324;0
PDM;20080325;0
PDM;20080326;0
PDM;20080327;0
PDM;20080328;0
PDM;20080329;0
PDM;20080330;0
PDM;20080331;0
PDM;20080401;0
PDM;20080402;0
PDM;20080403;0
PDM;20080404;0
PDM;20080405;0
PDM;20080406;0
PDM;20080407;0
PDM;20080408;0
PDM;20080409;9
PDM;20080410;130
PDM;20080411;0
PDM;20080412;0
PDM;20080413;0
PDM;20080414;0
PDM;20080415;0
PDM;20080416;0
PDM;20080417;0
PDM;20080418;0
PDM;20080419;1
PDM;20080420;0
PDM;20080421;0
PDM;20080422;0
PDM;20080423;0
PDM;20080424;0
PDM;20080425;0
PDM;20080426;0
PDM;20080427;0
PDM;20080428;0
PDM;20080429;0
PDM;20080430;0
PDM;20080501;0
PDM;20080502;0
PDM;20080503;0
PDM;20080504;0
PDM;20080505;0
PDM;20080506;0
PDM;20080507;0
PDM;20080508;0
PDM;20080509;0
PDM;20080510;0
PDM;20080511;153
PDM;20080512;48
PDM;20080513;3
PDM;20080514;92
PDM;20080515;70
PDM;20080516;111
PDM;20080517;0
PDM;20080518;0
PDM;20080519;0
PDM;20080520;0
PDM;20080521;0
PDM;20080522;0
PDM;20080523;0
PDM;20080524;84
PDM;20080525;0
PDM;20080526;26
PDM;20080527;0
PDM;20080528;0
PDM;20080529;5
PDM;20080530;223
PDM;20080531;2
PDM;20080601;0
PDM;20080602;17
PDM;20080603;6
PDM;20080604;0
PDM;20080605;0
PDM;20080606;0
PDM;20080607;0
PDM;20080608;2
PDM;20080609;242
PDM;20080610;229
PDM;20080611;25
PDM;20080612;0
PDM;20080613;0
PDM;20080614;0
PDM;20080615;0
PDM;20080616;0
PDM;20080617;0
PDM;20080618;0
PDM;20080619;0
PDM;20080620;0
PDM;20080621;0
PDM;20080622;0
PDM;20080623;0
PDM;20080624;0
PDM;20080625;0
PDM;20080626;0
PDM;20080627;0
PDM;20080628;0
PDM;20080629;33
PDM;20080630;1
PDM;20080701;125
PDM;20080702;614
PDM;20080703;546
PDM;20080704;0
PDM;20080705;0
PDM;20080706;11
PDM;20080707;0
PDM;20080708;0
PDM;20080709;0
PDM;20080710;23
PDM;20080711;402
PDM;20080712;0
PDM;20080713;0
PDM;20080714;0
PDM;20080715;0
PDM;20080716;0
PDM;20080717;0
PDM;20080718;0
PDM;20080719;7
PDM;20080720;14
PDM;20080721;0
PDM;20080722;0
PDM;20080723;0
PDM;20080724;0
PDM;20080725;0
PDM;20080726;125
PDM;20080727;65
PDM;20080728;9
PDM;20080729;274
PDM;20080730;672
PDM;20080731;2
PDM;20080801;234
PDM;20080802;0
PDM;20080803;0
PDM;20080804;0
PDM;20080805;0
PDM;20080806;0
PDM;20080807;128
PDM;20080808;1
PDM;20080809;0
PDM;20080810;0
PDM;20080811;1
PDM;20080812;12
PDM;20080813;0
PDM;20080814;0
PDM;20080815;1
PDM;20080816;0
PDM;20080817;7
PDM;20080818;0
PDM;20080819;22
PDM;20080820;0
PDM;20080821;0
PDM;20080822;26
PDM;20080823;0
PDM;20080824;0
PDM;20080825;0
PDM;20080826;0
PDM;20080827;0
PDM;20080828;0
PDM;20080829;0
PDM;20080830;0
PDM;20080831;87
PDM;20080901;2
PDM;20080902;1
PDM;20080903;185
PDM;20080904;8
PDM;20080905;0
PDM;20080906;0
PDM;20080907;0
PDM;20080908;0
PDM;20080909;0
PDM;20080910;0
PDM;20080911;12
PDM;20080912;1
PDM;20080913;0
PDM;20080914;0
PDM;20080915;0
PDM;20080916;0
PDM;20080917;0
PDM;20080918;18
PDM;20080919;1
PDM;20080920;0
PDM;20080921;0
