Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94885

Filename                                Filetype  Station                              Parameter                                                   Period
order_94885_IYSIG_tre200y0_2_legend.txt Legend    Signalgipfel / Wilder Freiger        Air temperature 2 m above ground; annual mean               2010-2011
order_94885_IYSIG_tre200y0_3_data.txt   Data      Signalgipfel / Wilder Freiger        Air temperature 2 m above ground; annual mean               2015-2018
order_94885_IYSIG_tre200y0_3_legend.txt Legend    Signalgipfel / Wilder Freiger        Air temperature 2 m above ground; annual mean               2015-2018
order_94885_IYSUS_tre200y0_1_data.txt   Data      Sulden / Schöntaufspitze             Air temperature 2 m above ground; annual mean               2003-2004
order_94885_IYSUS_tre200y0_1_legend.txt Legend    Sulden / Schöntaufspitze             Air temperature 2 m above ground; annual mean               2003-2004
order_94885_IYSUS_tre200y0_2_data.txt   Data      Sulden / Schöntaufspitze             Air temperature 2 m above ground; annual mean               2006-2008
order_94885_IYSUS_tre200y0_2_legend.txt Legend    Sulden / Schöntaufspitze             Air temperature 2 m above ground; annual mean               2006-2008
order_94885_IYSUS_tre200y0_3_data.txt   Data      Sulden / Schöntaufspitze             Air temperature 2 m above ground; annual mean               2009-2015
order_94885_IYSUS_tre200y0_3_legend.txt Legend    Sulden / Schöntaufspitze             Air temperature 2 m above ground; annual mean               2009-2015
order_94885_IYSUS_tre200y0_4_data.txt   Data      Sulden / Schöntaufspitze             Air temperature 2 m above ground; annual mean               2016-2017
order_94885_IYSUS_tre200y0_4_legend.txt Legend    Sulden / Schöntaufspitze             Air temperature 2 m above ground; annual mean               2016-2017
order_94885_IYSUS_tre200y0_5_data.txt   Data      Sulden / Schöntaufspitze             Air temperature 2 m above ground; annual mean               2019-2020
order_94885_IYSUS_tre200y0_5_legend.txt Legend    Sulden / Schöntaufspitze             Air temperature 2 m above ground; annual mean               2019-2020
order_94885_IYULW_tre200y0_1_data.txt   Data      Ulten / Weissbrunnspitz              Air temperature 2 m above ground; annual mean               2012-2013
order_94885_IYULW_tre200y0_1_legend.txt Legend    Ulten / Weissbrunnspitz              Air temperature 2 m above ground; annual mean               2012-2013
order_94885_IYULW_tre200y0_2_data.txt   Data      Ulten / Weissbrunnspitz              Air temperature 2 m above ground; annual mean               2014-2018
order_94885_IYULW_tre200y0_2_legend.txt Legend    Ulten / Weissbrunnspitz              Air temperature 2 m above ground; annual mean               2014-2018
