Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94082

Filename                                Filetype  Station                              Parameter                                                   Period
order_94082_NABDAV_rhh150mx_4_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum total per hour of the month          199512-199605
order_94082_NABDAV_rhh150mx_5_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum total per hour of the month          199606-199610
order_94082_NABDAV_rhh150mx_5_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum total per hour of the month          199606-199610
order_94082_NABDAV_rhh150mx_6_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum total per hour of the month          199611-199705
order_94082_NABDAV_rhh150mx_6_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum total per hour of the month          199611-199705
order_94082_NABDAV_rhh150mx_7_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum total per hour of the month          199706-199811
order_94082_NABDAV_rhh150mx_7_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum total per hour of the month          199706-199811
order_94082_NABDAV_rhh150mx_8_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum total per hour of the month          199812-199905
order_94082_NABDAV_rhh150mx_8_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum total per hour of the month          199812-199905
order_94082_NABDAV_rhh150mx_9_data.txt  Data      Davos / Seehornwald                  Precipitation; maximum total per hour of the month          199906-200604
order_94082_NABDAV_rhh150mx_9_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum total per hour of the month          199906-200604
order_94082_NABDAV_rhh150mx_10_data.txt Data      Davos / Seehornwald                  Precipitation; maximum total per hour of the month          200605-200706
order_94082_NABDAV_rhh150mx_10_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum total per hour of the month          200605-200706
order_94082_NABDAV_rhh150mx_11_data.txt Data      Davos / Seehornwald                  Precipitation; maximum total per hour of the month          200707-201107
order_94082_NABDAV_rhh150mx_11_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum total per hour of the month          200707-201107
order_94082_NABDAV_rhh150mx_12_data.txt Data      Davos / Seehornwald                  Precipitation; maximum total per hour of the month          201108-201206
order_94082_NABDAV_rhh150mx_12_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum total per hour of the month          201108-201206
order_94082_NABDAV_rhh150mx_13_data.txt Data      Davos / Seehornwald                  Precipitation; maximum total per hour of the month          201207-201507
order_94082_NABDAV_rhh150mx_13_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum total per hour of the month          201207-201507
order_94082_NABDAV_rhh150mx_14_data.txt Data      Davos / Seehornwald                  Precipitation; maximum total per hour of the month          201508-201608
order_94082_NABDAV_rhh150mx_14_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum total per hour of the month          201508-201608
order_94082_NABDAV_rhh150mx_15_data.txt Data      Davos / Seehornwald                  Precipitation; maximum total per hour of the month          201609-202103
order_94082_NABDAV_rhh150mx_15_legend.txt Legend    Davos / Seehornwald                  Precipitation; maximum total per hour of the month          201609-202103
order_94082_EVO_rhh150mx_1_data.txt     Data      Evolène / Villa                      Precipitation; maximum total per hour of the month          198609-200511
