Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94069

Filename                                Filetype  Station                              Parameter                                                   Period
order_94069_CDM_rzz150mx_1_data.txt     Data      Col des Mosses                       Precipitation; maximum ten minute total of the month        201510-201712
order_94069_CDM_rzz150mx_1_legend.txt   Legend    Col des Mosses                       Precipitation; maximum ten minute total of the month        201510-201712
order_94069_CDM_rzz150mx_2_data.txt     Data      Col des Mosses                       Precipitation; maximum ten minute total of the month        201801-202009
order_94069_CDM_rzz150mx_2_legend.txt   Legend    Col des Mosses                       Precipitation; maximum ten minute total of the month        201801-202009
order_94069_CDM_rzz150mx_3_data.txt     Data      Col des Mosses                       Precipitation; maximum ten minute total of the month        202010-202103
order_94069_CDM_rzz150mx_3_legend.txt   Legend    Col des Mosses                       Precipitation; maximum ten minute total of the month        202010-202103
order_94069_VSDER_rzz150mx_1_data.txt   Data      Derborence                           Precipitation; maximum ten minute total of the month        201211-201306
order_94069_VSDER_rzz150mx_1_legend.txt Legend    Derborence                           Precipitation; maximum ten minute total of the month        201211-201306
order_94069_VSDER_rzz150mx_2_data.txt   Data      Derborence                           Precipitation; maximum ten minute total of the month        201308-201309
order_94069_VSDER_rzz150mx_2_legend.txt Legend    Derborence                           Precipitation; maximum ten minute total of the month        201308-201309
order_94069_VSDER_rzz150mx_3_data.txt   Data      Derborence                           Precipitation; maximum ten minute total of the month        201310-201703
order_94069_VSDER_rzz150mx_3_legend.txt Legend    Derborence                           Precipitation; maximum ten minute total of the month        201310-201703
order_94069_VSDER_rzz150mx_4_data.txt   Data      Derborence                           Precipitation; maximum ten minute total of the month        201704-201807
order_94069_VSDER_rzz150mx_4_legend.txt Legend    Derborence                           Precipitation; maximum ten minute total of the month        201704-201807
order_94069_VSDER_rzz150mx_5_data.txt   Data      Derborence                           Precipitation; maximum ten minute total of the month        201808-201811
order_94069_VSDER_rzz150mx_5_legend.txt Legend    Derborence                           Precipitation; maximum ten minute total of the month        201808-201811
order_94069_VSDER_rzz150mx_6_data.txt   Data      Derborence                           Precipitation; maximum ten minute total of the month        201812-202103
order_94069_VSDER_rzz150mx_6_legend.txt Legend    Derborence                           Precipitation; maximum ten minute total of the month        201812-202103
order_94069_IYDEU_rzz150mx_1_data.txt   Data      Deutschnofen                         Precipitation; maximum ten minute total of the month        200212-200303
order_94069_IYDEU_rzz150mx_1_legend.txt Legend    Deutschnofen                         Precipitation; maximum ten minute total of the month        200212-200303
order_94069_IYDEU_rzz150mx_2_data.txt   Data      Deutschnofen                         Precipitation; maximum ten minute total of the month        200306-200307
order_94069_IYDEU_rzz150mx_2_legend.txt Legend    Deutschnofen                         Precipitation; maximum ten minute total of the month        200306-200307
order_94069_IYDEU_rzz150mx_3_data.txt   Data      Deutschnofen                         Precipitation; maximum ten minute total of the month        200309-200310
order_94069_IYDEU_rzz150mx_3_legend.txt Legend    Deutschnofen                         Precipitation; maximum ten minute total of the month        200309-200310
order_94069_IYDEU_rzz150mx_4_data.txt   Data      Deutschnofen                         Precipitation; maximum ten minute total of the month        200312-201902
order_94069_IYDEU_rzz150mx_4_legend.txt Legend    Deutschnofen                         Precipitation; maximum ten minute total of the month        200312-201902
order_94069_IYDEU_rzz150mx_5_data.txt   Data      Deutschnofen                         Precipitation; maximum ten minute total of the month        201905-201907
order_94069_IYDEU_rzz150mx_5_legend.txt Legend    Deutschnofen                         Precipitation; maximum ten minute total of the month        201905-201907
order_94069_IYDEU_rzz150mx_6_data.txt   Data      Deutschnofen                         Precipitation; maximum ten minute total of the month        201909-201912
order_94069_IYDEU_rzz150mx_6_legend.txt Legend    Deutschnofen                         Precipitation; maximum ten minute total of the month        201909-201912
order_94069_IYDEU_rzz150mx_7_data.txt   Data      Deutschnofen                         Precipitation; maximum ten minute total of the month        202001-202002
order_94069_IYDEU_rzz150mx_7_legend.txt Legend    Deutschnofen                         Precipitation; maximum ten minute total of the month        202001-202002
order_94069_IYDEU_rzz150mx_8_data.txt   Data      Deutschnofen                         Precipitation; maximum ten minute total of the month        202005-202006
order_94069_IYDEU_rzz150mx_8_legend.txt Legend    Deutschnofen                         Precipitation; maximum ten minute total of the month        202005-202006
order_94069_IYDEU_rzz150mx_9_data.txt   Data      Deutschnofen                         Precipitation; maximum ten minute total of the month        202009-202012
order_94069_IYDEU_rzz150mx_9_legend.txt Legend    Deutschnofen                         Precipitation; maximum ten minute total of the month        202009-202012
order_94069_DLFEB_rzz150mx_1_data.txt   Data      Feldberg, Schwarzwald                Precipitation; maximum ten minute total of the month        201605-201608
order_94069_DLFEB_rzz150mx_1_legend.txt Legend    Feldberg, Schwarzwald                Precipitation; maximum ten minute total of the month        201605-201608
order_94069_DLFEB_rzz150mx_2_data.txt   Data      Feldberg, Schwarzwald                Precipitation; maximum ten minute total of the month        201609-201703
order_94069_DLFEB_rzz150mx_2_legend.txt Legend    Feldberg, Schwarzwald                Precipitation; maximum ten minute total of the month        201609-201703
order_94069_DLFEB_rzz150mx_3_data.txt   Data      Feldberg, Schwarzwald                Precipitation; maximum ten minute total of the month        201704-201710
order_94069_DLFEB_rzz150mx_3_legend.txt Legend    Feldberg, Schwarzwald                Precipitation; maximum ten minute total of the month        201704-201710
order_94069_DLFEB_rzz150mx_4_data.txt   Data      Feldberg, Schwarzwald                Precipitation; maximum ten minute total of the month        201802-201812
order_94069_DLFEB_rzz150mx_4_legend.txt Legend    Feldberg, Schwarzwald                Precipitation; maximum ten minute total of the month        201802-201812
order_94069_DLFEB_rzz150mx_5_data.txt   Data      Feldberg, Schwarzwald                Precipitation; maximum ten minute total of the month        201904-201906
order_94069_DLFEB_rzz150mx_5_legend.txt Legend    Feldberg, Schwarzwald                Precipitation; maximum ten minute total of the month        201904-201906
order_94069_DLFEB_rzz150mx_6_data.txt   Data      Feldberg, Schwarzwald                Precipitation; maximum ten minute total of the month        201907-201912
order_94069_DLFEB_rzz150mx_6_legend.txt Legend    Feldberg, Schwarzwald                Precipitation; maximum ten minute total of the month        201907-201912
order_94069_DLFEB_rzz150mx_7_data.txt   Data      Feldberg, Schwarzwald                Precipitation; maximum ten minute total of the month        202002-202003
order_94069_DLFEB_rzz150mx_7_legend.txt Legend    Feldberg, Schwarzwald                Precipitation; maximum ten minute total of the month        202002-202003
order_94069_DLFEB_rzz150mx_8_data.txt   Data      Feldberg, Schwarzwald                Precipitation; maximum ten minute total of the month        202004-202005
order_94069_DLFEB_rzz150mx_8_legend.txt Legend    Feldberg, Schwarzwald                Precipitation; maximum ten minute total of the month        202004-202005
order_94069_DLFEB_rzz150mx_9_data.txt   Data      Feldberg, Schwarzwald                Precipitation; maximum ten minute total of the month        202006-202008
order_94069_DLFEB_rzz150mx_9_legend.txt Legend    Feldberg, Schwarzwald                Precipitation; maximum ten minute total of the month        202006-202008
order_94069_DLFEB_rzz150mx_10_data.txt  Data      Feldberg, Schwarzwald                Precipitation; maximum ten minute total of the month        202009-202012
order_94069_DLFEB_rzz150mx_10_legend.txt Legend    Feldberg, Schwarzwald                Precipitation; maximum ten minute total of the month        202009-202012
order_94069_FIO_rzz150mx_1_data.txt     Data      Fionnay                              Precipitation; maximum ten minute total of the month        201309-201311
order_94069_FIO_rzz150mx_1_legend.txt   Legend    Fionnay                              Precipitation; maximum ten minute total of the month        201309-201311
order_94069_FIO_rzz150mx_2_data.txt     Data      Fionnay                              Precipitation; maximum ten minute total of the month        201312-201811
order_94069_FIO_rzz150mx_2_legend.txt   Legend    Fionnay                              Precipitation; maximum ten minute total of the month        201312-201811
order_94069_FIO_rzz150mx_3_data.txt     Data      Fionnay                              Precipitation; maximum ten minute total of the month        201812-202103
order_94069_FIO_rzz150mx_3_legend.txt   Legend    Fionnay                              Precipitation; maximum ten minute total of the month        201812-202103
order_94069_TIGAN_rzz150mx_1_data.txt   Data      Gambarogno / Alpe di Neggia          Precipitation; maximum ten minute total of the month        201905-201912
order_94069_TIGAN_rzz150mx_1_legend.txt Legend    Gambarogno / Alpe di Neggia          Precipitation; maximum ten minute total of the month        201905-201912
order_94069_TIGAN_rzz150mx_2_data.txt   Data      Gambarogno / Alpe di Neggia          Precipitation; maximum ten minute total of the month        202001-202005
order_94069_TIGAN_rzz150mx_2_legend.txt Legend    Gambarogno / Alpe di Neggia          Precipitation; maximum ten minute total of the month        202001-202005
order_94069_TIGAN_rzz150mx_3_data.txt   Data      Gambarogno / Alpe di Neggia          Precipitation; maximum ten minute total of the month        202006-202103
order_94069_TIGAN_rzz150mx_3_legend.txt Legend    Gambarogno / Alpe di Neggia          Precipitation; maximum ten minute total of the month        202006-202103
order_94069_DLGRO_rzz150mx_1_data.txt   Data      Grosser Arber                        Precipitation; maximum ten minute total of the month        202008-202103
order_94069_DLGRO_rzz150mx_1_legend.txt Legend    Grosser Arber                        Precipitation; maximum ten minute total of the month        202008-202103
order_94069_BEMBE_rzz150mx_1_data.txt   Data      Marbachegg                           Precipitation; maximum ten minute total of the month        201111-201203
order_94069_BEMBE_rzz150mx_1_legend.txt Legend    Marbachegg                           Precipitation; maximum ten minute total of the month        201111-201203
order_94069_BEMBE_rzz150mx_2_data.txt   Data      Marbachegg                           Precipitation; maximum ten minute total of the month        201210-201212
order_94069_BEMBE_rzz150mx_2_legend.txt Legend    Marbachegg                           Precipitation; maximum ten minute total of the month        201210-201212
order_94069_BEMBE_rzz150mx_3_data.txt   Data      Marbachegg                           Precipitation; maximum ten minute total of the month        201304-201507
order_94069_BEMBE_rzz150mx_3_legend.txt Legend    Marbachegg                           Precipitation; maximum ten minute total of the month        201304-201507
order_94069_BEMBE_rzz150mx_4_data.txt   Data      Marbachegg                           Precipitation; maximum ten minute total of the month        201509-202103
order_94069_BEMBE_rzz150mx_4_legend.txt Legend    Marbachegg                           Precipitation; maximum ten minute total of the month        201509-202103
