 

stn;time;rhs150m0
KLA;193109;106.0
KLA;193110;49.7
KLA;193111;39.6
KLA;193112;76.4
KLA;193201;104.8
KLA;193202;10.7
KLA;193203;80.8
KLA;193204;98.5
KLA;193205;123.9
KLA;193206;71.0
KLA;193207;191.7
KLA;193208;68.0
KLA;193209;44.3
KLA;193210;118.7
KLA;193211;62.8
KLA;193212;7.2
KLA;193301;59.3
KLA;193302;80.2
KLA;193303;72.3
KLA;193304;57.3
KLA;193305;209.3
KLA;193306;140.1
KLA;193307;142.8
KLA;193308;71.0
KLA;193309;88.6
KLA;193310;129.6
KLA;193311;60.4
KLA;193312;22.7
KLA;193401;61.1
KLA;193402;11.8
KLA;193403;50.2
KLA;193404;43.5
KLA;193405;44.7
KLA;193406;165.6
KLA;193407;147.7
KLA;193408;221.7
KLA;193409;88.9
KLA;193410;102.7
KLA;193411;50.5
KLA;193412;58.0
KLA;193501;87.5
KLA;193502;278.8
KLA;193503;81.1
KLA;193504;108.0
KLA;193505;113.1
KLA;193506;98.4
KLA;193507;111.0
KLA;193508;138.4
KLA;193509;80.8
KLA;193510;186.0
KLA;193511;58.0
KLA;193512;93.1
KLA;193601;76.4
KLA;193602;65.0
KLA;193603;29.7
KLA;193604;122.0
KLA;193605;69.1
KLA;193606;97.2
KLA;193607;244.0
KLA;193608;74.6
KLA;193609;103.4
KLA;193610;97.9
KLA;193611;18.1
KLA;193612;103.7
KLA;193701;81.0
KLA;193702;159.0
KLA;193703;101.9
KLA;193704;61.7
KLA;193705;59.9
KLA;193706;122.5
KLA;193707;130.1
KLA;193708;145.4
KLA;193709;133.2
KLA;193710;65.6
KLA;193711;51.1
KLA;193712;59.7
KLA;193801;114.0
KLA;193802;58.4
KLA;193803;36.2
KLA;193804;28.7
KLA;193805;78.0
KLA;193806;132.0
KLA;193807;94.7
KLA;193808;143.7
KLA;193809;44.8
KLA;193810;55.5
KLA;193811;23.9
KLA;193812;57.5
KLA;193901;61.1
KLA;193902;23.7
KLA;193903;169.1
KLA;193904;47.6
KLA;193905;163.3
KLA;193906;83.4
KLA;193907;189.1
KLA;193908;89.9
KLA;193909;109.0
KLA;193910;152.8
KLA;193911;227.8
KLA;193912;81.2
KLA;194001;82.4
KLA;194002;106.3
KLA;194003;95.7
KLA;194004;70.7
KLA;194005;163.5
KLA;194006;119.7
KLA;194007;174.0
KLA;194008;108.7
KLA;194009;132.9
KLA;194010;37.3
KLA;194011;114.2
KLA;194012;103.4
KLA;194101;23.4
KLA;194102;44.0
KLA;194103;76.2
KLA;194104;51.1
KLA;194105;88.4
KLA;194106;85.9
KLA;194107;165.1
KLA;194108;189.6
KLA;194109;85.4
KLA;194110;114.3
KLA;194111;70.9
KLA;194112;85.2
KLA;194201;80.3
KLA;194202;27.3
KLA;194203;71.1
KLA;194204;60.9
KLA;194205;126.3
KLA;194206;130.3
KLA;194207;113.0
KLA;194208;106.4
KLA;194209;124.9
KLA;194210;111.8
KLA;194211;47.9
KLA;194212;12.7
KLA;194301;97.4
KLA;194302;49.7
KLA;194303;55.3
KLA;194304;134.2
KLA;194305;117.0
KLA;194306;174.0
KLA;194307;104.9
KLA;194308;46.7
KLA;194309;141.0
KLA;194310;0.0
KLA;194311;71.0
KLA;194312;27.1
KLA;194401;89.7
KLA;194402;152.5
KLA;194403;185.2
KLA;194404;40.2
KLA;194405;62.4
KLA;194406;125.4
KLA;194407;126.2
KLA;194408;75.8
KLA;194409;134.2
KLA;194410;96.9
KLA;194411;227.3
KLA;194412;89.1
KLA;194501;61.8
KLA;194502;111.0
KLA;194503;228.6
KLA;194504;108.2
KLA;194505;107.9
KLA;194506;73.3
KLA;194507;57.5
KLA;194508;126.0
KLA;194509;140.9
KLA;194510;71.8
KLA;194511;35.6
KLA;194512;114.2
KLA;194601;95.0
KLA;194602;231.8
KLA;194603;20.2
KLA;194604;11.9
KLA;194605;89.2
KLA;194606;203.1
KLA;194607;175.9
KLA;194608;115.7
KLA;194609;47.3
KLA;194610;51.3
KLA;194611;48.0
KLA;194612;68.3
KLA;194701;63.7
KLA;194702;46.8
KLA;194703;143.5
KLA;194704;51.1
KLA;194705;50.6
KLA;194706;136.0
KLA;194707;160.8
KLA;194708;126.4
KLA;194709;40.3
KLA;194710;33.2
KLA;194711;198.7
KLA;194712;154.5
KLA;194801;133.9
KLA;194802;168.2
KLA;194803;78.8
KLA;194804;62.6
KLA;194805;42.0
KLA;194806;238.9
KLA;194807;184.0
KLA;194808;132.6
KLA;194809;65.3
KLA;194810;35.3
KLA;194811;19.4
KLA;194812;29.1
KLA;194901;133.7
KLA;194902;22.7
KLA;194903;90.4
KLA;194904;93.4
KLA;194905;80.4
KLA;194906;81.8
KLA;194907;102.6
KLA;194908;101.4
KLA;194909;63.3
KLA;194910;68.9
KLA;194911;65.9
KLA;194912;97.4
KLA;195001;128.9
KLA;195002;119.0
KLA;195003;15.7
KLA;195004;147.4
KLA;195005;61.1
KLA;195006;95.7
KLA;195007;127.2
KLA;195008;144.1
KLA;195009;127.6
KLA;195010;15.6
KLA;195011;178.3
KLA;195012;38.1
KLA;195101;232.5
KLA;195102;97.7
KLA;195103;100.0
KLA;195104;61.8
KLA;195105;52.6
KLA;195106;141.9
KLA;195107;114.8
KLA;195108;136.2
KLA;195109;64.9
KLA;195110;15.0
KLA;195111;156.8
KLA;195112;43.6
KLA;195201;107.2
KLA;195202;110.5
KLA;195203;113.0
KLA;195204;32.8
KLA;195205;70.6
KLA;195206;98.7
KLA;195207;82.3
KLA;195208;125.2
KLA;195209;146.2
KLA;195210;129.3
KLA;195211;196.1
KLA;195212;96.0
KLA;195301;33.1
KLA;195302;52.3
KLA;195303;8.1
KLA;195304;91.1
KLA;195305;69.0
KLA;195306;154.7
KLA;195307;147.9
KLA;195308;94.1
KLA;195309;78.5
KLA;195310;67.0
KLA;195311;9.2
KLA;195312;51.8
KLA;195401;197.5
KLA;195402;45.0
KLA;195403;43.1
KLA;195404;67.3
KLA;195405;139.5
KLA;195406;127.3
KLA;195407;204.0
KLA;195408;200.2
KLA;195409;138.4
KLA;195410;81.9
KLA;195411;37.3
KLA;195412;264.6
KLA;195501;75.7
KLA;195502;172.4
KLA;195503;30.9
KLA;195504;100.3
KLA;195505;137.4
KLA;195506;120.0
KLA;195507;136.3
KLA;195508;88.7
KLA;195509;81.1
KLA;195510;85.4
KLA;195511;27.6
KLA;195512;97.2
KLA;195601;95.5
KLA;195602;31.5
KLA;195603;130.7
KLA;195604;71.8
KLA;195605;110.2
KLA;195606;170.2
KLA;195607;132.6
KLA;195608;178.1
KLA;195609;109.3
KLA;195610;124.6
KLA;195611;64.9
KLA;195612;18.1
KLA;195701;50.6
KLA;195702;107.9
KLA;195703;51.2
KLA;195704;53.3
KLA;195705;85.1
KLA;195706;119.3
KLA;195707;200.7
KLA;195708;146.3
KLA;195709;111.6
KLA;195710;22.2
KLA;195711;32.0
KLA;195712;28.2
KLA;195801;117.1
KLA;195802;201.8
KLA;195803;71.9
KLA;195804;100.9
KLA;195805;52.3
KLA;195806;131.7
KLA;195807;146.6
KLA;195808;136.9
KLA;195809;88.7
KLA;195810;190.3
KLA;195811;28.6
KLA;195812;84.0
KLA;195901;73.5
KLA;195902;29.6
KLA;195903;50.2
KLA;195904;72.6
KLA;195905;94.9
KLA;195906;141.0
