Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94859

Filename                                Filetype  Station                              Parameter                                                   Period
order_94859_BOU_fu3010m1_1_data.txt     Data      Bouveret                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_BOU_fu3010m1_1_legend.txt   Legend    Bouveret                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_BRZ_fu3010m1_1_data.txt     Data      Brienz                               Gust peak (one second); monthly maximum                     202102-202104
order_94859_BRZ_fu3010m1_1_legend.txt   Legend    Brienz                               Gust peak (one second); monthly maximum                     202102-202104
order_94859_BUS_fu3010m1_1_data.txt     Data      Buchs / Aarau                        Gust peak (one second); monthly maximum                     202102-202104
order_94859_BUS_fu3010m1_1_legend.txt   Legend    Buchs / Aarau                        Gust peak (one second); monthly maximum                     202102-202104
order_94859_BUF_fu3010m1_1_data.txt     Data      Buffalora                            Gust peak (one second); monthly maximum                     202102-202104
order_94859_BUF_fu3010m1_1_legend.txt   Legend    Buffalora                            Gust peak (one second); monthly maximum                     202102-202104
order_94859_FRE_fu3010m1_1_data.txt     Data      Bullet / La Frétaz                   Gust peak (one second); monthly maximum                     202102-202104
order_94859_FRE_fu3010m1_1_legend.txt   Legend    Bullet / La Frétaz                   Gust peak (one second); monthly maximum                     202102-202104
order_94859_KABAT_fu3010m1_1_data.txt   Data      Bättwil                              Gust peak (one second); monthly maximum                     202103-202104
order_94859_KABAT_fu3010m1_1_legend.txt Legend    Bättwil                              Gust peak (one second); monthly maximum                     202103-202104
order_94859_TICAM_fu3010m1_1_data.txt   Data      Camignolo                            Gust peak (one second); monthly maximum                     202102-202104
order_94859_TICAM_fu3010m1_1_legend.txt Legend    Camignolo                            Gust peak (one second); monthly maximum                     202102-202104
order_94859_GRCAS_fu3010m1_1_data.txt   Data      Castaneda                            Gust peak (one second); monthly maximum                     202102-202104
order_94859_GRCAS_fu3010m1_1_legend.txt Legend    Castaneda                            Gust peak (one second); monthly maximum                     202102-202104
order_94859_WSLCLB_fu3010m1_1_data.txt  Data      Celerina Bestand                     Gust peak (one second); monthly maximum                     202102-202104
order_94859_WSLCLB_fu3010m1_1_legend.txt Legend    Celerina Bestand                     Gust peak (one second); monthly maximum                     202102-202104
order_94859_WSLCLF_fu3010m1_1_data.txt  Data      Celerina Freiland                    Gust peak (one second); monthly maximum                     202102-202104
order_94859_WSLCLF_fu3010m1_1_legend.txt Legend    Celerina Freiland                    Gust peak (one second); monthly maximum                     202102-202104
order_94859_NECER_fu3010m1_1_data.txt   Data      Cernier                              Gust peak (one second); monthly maximum                     202102-202104
order_94859_NECER_fu3010m1_1_legend.txt Legend    Cernier                              Gust peak (one second); monthly maximum                     202102-202104
order_94859_CEV_fu3010m1_1_data.txt     Data      Cevio                                Gust peak (one second); monthly maximum                     202102-202104
order_94859_CEV_fu3010m1_1_legend.txt   Legend    Cevio                                Gust peak (one second); monthly maximum                     202102-202104
order_94859_CHZ_fu3010m1_1_data.txt     Data      Cham                                 Gust peak (one second); monthly maximum                     202102-202104
order_94859_CHZ_fu3010m1_1_legend.txt   Legend    Cham                                 Gust peak (one second); monthly maximum                     202102-202104
order_94859_MMCPY_fu3010m1_1_data.txt   Data      Champéry                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_MMCPY_fu3010m1_1_legend.txt Legend    Champéry                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_WNSPLA_fu3010m1_1_data.txt  Data      Champéry / Planachaux                Gust peak (one second); monthly maximum                     202102-202104
order_94859_WNSPLA_fu3010m1_1_legend.txt Legend    Champéry / Planachaux                Gust peak (one second); monthly maximum                     202102-202104
order_94859_CHA_fu3010m1_1_data.txt     Data      Chasseral                            Gust peak (one second); monthly maximum                     202102-202104
order_94859_CHA_fu3010m1_1_legend.txt   Legend    Chasseral                            Gust peak (one second); monthly maximum                     202102-202104
order_94859_CHM_fu3010m1_1_data.txt     Data      Chaumont                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_CHM_fu3010m1_1_legend.txt   Legend    Chaumont                             Gust peak (one second); monthly maximum                     202102-202104
order_94859_DLCHI_fu3010m1_1_data.txt   Data      Chieming                             Gust peak (one second); monthly maximum                     202102-202104
