Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94075

Filename                                Filetype  Station                              Parameter                                                   Period
order_94075_TGARE_rhh150mx_10_data.txt  Data      Arenenberg                           Precipitation; maximum total per hour of the month          201508-201703
order_94075_TGARE_rhh150mx_10_legend.txt Legend    Arenenberg                           Precipitation; maximum total per hour of the month          201508-201703
order_94075_TGARE_rhh150mx_11_data.txt  Data      Arenenberg                           Precipitation; maximum total per hour of the month          201704-201707
order_94075_TGARE_rhh150mx_11_legend.txt Legend    Arenenberg                           Precipitation; maximum total per hour of the month          201704-201707
order_94075_TGARE_rhh150mx_12_data.txt  Data      Arenenberg                           Precipitation; maximum total per hour of the month          201708-201712
order_94075_TGARE_rhh150mx_12_legend.txt Legend    Arenenberg                           Precipitation; maximum total per hour of the month          201708-201712
order_94075_TGARE_rhh150mx_13_data.txt  Data      Arenenberg                           Precipitation; maximum total per hour of the month          201801-201811
order_94075_TGARE_rhh150mx_13_legend.txt Legend    Arenenberg                           Precipitation; maximum total per hour of the month          201801-201811
order_94075_TGARE_rhh150mx_14_data.txt  Data      Arenenberg                           Precipitation; maximum total per hour of the month          201901-201910
order_94075_TGARE_rhh150mx_14_legend.txt Legend    Arenenberg                           Precipitation; maximum total per hour of the month          201901-201910
order_94075_TGARE_rhh150mx_15_data.txt  Data      Arenenberg                           Precipitation; maximum total per hour of the month          201911-202005
order_94075_TGARE_rhh150mx_15_legend.txt Legend    Arenenberg                           Precipitation; maximum total per hour of the month          201911-202005
order_94075_TGARE_rhh150mx_16_data.txt  Data      Arenenberg                           Precipitation; maximum total per hour of the month          202007-202008
order_94075_TGARE_rhh150mx_16_legend.txt Legend    Arenenberg                           Precipitation; maximum total per hour of the month          202007-202008
order_94075_TGARE_rhh150mx_17_data.txt  Data      Arenenberg                           Precipitation; maximum total per hour of the month          202009-202011
order_94075_TGARE_rhh150mx_17_legend.txt Legend    Arenenberg                           Precipitation; maximum total per hour of the month          202009-202011
order_94075_TGARE_rhh150mx_18_data.txt  Data      Arenenberg                           Precipitation; maximum total per hour of the month          202012-202103
order_94075_TGARE_rhh150mx_18_legend.txt Legend    Arenenberg                           Precipitation; maximum total per hour of the month          202012-202103
order_94075_AGATT_rhh150mx_1_data.txt   Data      Attelwil                             Precipitation; maximum total per hour of the month          201406-201703
order_94075_AGATT_rhh150mx_1_legend.txt Legend    Attelwil                             Precipitation; maximum total per hour of the month          201406-201703
