Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94918

Filename                                Filetype  Station                              Parameter                                                   Period
order_94918_VSEMO_rzz150yx_1_legend.txt Legend    Emosson                              Precipitation; maximum ten minute total of the year         2011-2020
order_94918_EVO_rzz150yx_1_data.txt     Data      Evolène / Villa                      Precipitation; maximum ten minute total of the year         1986-2015
order_94918_EVO_rzz150yx_1_legend.txt   Legend    Evolène / Villa                      Precipitation; maximum ten minute total of the year         1986-2015
order_94918_EVO_rzz150yx_2_data.txt     Data      Evolène / Villa                      Precipitation; maximum ten minute total of the year         2016-2020
order_94918_EVO_rzz150yx_2_legend.txt   Legend    Evolène / Villa                      Precipitation; maximum ten minute total of the year         2016-2020
order_94918_VSFIN_rzz150yx_1_data.txt   Data      Findelen                             Precipitation; maximum ten minute total of the year         2011-2020
order_94918_VSFIN_rzz150yx_1_legend.txt Legend    Findelen                             Precipitation; maximum ten minute total of the year         2011-2020
order_94918_MFOFKP_rzz150yx_1_data.txt  Data      Furkapass                            Precipitation; maximum ten minute total of the year         2018-2020
order_94918_MFOFKP_rzz150yx_1_legend.txt Legend    Furkapass                            Precipitation; maximum ten minute total of the year         2018-2020
order_94918_GRH_rzz150yx_1_data.txt     Data      Grimsel Hospiz                       Precipitation; maximum ten minute total of the year         1989-2010
order_94918_GRH_rzz150yx_1_legend.txt   Legend    Grimsel Hospiz                       Precipitation; maximum ten minute total of the year         1989-2010
order_94918_GRH_rzz150yx_2_data.txt     Data      Grimsel Hospiz                       Precipitation; maximum ten minute total of the year         2011-2012
order_94918_GRH_rzz150yx_2_legend.txt   Legend    Grimsel Hospiz                       Precipitation; maximum ten minute total of the year         2011-2012
order_94918_GRH_rzz150yx_3_data.txt     Data      Grimsel Hospiz                       Precipitation; maximum ten minute total of the year         2013-2016
order_94918_GRH_rzz150yx_3_legend.txt   Legend    Grimsel Hospiz                       Precipitation; maximum ten minute total of the year         2013-2016
order_94918_GRH_rzz150yx_4_data.txt     Data      Grimsel Hospiz                       Precipitation; maximum ten minute total of the year         2017-2020
order_94918_GRH_rzz150yx_4_legend.txt   Legend    Grimsel Hospiz                       Precipitation; maximum ten minute total of the year         2017-2020
order_94918_BEGWA_rzz150yx_1_data.txt   Data      Grindelwald / Oberläger              Precipitation; maximum ten minute total of the year         2011-2012
order_94918_BEGWA_rzz150yx_1_legend.txt Legend    Grindelwald / Oberläger              Precipitation; maximum ten minute total of the year         2011-2012
order_94918_BEGWA_rzz150yx_2_data.txt   Data      Grindelwald / Oberläger              Precipitation; maximum ten minute total of the year         2013-2020
order_94918_BEGWA_rzz150yx_2_legend.txt Legend    Grindelwald / Oberläger              Precipitation; maximum ten minute total of the year         2013-2020
order_94918_GRC_rzz150yx_1_data.txt     Data      Grächen                              Precipitation; maximum ten minute total of the year         2013-2020
order_94918_GRC_rzz150yx_1_legend.txt   Legend    Grächen                              Precipitation; maximum ten minute total of the year         2013-2020
order_94918_GOA_rzz150yx_1_data.txt     Data      Göscheneralp                         Precipitation; maximum ten minute total of the year         2013-2020
order_94918_GOA_rzz150yx_1_legend.txt   Legend    Göscheneralp                         Precipitation; maximum ten minute total of the year         2013-2020
order_94918_GUE_rzz150yx_1_data.txt     Data      Gütsch, Andermatt                    Precipitation; maximum ten minute total of the year         1980-2009
order_94918_GUE_rzz150yx_1_legend.txt   Legend    Gütsch, Andermatt                    Precipitation; maximum ten minute total of the year         1980-2009
order_94918_GUE_rzz150yx_2_data.txt     Data      Gütsch, Andermatt                    Precipitation; maximum ten minute total of the year         2012-2020
order_94918_GUE_rzz150yx_2_legend.txt   Legend    Gütsch, Andermatt                    Precipitation; maximum ten minute total of the year         2012-2020
order_94918_IYHIN_rzz150yx_1_data.txt   Data      Hintermartell                        Precipitation; maximum ten minute total of the year         2009-2016
order_94918_IYHIN_rzz150yx_1_legend.txt Legend    Hintermartell                        Precipitation; maximum ten minute total of the year         2009-2016
order_94918_IYHIN_rzz150yx_2_data.txt   Data      Hintermartell                        Precipitation; maximum ten minute total of the year         2017-2018
order_94918_IYHIN_rzz150yx_2_legend.txt Legend    Hintermartell                        Precipitation; maximum ten minute total of the year         2017-2018
order_94918_HIR_rzz150yx_1_data.txt     Data      Hinterrhein                          Precipitation; maximum ten minute total of the year         1980-2007
order_94918_HIR_rzz150yx_1_legend.txt   Legend    Hinterrhein                          Precipitation; maximum ten minute total of the year         1980-2007
order_94918_MMHIR_rzz150yx_1_data.txt   Data      Hinterrhein                          Precipitation; maximum ten minute total of the year         2014-2020
order_94918_MMHIR_rzz150yx_1_legend.txt Legend    Hinterrhein                          Precipitation; maximum ten minute total of the year         2014-2020
order_94918_VSJEI_rzz150yx_1_data.txt   Data      Jeizinen                             Precipitation; maximum ten minute total of the year         2010-2020
order_94918_VSJEI_rzz150yx_1_legend.txt Legend    Jeizinen                             Precipitation; maximum ten minute total of the year         2010-2020
order_94918_MMJUF_rzz150yx_1_data.txt   Data      Juf                                  Precipitation; maximum ten minute total of the year         2014-2020
order_94918_MMJUF_rzz150yx_1_legend.txt Legend    Juf                                  Precipitation; maximum ten minute total of the year         2014-2020
order_94918_BEKSE_rzz150yx_1_data.txt   Data      Kleine Scheidegg                     Precipitation; maximum ten minute total of the year         2008-2020
order_94918_BEKSE_rzz150yx_1_legend.txt Legend    Kleine Scheidegg                     Precipitation; maximum ten minute total of the year         2008-2020
order_94918_DOL_rzz150yx_1_data.txt     Data      La Dôle                              Precipitation; maximum ten minute total of the year         1980-2009
order_94918_DOL_rzz150yx_1_legend.txt   Legend    La Dôle                              Precipitation; maximum ten minute total of the year         1980-2009
order_94918_DOL_rzz150yx_2_data.txt     Data      La Dôle                              Precipitation; maximum ten minute total of the year         2011-2018
order_94918_DOL_rzz150yx_2_legend.txt   Legend    La Dôle                              Precipitation; maximum ten minute total of the year         2011-2018
order_94918_DOL_rzz150yx_3_data.txt     Data      La Dôle                              Precipitation; maximum ten minute total of the year         2019-2020
order_94918_DOL_rzz150yx_3_legend.txt   Legend    La Dôle                              Precipitation; maximum ten minute total of the year         2019-2020
order_94918_VSFLY_rzz150yx_1_data.txt   Data      La Fouly                             Precipitation; maximum ten minute total of the year         2012-2020
order_94918_VSFLY_rzz150yx_1_legend.txt Legend    La Fouly                             Precipitation; maximum ten minute total of the year         2012-2020
order_94918_IYLAD_rzz150yx_1_data.txt   Data      Ladurns                              Precipitation; maximum ten minute total of the year         2006-2016
order_94918_IYLAD_rzz150yx_1_legend.txt Legend    Ladurns                              Precipitation; maximum ten minute total of the year         2006-2016
order_94918_IYLAD_rzz150yx_2_data.txt   Data      Ladurns                              Precipitation; maximum ten minute total of the year         2017-2018
order_94918_IYLAD_rzz150yx_2_legend.txt Legend    Ladurns                              Precipitation; maximum ten minute total of the year         2017-2018
order_94918_MLS_rzz150yx_1_data.txt     Data      Le Moléson                           Precipitation; maximum ten minute total of the year         1982-2020
order_94918_MLS_rzz150yx_1_legend.txt   Legend    Le Moléson                           Precipitation; maximum ten minute total of the year         1982-2020
order_94918_VSCOL_rzz150yx_1_data.txt   Data      Les Collons                          Precipitation; maximum ten minute total of the year         2013-2020
order_94918_VSCOL_rzz150yx_1_legend.txt Legend    Les Collons                          Precipitation; maximum ten minute total of the year         2013-2020
order_94918_MAL_rzz150yx_1_data.txt     Data      Malbun                               Precipitation; maximum ten minute total of the year         2016-2020
order_94918_MAL_rzz150yx_1_legend.txt   Legend    Malbun                               Precipitation; maximum ten minute total of the year         2016-2020
order_94918_VSMOI_rzz150yx_1_data.txt   Data      Moiry                                Precipitation; maximum ten minute total of the year         2011-2019
order_94918_VSMOI_rzz150yx_1_legend.txt Legend    Moiry                                Precipitation; maximum ten minute total of the year         2011-2019
order_94918_GEN_rzz150yx_1_data.txt     Data      Monte Generoso                       Precipitation; maximum ten minute total of the year         1995-1997
order_94918_GEN_rzz150yx_1_legend.txt   Legend    Monte Generoso                       Precipitation; maximum ten minute total of the year         1995-1997
order_94918_GEN_rzz150yx_2_data.txt     Data      Monte Generoso                       Precipitation; maximum ten minute total of the year         1999-2002
order_94918_GEN_rzz150yx_2_legend.txt   Legend    Monte Generoso                       Precipitation; maximum ten minute total of the year         1999-2002
order_94918_GEN_rzz150yx_3_data.txt     Data      Monte Generoso                       Precipitation; maximum ten minute total of the year         2003-2005
order_94918_GEN_rzz150yx_3_legend.txt   Legend    Monte Generoso                       Precipitation; maximum ten minute total of the year         2003-2005
order_94918_GEN_rzz150yx_4_data.txt     Data      Monte Generoso                       Precipitation; maximum ten minute total of the year         2012-2013
order_94918_GEN_rzz150yx_4_legend.txt   Legend    Monte Generoso                       Precipitation; maximum ten minute total of the year         2012-2013
order_94918_GEN_rzz150yx_5_data.txt     Data      Monte Generoso                       Precipitation; maximum ten minute total of the year         2014-2015
order_94918_GEN_rzz150yx_5_legend.txt   Legend    Monte Generoso                       Precipitation; maximum ten minute total of the year         2014-2015
order_94918_GEN_rzz150yx_6_data.txt     Data      Monte Generoso                       Precipitation; maximum ten minute total of the year         2016-2020
order_94918_GEN_rzz150yx_6_legend.txt   Legend    Monte Generoso                       Precipitation; maximum ten minute total of the year         2016-2020
order_94918_MTE_rzz150yx_1_data.txt     Data      Mottec                               Precipitation; maximum ten minute total of the year         2015-2020
order_94918_MTE_rzz150yx_1_legend.txt   Legend    Mottec                               Precipitation; maximum ten minute total of the year         2015-2020
order_94918_MMMUE_rzz150yx_1_data.txt   Data      Mürren                               Precipitation; maximum ten minute total of the year         2016-2017
order_94918_MMMUE_rzz150yx_1_legend.txt Legend    Mürren                               Precipitation; maximum ten minute total of the year         2016-2017
order_94918_MMMUE_rzz150yx_2_data.txt   Data      Mürren                               Precipitation; maximum ten minute total of the year         2018-2020
order_94918_MMMUE_rzz150yx_2_legend.txt Legend    Mürren                               Precipitation; maximum ten minute total of the year         2018-2020
order_94918_WSLNAB_rzz150yx_1_data.txt  Data      Nationalpark Bestand                 Precipitation; maximum ten minute total of the year         2017-2018
order_94918_WSLNAB_rzz150yx_1_legend.txt Legend    Nationalpark Bestand                 Precipitation; maximum ten minute total of the year         2017-2018
order_94918_WSLNAF_rzz150yx_1_data.txt  Data      Nationalpark Freiland                Precipitation; maximum ten minute total of the year         2017-2018
order_94918_WSLNAF_rzz150yx_1_legend.txt Legend    Nationalpark Freiland                Precipitation; maximum ten minute total of the year         2017-2018
order_94918_VSNEN_rzz150yx_1_data.txt   Data      Nendaz                               Precipitation; maximum ten minute total of the year         2012-2020
order_94918_VSNEN_rzz150yx_1_legend.txt Legend    Nendaz                               Precipitation; maximum ten minute total of the year         2012-2020
order_94918_MMOES_rzz150yx_1_data.txt   Data      Oeschinensee                         Precipitation; maximum ten minute total of the year         2017-2020
order_94918_MMOES_rzz150yx_1_legend.txt Legend    Oeschinensee                         Precipitation; maximum ten minute total of the year         2017-2020
order_94918_TIOLI_rzz150yx_1_data.txt   Data      Olivone diga Luzzone                 Precipitation; maximum ten minute total of the year         1999-2020
order_94918_TIOLI_rzz150yx_1_legend.txt Legend    Olivone diga Luzzone                 Precipitation; maximum ten minute total of the year         1999-2020
order_94918_BEH_rzz150yx_1_data.txt     Data      Passo del Bernina                    Precipitation; maximum ten minute total of the year         2014-2020
order_94918_BEH_rzz150yx_1_legend.txt   Legend    Passo del Bernina                    Precipitation; maximum ten minute total of the year         2014-2020
order_94918_IYPFE_rzz150yx_1_data.txt   Data      Pfelders                             Precipitation; maximum ten minute total of the year         2004-2009
order_94918_IYPFE_rzz150yx_1_legend.txt Legend    Pfelders                             Precipitation; maximum ten minute total of the year         2004-2009
order_94918_IYPFE_rzz150yx_2_data.txt   Data      Pfelders                             Precipitation; maximum ten minute total of the year         2010-2018
order_94918_IYPFE_rzz150yx_2_legend.txt Legend    Pfelders                             Precipitation; maximum ten minute total of the year         2010-2018
order_94918_PIL_rzz150yx_1_data.txt     Data      Pilatus                              Precipitation; maximum ten minute total of the year         1980-2009
order_94918_PIL_rzz150yx_1_legend.txt   Legend    Pilatus                              Precipitation; maximum ten minute total of the year         1980-2009
order_94918_PIL_rzz150yx_2_data.txt     Data      Pilatus                              Precipitation; maximum ten minute total of the year         2010-2013
order_94918_PIL_rzz150yx_2_legend.txt   Legend    Pilatus                              Precipitation; maximum ten minute total of the year         2010-2013
order_94918_PIL_rzz150yx_3_data.txt     Data      Pilatus                              Precipitation; maximum ten minute total of the year         2014-2020
order_94918_PIL_rzz150yx_3_legend.txt   Legend    Pilatus                              Precipitation; maximum ten minute total of the year         2014-2020
order_94918_COV_rzz150yx_1_data.txt     Data      Piz Corvatsch                        Precipitation; maximum ten minute total of the year         1980-2017
order_94918_COV_rzz150yx_1_legend.txt   Legend    Piz Corvatsch                        Precipitation; maximum ten minute total of the year         1980-2017
order_94918_COV_rzz150yx_2_data.txt     Data      Piz Corvatsch                        Precipitation; maximum ten minute total of the year         2018-2020
order_94918_COV_rzz150yx_2_legend.txt   Legend    Piz Corvatsch                        Precipitation; maximum ten minute total of the year         2018-2020
order_94918_PMA_rzz150yx_1_data.txt     Data      Piz Martegnas                        Precipitation; maximum ten minute total of the year         2012-2020
order_94918_PMA_rzz150yx_1_legend.txt   Legend    Piz Martegnas                        Precipitation; maximum ten minute total of the year         2012-2020
order_94918_TIPIO_rzz150yx_1_data.txt   Data      Quinto / Piora                       Precipitation; maximum ten minute total of the year         2016-2020
order_94918_TIPIO_rzz150yx_1_legend.txt Legend    Quinto / Piora                       Precipitation; maximum ten minute total of the year         2016-2020
order_94918_URREA_rzz150yx_1_data.txt   Data      Realp / Bahnhof DFB                  Precipitation; maximum ten minute total of the year         2017-2020
order_94918_URREA_rzz150yx_1_legend.txt Legend    Realp / Bahnhof DFB                  Precipitation; maximum ten minute total of the year         2017-2020
order_94918_URREE_rzz150yx_1_data.txt   Data      Realp / Ebnen                        Precipitation; maximum ten minute total of the year         2017-2020
order_94918_URREE_rzz150yx_1_legend.txt Legend    Realp / Ebnen                        Precipitation; maximum ten minute total of the year         2017-2020
order_94918_URRET_rzz150yx_1_data.txt   Data      Realp / Tiefenbach                   Precipitation; maximum ten minute total of the year         2017-2020
order_94918_URRET_rzz150yx_1_legend.txt Legend    Realp / Tiefenbach                   Precipitation; maximum ten minute total of the year         2017-2020
order_94918_IYREI_rzz150yx_1_data.txt   Data      Rein in Taufers                      Precipitation; maximum ten minute total of the year         2002-2007
order_94918_IYREI_rzz150yx_1_legend.txt Legend    Rein in Taufers                      Precipitation; maximum ten minute total of the year         2002-2007
order_94918_IYREI_rzz150yx_2_data.txt   Data      Rein in Taufers                      Precipitation; maximum ten minute total of the year         2008-2019
order_94918_IYREI_rzz150yx_2_legend.txt Legend    Rein in Taufers                      Precipitation; maximum ten minute total of the year         2008-2019
order_94918_ROE_rzz150yx_1_data.txt     Data      Robièi                               Precipitation; maximum ten minute total of the year         1990-2008
order_94918_ROE_rzz150yx_1_legend.txt   Legend    Robièi                               Precipitation; maximum ten minute total of the year         1990-2008
order_94918_ROE_rzz150yx_2_data.txt     Data      Robièi                               Precipitation; maximum ten minute total of the year         2009-2020
order_94918_ROE_rzz150yx_2_legend.txt   Legend    Robièi                               Precipitation; maximum ten minute total of the year         2009-2020
order_94918_SBE_rzz150yx_1_data.txt     Data      S. Bernardino                        Precipitation; maximum ten minute total of the year         1981-2020
order_94918_SBE_rzz150yx_1_legend.txt   Legend    S. Bernardino                        Precipitation; maximum ten minute total of the year         1981-2020
order_94918_MMSAF_rzz150yx_1_data.txt   Data      Saas Fee                             Precipitation; maximum ten minute total of the year         2016-2018
order_94918_MMSAF_rzz150yx_1_legend.txt Legend    Saas Fee                             Precipitation; maximum ten minute total of the year         2016-2018
order_94918_MMSAF_rzz150yx_2_data.txt   Data      Saas Fee                             Precipitation; maximum ten minute total of the year         2019-2020
order_94918_MMSAF_rzz150yx_2_legend.txt Legend    Saas Fee                             Precipitation; maximum ten minute total of the year         2019-2020
order_94918_MMSAP_rzz150yx_1_data.txt   Data      Safien / Thalkirch                   Precipitation; maximum ten minute total of the year         2012-2014
order_94918_MMSAP_rzz150yx_1_legend.txt Legend    Safien / Thalkirch                   Precipitation; maximum ten minute total of the year         2012-2014
order_94918_MMSAP_rzz150yx_2_data.txt   Data      Safien / Thalkirch                   Precipitation; maximum ten minute total of the year         2015-2016
order_94918_MMSAP_rzz150yx_2_legend.txt Legend    Safien / Thalkirch                   Precipitation; maximum ten minute total of the year         2015-2016
order_94918_MMSAP_rzz150yx_3_data.txt   Data      Safien / Thalkirch                   Precipitation; maximum ten minute total of the year         2017-2020
order_94918_MMSAP_rzz150yx_3_legend.txt Legend    Safien / Thalkirch                   Precipitation; maximum ten minute total of the year         2017-2020
order_94918_VSSFE_rzz150yx_1_data.txt   Data      Salanfe                              Precipitation; maximum ten minute total of the year         2011-2012
order_94918_VSSFE_rzz150yx_1_legend.txt Legend    Salanfe                              Precipitation; maximum ten minute total of the year         2011-2012
order_94918_VSSFE_rzz150yx_2_data.txt   Data      Salanfe                              Precipitation; maximum ten minute total of the year         2013-2017
order_94918_VSSFE_rzz150yx_2_legend.txt Legend    Salanfe                              Precipitation; maximum ten minute total of the year         2013-2017
order_94918_VSSFE_rzz150yx_3_data.txt   Data      Salanfe                              Precipitation; maximum ten minute total of the year         2018-2020
order_94918_VSSFE_rzz150yx_3_legend.txt Legend    Salanfe                              Precipitation; maximum ten minute total of the year         2018-2020
order_94918_VSSAL_rzz150yx_1_data.txt   Data      Saleina                              Precipitation; maximum ten minute total of the year         2010-2020
order_94918_VSSAL_rzz150yx_1_legend.txt Legend    Saleina                              Precipitation; maximum ten minute total of the year         2010-2020
order_94918_SAM_rzz150yx_1_data.txt     Data      Samedan                              Precipitation; maximum ten minute total of the year         1980-2020
order_94918_SAM_rzz150yx_1_legend.txt   Legend    Samedan                              Precipitation; maximum ten minute total of the year         1980-2020
order_94918_IYSVE_rzz150yx_1_data.txt   Data      Schnals / Vernagt                    Precipitation; maximum ten minute total of the year         2003-2007
order_94918_IYSVE_rzz150yx_1_legend.txt Legend    Schnals / Vernagt                    Precipitation; maximum ten minute total of the year         2003-2007
order_94918_IYSVE_rzz150yx_2_data.txt   Data      Schnals / Vernagt                    Precipitation; maximum ten minute total of the year         2010-2018
order_94918_IYSVE_rzz150yx_2_legend.txt Legend    Schnals / Vernagt                    Precipitation; maximum ten minute total of the year         2010-2018
order_94918_KAROT_rzz150yx_1_data.txt   Data      Schwyz / Rotenflue                   Precipitation; maximum ten minute total of the year         2019-2020
order_94918_KAROT_rzz150yx_1_legend.txt Legend    Schwyz / Rotenflue                   Precipitation; maximum ten minute total of the year         2019-2020
order_94918_SIA_rzz150yx_1_data.txt     Data      Segl-Maria                           Precipitation; maximum ten minute total of the year         2014-2020
order_94918_SIA_rzz150yx_1_legend.txt   Legend    Segl-Maria                           Precipitation; maximum ten minute total of the year         2014-2020
order_94918_IYSEI_rzz150yx_1_data.txt   Data      Seiser Alm Zallinger                 Precipitation; maximum ten minute total of the year         2013-2019
order_94918_IYSEI_rzz150yx_1_legend.txt Legend    Seiser Alm Zallinger                 Precipitation; maximum ten minute total of the year         2013-2019
order_94918_VSSOR_rzz150yx_1_data.txt   Data      Sorniot-Lac Inférieur                Precipitation; maximum ten minute total of the year         2013-2018
order_94918_VSSOR_rzz150yx_1_legend.txt Legend    Sorniot-Lac Inférieur                Precipitation; maximum ten minute total of the year         2013-2018
order_94918_VSSOR_rzz150yx_2_data.txt   Data      Sorniot-Lac Inférieur                Precipitation; maximum ten minute total of the year         2019-2020
order_94918_VSSOR_rzz150yx_2_legend.txt Legend    Sorniot-Lac Inférieur                Precipitation; maximum ten minute total of the year         2019-2020
order_94918_VSSTA_rzz150yx_1_data.txt   Data      Stafel                               Precipitation; maximum ten minute total of the year         2012-2020
order_94918_VSSTA_rzz150yx_1_legend.txt Legend    Stafel                               Precipitation; maximum ten minute total of the year         2012-2020
order_94918_IYSUL_rzz150yx_1_data.txt   Data      Sulden                               Precipitation; maximum ten minute total of the year         2003-2009
