Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95173

Filename                                Filetype  Station                              Parameter                                                   Period
order_95173_BEBUV_rhh150yx_1_legend.txt Legend    Burgdorf / Viehmarktplatz            Precipitation; maximum total per hour of the year           2013-2015
order_95173_BEBUV_rhh150yx_2_data.txt   Data      Burgdorf / Viehmarktplatz            Precipitation; maximum total per hour of the year           2017-2020
order_95173_BEBUV_rhh150yx_2_legend.txt Legend    Burgdorf / Viehmarktplatz            Precipitation; maximum total per hour of the year           2017-2020
order_95173_KABAT_rhh150yx_1_data.txt   Data      Bättwil                              Precipitation; maximum total per hour of the year           2019-2020
order_95173_KABAT_rhh150yx_1_legend.txt Legend    Bättwil                              Precipitation; maximum total per hour of the year           2019-2020
order_95173_UBB_rhh150yx_1_data.txt     Data      Bözberg                              Precipitation; maximum total per hour of the year           2014-2020
order_95173_UBB_rhh150yx_1_legend.txt   Legend    Bözberg                              Precipitation; maximum total per hour of the year           2014-2020
order_95173_TICAM_rhh150yx_1_data.txt   Data      Camignolo                            Precipitation; maximum total per hour of the year           2009-2020
order_95173_TICAM_rhh150yx_1_legend.txt Legend    Camignolo                            Precipitation; maximum total per hour of the year           2009-2020
order_95173_TICAN_rhh150yx_1_data.txt   Data      Canobbio                             Precipitation; maximum total per hour of the year           2007-2020
order_95173_TICAN_rhh150yx_1_legend.txt Legend    Canobbio                             Precipitation; maximum total per hour of the year           2007-2020
order_95173_TIBIG_rhh150yx_1_data.txt   Data      Cavergno Bignasco                    Precipitation; maximum total per hour of the year           2004-2020
order_95173_TIBIG_rhh150yx_1_legend.txt Legend    Cavergno Bignasco                    Precipitation; maximum total per hour of the year           2004-2020
order_95173_CEV_rhh150yx_1_data.txt     Data      Cevio                                Precipitation; maximum total per hour of the year           2013-2020
order_95173_CEV_rhh150yx_1_legend.txt   Legend    Cevio                                Precipitation; maximum total per hour of the year           2013-2020
order_95173_CHZ_rhh150yx_1_data.txt     Data      Cham                                 Precipitation; maximum total per hour of the year           1993-1995
order_95173_CHZ_rhh150yx_1_legend.txt   Legend    Cham                                 Precipitation; maximum total per hour of the year           1993-1995
order_95173_CHZ_rhh150yx_2_data.txt     Data      Cham                                 Precipitation; maximum total per hour of the year           1996-2013
order_95173_CHZ_rhh150yx_2_legend.txt   Legend    Cham                                 Precipitation; maximum total per hour of the year           1996-2013
order_95173_CHZ_rhh150yx_3_data.txt     Data      Cham                                 Precipitation; maximum total per hour of the year           2014-2018
order_95173_CHZ_rhh150yx_3_legend.txt   Legend    Cham                                 Precipitation; maximum total per hour of the year           2014-2018
order_95173_CHZ_rhh150yx_4_data.txt     Data      Cham                                 Precipitation; maximum total per hour of the year           2019-2020
order_95173_CHZ_rhh150yx_4_legend.txt   Legend    Cham                                 Precipitation; maximum total per hour of the year           2019-2020
order_95173_GECHE_rhh150yx_1_data.txt   Data      Chevrier                             Precipitation; maximum total per hour of the year           1979-1981
order_95173_GECHE_rhh150yx_1_legend.txt Legend    Chevrier                             Precipitation; maximum total per hour of the year           1979-1981
order_95173_GECHE_rhh150yx_2_data.txt   Data      Chevrier                             Precipitation; maximum total per hour of the year           1983-1984
order_95173_GECHE_rhh150yx_2_legend.txt Legend    Chevrier                             Precipitation; maximum total per hour of the year           1983-1984
order_95173_GECHE_rhh150yx_3_data.txt   Data      Chevrier                             Precipitation; maximum total per hour of the year           1987-1989
order_95173_GECHE_rhh150yx_3_legend.txt Legend    Chevrier                             Precipitation; maximum total per hour of the year           1987-1989
order_95173_GECHE_rhh150yx_4_data.txt   Data      Chevrier                             Precipitation; maximum total per hour of the year           1990-1994
order_95173_GECHE_rhh150yx_4_legend.txt Legend    Chevrier                             Precipitation; maximum total per hour of the year           1990-1994
order_95173_GECHE_rhh150yx_5_data.txt   Data      Chevrier                             Precipitation; maximum total per hour of the year           1996-2020
order_95173_GECHE_rhh150yx_5_legend.txt Legend    Chevrier                             Precipitation; maximum total per hour of the year           1996-2020
order_95173_TICIA_rhh150yx_1_data.txt   Data      Chiasso                              Precipitation; maximum total per hour of the year           2007-2011
order_95173_TICIA_rhh150yx_1_legend.txt Legend    Chiasso                              Precipitation; maximum total per hour of the year           2007-2011
order_95173_TICIA_rhh150yx_2_data.txt   Data      Chiasso                              Precipitation; maximum total per hour of the year           2012-2020
order_95173_TICIA_rhh150yx_2_legend.txt Legend    Chiasso                              Precipitation; maximum total per hour of the year           2012-2020
order_95173_GEGFA_rhh150yx_1_data.txt   Data      Chêne-Bougeries / Grange-Falquet     Precipitation; maximum total per hour of the year           1989-1995
order_95173_GEGFA_rhh150yx_1_legend.txt Legend    Chêne-Bougeries / Grange-Falquet     Precipitation; maximum total per hour of the year           1989-1995
order_95173_GEGFA_rhh150yx_2_data.txt   Data      Chêne-Bougeries / Grange-Falquet     Precipitation; maximum total per hour of the year           1996-2006
order_95173_GEGFA_rhh150yx_2_legend.txt Legend    Chêne-Bougeries / Grange-Falquet     Precipitation; maximum total per hour of the year           1996-2006
order_95173_GEGFA_rhh150yx_3_data.txt   Data      Chêne-Bougeries / Grange-Falquet     Precipitation; maximum total per hour of the year           2007-2020
order_95173_GEGFA_rhh150yx_3_legend.txt Legend    Chêne-Bougeries / Grange-Falquet     Precipitation; maximum total per hour of the year           2007-2020
order_95173_GEMIR_rhh150yx_1_data.txt   Data      Chêne-Bourg / Mirany                 Precipitation; maximum total per hour of the year           2008-2017
order_95173_GEMIR_rhh150yx_1_legend.txt Legend    Chêne-Bourg / Mirany                 Precipitation; maximum total per hour of the year           2008-2017
order_95173_COL_rhh150yx_1_data.txt     Data      Coldrerio                            Precipitation; maximum total per hour of the year           2015-2020
order_95173_COL_rhh150yx_1_legend.txt   Legend    Coldrerio                            Precipitation; maximum total per hour of the year           2015-2020
order_95173_TICOM_rhh150yx_1_data.txt   Data      Comano                               Precipitation; maximum total per hour of the year           2009-2015
order_95173_TICOM_rhh150yx_1_legend.txt Legend    Comano                               Precipitation; maximum total per hour of the year           2009-2015
order_95173_VDCRA_rhh150yx_1_data.txt   Data      Crans-près-Céligny                   Precipitation; maximum total per hour of the year           2012-2020
order_95173_VDCRA_rhh150yx_1_legend.txt Legend    Crans-près-Céligny                   Precipitation; maximum total per hour of the year           2012-2020
order_95173_CRM_rhh150yx_1_data.txt     Data      Cressier                             Precipitation; maximum total per hour of the year           2010-2020
order_95173_CRM_rhh150yx_1_legend.txt   Legend    Cressier                             Precipitation; maximum total per hour of the year           2010-2020
order_95173_VDCRI_rhh150yx_1_data.txt   Data      Crissier                             Precipitation; maximum total per hour of the year           2012-2020
order_95173_VDCRI_rhh150yx_1_legend.txt Legend    Crissier                             Precipitation; maximum total per hour of the year           2012-2020
order_95173_VDCUL_rhh150yx_1_data.txt   Data      Cully                                Precipitation; maximum total per hour of the year           2012-2020
order_95173_VDCUL_rhh150yx_1_legend.txt Legend    Cully                                Precipitation; maximum total per hour of the year           2012-2020
order_95173_DEM_rhh150yx_1_data.txt     Data      Delémont                             Precipitation; maximum total per hour of the year           2012-2020
order_95173_DEM_rhh150yx_1_legend.txt   Legend    Delémont                             Precipitation; maximum total per hour of the year           2012-2020
order_95173_DIT_rhh150yx_1_data.txt     Data      Dietikon                             Precipitation; maximum total per hour of the year           2016-2020
order_95173_DIT_rhh150yx_1_legend.txt   Legend    Dietikon                             Precipitation; maximum total per hour of the year           2016-2020
order_95173_DLDIG_rhh150yx_1_data.txt   Data      Dillingen                            Precipitation; maximum total per hour of the year           2006-2020
order_95173_DLDIG_rhh150yx_1_legend.txt Legend    Dillingen                            Precipitation; maximum total per hour of the year           2006-2020
order_95173_DLDRE_rhh150yx_1_data.txt   Data      Dresden / Klotzsche                  Precipitation; maximum total per hour of the year           1995-2020
order_95173_DLDRE_rhh150yx_1_legend.txt Legend    Dresden / Klotzsche                  Precipitation; maximum total per hour of the year           1995-2020
order_95173_NABDUE_rhh150yx_1_data.txt  Data      Dübendorf / Giessen                  Precipitation; maximum total per hour of the year           1992-2020
order_95173_NABDUE_rhh150yx_1_legend.txt Legend    Dübendorf / Giessen                  Precipitation; maximum total per hour of the year           1992-2020
order_95173_EGO_rhh150yx_1_data.txt     Data      Egolzwil                             Precipitation; maximum total per hour of the year           2010-2020
order_95173_EGO_rhh150yx_1_legend.txt   Legend    Egolzwil                             Precipitation; maximum total per hour of the year           2010-2020
order_95173_OED_rhh150yx_1_data.txt     Data      Ehrendingen                          Precipitation; maximum total per hour of the year           2014-2020
order_95173_OED_rhh150yx_1_legend.txt   Legend    Ehrendingen                          Precipitation; maximum total per hour of the year           2014-2020
order_95173_DLELZ_rhh150yx_1_data.txt   Data      Elzach / Fisnacht                    Precipitation; maximum total per hour of the year           2004-2020
order_95173_DLELZ_rhh150yx_1_legend.txt Legend    Elzach / Fisnacht                    Precipitation; maximum total per hour of the year           2004-2020
order_95173_LUEMM_rhh150yx_1_data.txt   Data      Emmen                                Precipitation; maximum total per hour of the year           1999-2020
order_95173_LUEMM_rhh150yx_1_legend.txt Legend    Emmen                                Precipitation; maximum total per hour of the year           1999-2020
order_95173_DLEMM_rhh150yx_1_data.txt   Data      Emmendingen / Mundingen              Precipitation; maximum total per hour of the year           2003-2020
order_95173_DLEMM_rhh150yx_1_legend.txt Legend    Emmendingen / Mundingen              Precipitation; maximum total per hour of the year           2003-2020
order_95173_KAEPT_rhh150yx_1_data.txt   Data      Eptingen                             Precipitation; maximum total per hour of the year           2018-2020
order_95173_KAEPT_rhh150yx_1_legend.txt Legend    Eptingen                             Precipitation; maximum total per hour of the year           2018-2020
order_95173_DLERF_rhh150yx_1_data.txt   Data      Erfurt / Bindersleben                Precipitation; maximum total per hour of the year           1995-1999
order_95173_DLERF_rhh150yx_1_legend.txt Legend    Erfurt / Bindersleben                Precipitation; maximum total per hour of the year           1995-1999
order_95173_DLERF_rhh150yx_2_data.txt   Data      Erfurt / Bindersleben                Precipitation; maximum total per hour of the year           2001-2020
order_95173_DLERF_rhh150yx_2_legend.txt Legend    Erfurt / Bindersleben                Precipitation; maximum total per hour of the year           2001-2020
order_95173_TGERM_rhh150yx_1_data.txt   Data      Ermatingen                           Precipitation; maximum total per hour of the year           2010-2014
order_95173_TGERM_rhh150yx_1_legend.txt Legend    Ermatingen                           Precipitation; maximum total per hour of the year           2010-2014
order_95173_TGERM_rhh150yx_2_data.txt   Data      Ermatingen                           Precipitation; maximum total per hour of the year           2015-2020
order_95173_TGERM_rhh150yx_2_legend.txt Legend    Ermatingen                           Precipitation; maximum total per hour of the year           2015-2020
order_95173_ESZ_rhh150yx_1_data.txt     Data      Eschenz                              Precipitation; maximum total per hour of the year           2012-2020
order_95173_ESZ_rhh150yx_1_legend.txt   Legend    Eschenz                              Precipitation; maximum total per hour of the year           2012-2020
order_95173_KAETT_rhh150yx_1_data.txt   Data      Ettingen                             Precipitation; maximum total per hour of the year           2018-2020
order_95173_KAETT_rhh150yx_1_legend.txt Legend    Ettingen                             Precipitation; maximum total per hour of the year           2018-2020
order_95173_EVI_rhh150yx_1_data.txt     Data      Evionnaz                             Precipitation; maximum total per hour of the year           2013-2020
order_95173_EVI_rhh150yx_1_legend.txt   Legend    Evionnaz                             Precipitation; maximum total per hour of the year           2013-2020
order_95173_AGFAW_rhh150yx_1_data.txt   Data      Fahrwangen                           Precipitation; maximum total per hour of the year           2000-2008
