Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94867

Filename                                Filetype  Station                              Parameter                                                   Period
order_94867_BEP_rzz150mx_1_data.txt     Data      Belp                                 Precipitation; maximum ten minute total of the month        202102-202104
order_94867_BEP_rzz150mx_1_legend.txt   Legend    Belp                                 Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DOB_rzz150mx_1_data.txt     Data      Benken / Doggen                      Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DOB_rzz150mx_1_legend.txt   Legend    Benken / Doggen                      Precipitation; maximum ten minute total of the month        202102-202104
order_94867_VDBER_rzz150mx_1_data.txt   Data      Bercher                              Precipitation; maximum ten minute total of the month        202102-202104
order_94867_VDBER_rzz150mx_1_legend.txt Legend    Bercher                              Precipitation; maximum ten minute total of the month        202102-202104
order_94867_BER_rzz150mx_1_data.txt     Data      Bern / Zollikofen                    Precipitation; maximum ten minute total of the month        202102-202104
order_94867_BER_rzz150mx_1_legend.txt   Legend    Bern / Zollikofen                    Precipitation; maximum ten minute total of the month        202102-202104
order_94867_NABBER_rzz150mx_1_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        202102-202104
order_94867_NABBER_rzz150mx_1_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLBER_rzz150mx_1_data.txt   Data      Berus                                Precipitation; maximum ten minute total of the month        202102-202104
order_94867_DLBER_rzz150mx_1_legend.txt Legend    Berus                                Precipitation; maximum ten minute total of the month        202102-202104
order_94867_BEX_rzz150mx_1_data.txt     Data      Bex                                  Precipitation; maximum ten minute total of the month        202102-202104
order_94867_BEX_rzz150mx_1_legend.txt   Legend    Bex                                  Precipitation; maximum ten minute total of the month        202102-202104
order_94867_VDAVS_rzz150mx_1_data.txt   Data      Bex / Avançon                        Precipitation; maximum ten minute total of the month        202103-202104
order_94867_VDAVS_rzz150mx_1_legend.txt Legend    Bex / Avançon                        Precipitation; maximum ten minute total of the month        202103-202104
order_94867_BEZ_rzz150mx_1_data.txt     Data      Beznau                               Precipitation; maximum ten minute total of the month        202102-202104
order_94867_BEZ_rzz150mx_1_legend.txt   Legend    Beznau                               Precipitation; maximum ten minute total of the month        202102-202104
order_94867_BIA_rzz150mx_1_data.txt     Data      Biasca                               Precipitation; maximum ten minute total of the month        202102-202104
order_94867_BIA_rzz150mx_1_legend.txt   Legend    Biasca                               Precipitation; maximum ten minute total of the month        202102-202104
order_94867_GLBIL_rzz150mx_1_data.txt   Data      Bilten                               Precipitation; maximum ten minute total of the month        202103-202104
order_94867_GLBIL_rzz150mx_1_legend.txt Legend    Bilten                               Precipitation; maximum ten minute total of the month        202103-202104
order_94867_TIBIO_rzz150mx_1_data.txt   Data      Bioggio                              Precipitation; maximum ten minute total of the month        202102-202104
order_94867_TIBIO_rzz150mx_1_legend.txt Legend    Bioggio                              Precipitation; maximum ten minute total of the month        202102-202104
order_94867_ZHBID_rzz150mx_1_data.txt   Data      Birmensdorf                          Precipitation; maximum ten minute total of the month        202102-202104
order_94867_ZHBID_rzz150mx_1_legend.txt Legend    Birmensdorf                          Precipitation; maximum ten minute total of the month        202102-202104
order_94867_AGBRW_rzz150mx_1_data.txt   Data      Birrwil                              Precipitation; maximum ten minute total of the month        202102-202104
order_94867_AGBRW_rzz150mx_1_legend.txt Legend    Birrwil                              Precipitation; maximum ten minute total of the month        202102-202104
order_94867_BIZ_rzz150mx_1_data.txt     Data      Bischofszell                         Precipitation; maximum ten minute total of the month        202102-202104
order_94867_BIZ_rzz150mx_1_legend.txt   Legend    Bischofszell                         Precipitation; maximum ten minute total of the month        202102-202104
order_94867_BIE_rzz150mx_1_data.txt     Data      Bière                                Precipitation; maximum ten minute total of the month        202102-202104
order_94867_BIE_rzz150mx_1_legend.txt   Legend    Bière                                Precipitation; maximum ten minute total of the month        202102-202104
