Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94080

Filename                                Filetype  Station                              Parameter                                                   Period
order_94080_VSCHY_rhh150mx_3_legend.txt Legend    Champéry                             Precipitation; maximum total per hour of the month          201301-201308
order_94080_VSCHY_rhh150mx_4_data.txt   Data      Champéry                             Precipitation; maximum total per hour of the month          201309-201504
order_94080_VSCHY_rhh150mx_4_legend.txt Legend    Champéry                             Precipitation; maximum total per hour of the month          201309-201504
order_94080_VSCHY_rhh150mx_5_data.txt   Data      Champéry                             Precipitation; maximum total per hour of the month          201505-201705
order_94080_VSCHY_rhh150mx_5_legend.txt Legend    Champéry                             Precipitation; maximum total per hour of the month          201505-201705
order_94080_VSCHY_rhh150mx_6_data.txt   Data      Champéry                             Precipitation; maximum total per hour of the month          201706-202006
order_94080_VSCHY_rhh150mx_6_legend.txt Legend    Champéry                             Precipitation; maximum total per hour of the month          201706-202006
order_94080_VSCHY_rhh150mx_7_data.txt   Data      Champéry                             Precipitation; maximum total per hour of the month          202007-202012
order_94080_VSCHY_rhh150mx_7_legend.txt Legend    Champéry                             Precipitation; maximum total per hour of the month          202007-202012
order_94080_VSCHY_rhh150mx_8_data.txt   Data      Champéry                             Precipitation; maximum total per hour of the month          202101-202103
order_94080_VSCHY_rhh150mx_8_legend.txt Legend    Champéry                             Precipitation; maximum total per hour of the month          202101-202103
order_94080_MMCPY_rhh150mx_1_data.txt   Data      Champéry                             Precipitation; maximum total per hour of the month          201412-201508
order_94080_MMCPY_rhh150mx_1_legend.txt Legend    Champéry                             Precipitation; maximum total per hour of the month          201412-201508
order_94080_MMCPY_rhh150mx_2_data.txt   Data      Champéry                             Precipitation; maximum total per hour of the month          201509-201510
order_94080_MMCPY_rhh150mx_2_legend.txt Legend    Champéry                             Precipitation; maximum total per hour of the month          201509-201510
order_94080_MMCPY_rhh150mx_3_data.txt   Data      Champéry                             Precipitation; maximum total per hour of the month          201512-201607
order_94080_MMCPY_rhh150mx_3_legend.txt Legend    Champéry                             Precipitation; maximum total per hour of the month          201512-201607
order_94080_MMCPY_rhh150mx_4_data.txt   Data      Champéry                             Precipitation; maximum total per hour of the month          201608-201610
order_94080_MMCPY_rhh150mx_4_legend.txt Legend    Champéry                             Precipitation; maximum total per hour of the month          201608-201610
order_94080_MMCPY_rhh150mx_5_data.txt   Data      Champéry                             Precipitation; maximum total per hour of the month          201611-201612
order_94080_MMCPY_rhh150mx_5_legend.txt Legend    Champéry                             Precipitation; maximum total per hour of the month          201611-201612
order_94080_MMCPY_rhh150mx_6_data.txt   Data      Champéry                             Precipitation; maximum total per hour of the month          201701-201802
order_94080_MMCPY_rhh150mx_6_legend.txt Legend    Champéry                             Precipitation; maximum total per hour of the month          201701-201802
order_94080_MMCPY_rhh150mx_7_data.txt   Data      Champéry                             Precipitation; maximum total per hour of the month          201804-201808
order_94080_MMCPY_rhh150mx_7_legend.txt Legend    Champéry                             Precipitation; maximum total per hour of the month          201804-201808
order_94080_MMCPY_rhh150mx_8_data.txt   Data      Champéry                             Precipitation; maximum total per hour of the month          201809-201811
order_94080_MMCPY_rhh150mx_8_legend.txt Legend    Champéry                             Precipitation; maximum total per hour of the month          201809-201811
order_94080_MMCPY_rhh150mx_9_data.txt   Data      Champéry                             Precipitation; maximum total per hour of the month          201812-201906
order_94080_MMCPY_rhh150mx_9_legend.txt Legend    Champéry                             Precipitation; maximum total per hour of the month          201812-201906
order_94080_MMCPY_rhh150mx_10_data.txt  Data      Champéry                             Precipitation; maximum total per hour of the month          201907-201908
order_94080_MMCPY_rhh150mx_10_legend.txt Legend    Champéry                             Precipitation; maximum total per hour of the month          201907-201908
order_94080_MMCPY_rhh150mx_11_data.txt  Data      Champéry                             Precipitation; maximum total per hour of the month          201909-201912
order_94080_MMCPY_rhh150mx_11_legend.txt Legend    Champéry                             Precipitation; maximum total per hour of the month          201909-201912
order_94080_MMCPY_rhh150mx_12_data.txt  Data      Champéry                             Precipitation; maximum total per hour of the month          202001-202103
order_94080_MMCPY_rhh150mx_12_legend.txt Legend    Champéry                             Precipitation; maximum total per hour of the month          202001-202103
order_94080_CHM_rhh150mx_1_data.txt     Data      Chaumont                             Precipitation; maximum total per hour of the month          201309-201911
order_94080_CHM_rhh150mx_1_legend.txt   Legend    Chaumont                             Precipitation; maximum total per hour of the month          201309-201911
order_94080_CHM_rhh150mx_2_data.txt     Data      Chaumont                             Precipitation; maximum total per hour of the month          201912-202103
order_94080_CHM_rhh150mx_2_legend.txt   Legend    Chaumont                             Precipitation; maximum total per hour of the month          201912-202103
order_94080_NABCHA_rhh150mx_1_data.txt  Data      Chaumont / Bosset                    Precipitation; maximum total per hour of the month          200804-200806
order_94080_NABCHA_rhh150mx_1_legend.txt Legend    Chaumont / Bosset                    Precipitation; maximum total per hour of the month          200804-200806
order_94080_NABCHA_rhh150mx_2_data.txt  Data      Chaumont / Bosset                    Precipitation; maximum total per hour of the month          200808-200809
order_94080_NABCHA_rhh150mx_2_legend.txt Legend    Chaumont / Bosset                    Precipitation; maximum total per hour of the month          200808-200809
order_94080_NABCHA_rhh150mx_3_data.txt  Data      Chaumont / Bosset                    Precipitation; maximum total per hour of the month          201003-201311
order_94080_NABCHA_rhh150mx_3_legend.txt Legend    Chaumont / Bosset                    Precipitation; maximum total per hour of the month          201003-201311
order_94080_NABCHA_rhh150mx_4_data.txt  Data      Chaumont / Bosset                    Precipitation; maximum total per hour of the month          201312-201412
order_94080_NABCHA_rhh150mx_4_legend.txt Legend    Chaumont / Bosset                    Precipitation; maximum total per hour of the month          201312-201412
order_94080_CHD_rhh150mx_1_data.txt     Data      Château-d'Oex                        Precipitation; maximum total per hour of the month          201202-201609
order_94080_CHD_rhh150mx_1_legend.txt   Legend    Château-d'Oex                        Precipitation; maximum total per hour of the month          201202-201609
order_94080_CHD_rhh150mx_2_data.txt     Data      Château-d'Oex                        Precipitation; maximum total per hour of the month          201611-201706
order_94080_CHD_rhh150mx_2_legend.txt   Legend    Château-d'Oex                        Precipitation; maximum total per hour of the month          201611-201706
order_94080_CHD_rhh150mx_3_data.txt     Data      Château-d'Oex                        Precipitation; maximum total per hour of the month          201707-202103
order_94080_CHD_rhh150mx_3_legend.txt   Legend    Château-d'Oex                        Precipitation; maximum total per hour of the month          201707-202103
order_94080_TICOL_rhh150mx_1_data.txt   Data      Colla                                Precipitation; maximum total per hour of the month          200607-201612
order_94080_TICOL_rhh150mx_1_legend.txt Legend    Colla                                Precipitation; maximum total per hour of the month          200607-201612
order_94080_TICOL_rhh150mx_2_data.txt   Data      Colla                                Precipitation; maximum total per hour of the month          201701-201705
order_94080_TICOL_rhh150mx_2_legend.txt Legend    Colla                                Precipitation; maximum total per hour of the month          201701-201705
order_94080_TICOL_rhh150mx_3_data.txt   Data      Colla                                Precipitation; maximum total per hour of the month          201706-202005
order_94080_TICOL_rhh150mx_3_legend.txt Legend    Colla                                Precipitation; maximum total per hour of the month          201706-202005
order_94080_TICOL_rhh150mx_4_data.txt   Data      Colla                                Precipitation; maximum total per hour of the month          202006-202103
order_94080_TICOL_rhh150mx_4_legend.txt Legend    Colla                                Precipitation; maximum total per hour of the month          202006-202103
order_94080_DIS_rhh150mx_1_data.txt     Data      Disentis                             Precipitation; maximum total per hour of the month          198012-201009
order_94080_DIS_rhh150mx_1_legend.txt   Legend    Disentis                             Precipitation; maximum total per hour of the month          198012-201009
order_94080_DIS_rhh150mx_2_data.txt     Data      Disentis                             Precipitation; maximum total per hour of the month          201010-201406
order_94080_DIS_rhh150mx_2_legend.txt   Legend    Disentis                             Precipitation; maximum total per hour of the month          201010-201406
order_94080_DIS_rhh150mx_3_data.txt     Data      Disentis                             Precipitation; maximum total per hour of the month          201407-201409
order_94080_DIS_rhh150mx_3_legend.txt   Legend    Disentis                             Precipitation; maximum total per hour of the month          201407-201409
order_94080_DIS_rhh150mx_4_data.txt     Data      Disentis                             Precipitation; maximum total per hour of the month          201410-201705
order_94080_DIS_rhh150mx_4_legend.txt   Legend    Disentis                             Precipitation; maximum total per hour of the month          201410-201705
order_94080_DIS_rhh150mx_5_data.txt     Data      Disentis                             Precipitation; maximum total per hour of the month          201706-201907
order_94080_DIS_rhh150mx_5_legend.txt   Legend    Disentis                             Precipitation; maximum total per hour of the month          201706-201907
order_94080_DIS_rhh150mx_6_data.txt     Data      Disentis                             Precipitation; maximum total per hour of the month          201908-202012
order_94080_DIS_rhh150mx_6_legend.txt   Legend    Disentis                             Precipitation; maximum total per hour of the month          201908-202012
order_94080_DIS_rhh150mx_7_data.txt     Data      Disentis                             Precipitation; maximum total per hour of the month          202101-202103
order_94080_DIS_rhh150mx_7_legend.txt   Legend    Disentis                             Precipitation; maximum total per hour of the month          202101-202103
order_94080_VSDUR_rhh150mx_1_data.txt   Data      Durnand                              Precipitation; maximum total per hour of the month          201210-201703
order_94080_VSDUR_rhh150mx_1_legend.txt Legend    Durnand                              Precipitation; maximum total per hour of the month          201210-201703
order_94080_VSDUR_rhh150mx_2_data.txt   Data      Durnand                              Precipitation; maximum total per hour of the month          201704-201807
order_94080_VSDUR_rhh150mx_2_legend.txt Legend    Durnand                              Precipitation; maximum total per hour of the month          201704-201807
order_94080_VSDUR_rhh150mx_3_data.txt   Data      Durnand                              Precipitation; maximum total per hour of the month          201808-202103
order_94080_VSDUR_rhh150mx_3_legend.txt Legend    Durnand                              Precipitation; maximum total per hour of the month          201808-202103
order_94080_ENG_rhh150mx_1_data.txt     Data      Engelberg                            Precipitation; maximum total per hour of the month          198210-201103
order_94080_ENG_rhh150mx_1_legend.txt   Legend    Engelberg                            Precipitation; maximum total per hour of the month          198210-201103
order_94080_ENG_rhh150mx_2_data.txt     Data      Engelberg                            Precipitation; maximum total per hour of the month          201105-201111
order_94080_ENG_rhh150mx_2_legend.txt   Legend    Engelberg                            Precipitation; maximum total per hour of the month          201105-201111
order_94080_ENG_rhh150mx_3_data.txt     Data      Engelberg                            Precipitation; maximum total per hour of the month          201112-202103
order_94080_ENG_rhh150mx_3_legend.txt   Legend    Engelberg                            Precipitation; maximum total per hour of the month          201112-202103
