Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94908

Filename                                Filetype  Station                              Parameter                                                   Period
order_94908_BSG_rti150yx_3_legend.txt   Legend    Brissago                             Precipitation; date of the maximum daily total of the year  1936-2020
order_94908_BRH_rti150yx_1_data.txt     Data      Bruderholz                           Precipitation; date of the maximum daily total of the year  1907-1993
order_94908_BRH_rti150yx_1_legend.txt   Legend    Bruderholz                           Precipitation; date of the maximum daily total of the year  1907-1993
order_94908_BGG_rti150yx_1_data.txt     Data      Brugg                                Precipitation; date of the maximum daily total of the year  1960-1982
order_94908_BGG_rti150yx_1_legend.txt   Legend    Brugg                                Precipitation; date of the maximum daily total of the year  1960-1982
order_94908_BWI_rti150yx_1_data.txt     Data      Brugg-Wildegg                        Precipitation; date of the maximum daily total of the year  1983-1998
order_94908_BWI_rti150yx_1_legend.txt   Legend    Brugg-Wildegg                        Precipitation; date of the maximum daily total of the year  1983-1998
order_94908_BUS_rti150yx_1_data.txt     Data      Buchs / Aarau                        Precipitation; date of the maximum daily total of the year  1984-2020
order_94908_BUS_rti150yx_1_legend.txt   Legend    Buchs / Aarau                        Precipitation; date of the maximum daily total of the year  1984-2020
order_94908_BMH_rti150yx_1_data.txt     Data      Bâle-Mulhouse (ehemalige Station)    Precipitation; date of the maximum daily total of the year  1950-1980
order_94908_BMH_rti150yx_1_legend.txt   Legend    Bâle-Mulhouse (ehemalige Station)    Precipitation; date of the maximum daily total of the year  1950-1980
order_94908_KABAT_rti150yx_1_data.txt   Data      Bättwil                              Precipitation; date of the maximum daily total of the year  2019-2020
order_94908_KABAT_rti150yx_1_legend.txt Legend    Bättwil                              Precipitation; date of the maximum daily total of the year  2019-2020
order_94908_BOC_rti150yx_1_data.txt     Data      Böckten                              Precipitation; date of the maximum daily total of the year  1899-1988
order_94908_BOC_rti150yx_1_legend.txt   Legend    Böckten                              Precipitation; date of the maximum daily total of the year  1899-1988
order_94908_TICAN_rti150yx_1_data.txt   Data      Canobbio                             Precipitation; date of the maximum daily total of the year  2007-2020
order_94908_TICAN_rti150yx_1_legend.txt Legend    Canobbio                             Precipitation; date of the maximum daily total of the year  2007-2020
order_94908_CSL_rti150yx_1_data.txt     Data      Chessel                              Precipitation; date of the maximum daily total of the year  1960-1984
order_94908_CSL_rti150yx_1_legend.txt   Legend    Chessel                              Precipitation; date of the maximum daily total of the year  1960-1984
order_94908_TICIA_rti150yx_1_data.txt   Data      Chiasso                              Precipitation; date of the maximum daily total of the year  1987-2006
