Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95474

Filename                                Filetype  Station                              Parameter                                                   Period
order_95474_TIBIA_rre002mx_1_data.txt   Data      Biasca / Pontirone                   Precipitation; maximum 2-day total of the month             200712-201612
order_95474_TIBIA_rre002mx_1_legend.txt Legend    Biasca / Pontirone                   Precipitation; maximum 2-day total of the month             200712-201612
order_95474_TIBIA_rre002mx_2_data.txt   Data      Biasca / Pontirone                   Precipitation; maximum 2-day total of the month             201701-201703
order_95474_TIBIA_rre002mx_2_legend.txt Legend    Biasca / Pontirone                   Precipitation; maximum 2-day total of the month             201701-201703
order_95474_TIBIA_rre002mx_3_data.txt   Data      Biasca / Pontirone                   Precipitation; maximum 2-day total of the month             201704-202001
order_95474_TIBIA_rre002mx_3_legend.txt Legend    Biasca / Pontirone                   Precipitation; maximum 2-day total of the month             201704-202001
order_95474_TIBIA_rre002mx_4_data.txt   Data      Biasca / Pontirone                   Precipitation; maximum 2-day total of the month             202003-202103
order_95474_TIBIA_rre002mx_4_legend.txt Legend    Biasca / Pontirone                   Precipitation; maximum 2-day total of the month             202003-202103
order_95474_BRA_rre002mx_1_data.txt     Data      Braggio                              Precipitation; maximum 2-day total of the month             190012-196012
order_95474_BRA_rre002mx_1_legend.txt   Legend    Braggio                              Precipitation; maximum 2-day total of the month             190012-196012
order_95474_BRA_rre002mx_2_data.txt     Data      Braggio                              Precipitation; maximum 2-day total of the month             196312-196810
order_95474_BRA_rre002mx_2_legend.txt   Legend    Braggio                              Precipitation; maximum 2-day total of the month             196312-196810
order_95474_BRA_rre002mx_3_data.txt     Data      Braggio                              Precipitation; maximum 2-day total of the month             196912-201105
order_95474_BRA_rre002mx_3_legend.txt   Legend    Braggio                              Precipitation; maximum 2-day total of the month             196912-201105
order_95474_BRA_rre002mx_4_data.txt     Data      Braggio                              Precipitation; maximum 2-day total of the month             201106-201305
order_95474_BRA_rre002mx_4_legend.txt   Legend    Braggio                              Precipitation; maximum 2-day total of the month             201106-201305
order_95474_BRA_rre002mx_5_data.txt     Data      Braggio                              Precipitation; maximum 2-day total of the month             201306-202105
order_95474_BRA_rre002mx_5_legend.txt   Legend    Braggio                              Precipitation; maximum 2-day total of the month             201306-202105
order_95474_BRW_rre002mx_1_data.txt     Data      Braunwald                            Precipitation; maximum 2-day total of the month             191810-202105
order_95474_BRW_rre002mx_1_legend.txt   Legend    Braunwald                            Precipitation; maximum 2-day total of the month             191810-202105
order_95474_FRE_rre002mx_1_data.txt     Data      Bullet / La Frétaz                   Precipitation; maximum 2-day total of the month             197712-202105
order_95474_FRE_rre002mx_1_legend.txt   Legend    Bullet / La Frétaz                   Precipitation; maximum 2-day total of the month             197712-202105
order_95474_TICVM_rre002mx_1_data.txt   Data      Campo Vallemaggia                    Precipitation; maximum 2-day total of the month             200112-201705
order_95474_TICVM_rre002mx_1_legend.txt Legend    Campo Vallemaggia                    Precipitation; maximum 2-day total of the month             200112-201705
order_95474_TICVM_rre002mx_2_data.txt   Data      Campo Vallemaggia                    Precipitation; maximum 2-day total of the month             201706-202104
order_95474_TICVM_rre002mx_2_legend.txt Legend    Campo Vallemaggia                    Precipitation; maximum 2-day total of the month             201706-202104
order_95474_CHM_rre002mx_1_data.txt     Data      Chaumont                             Precipitation; maximum 2-day total of the month             186312-188711
order_95474_CHM_rre002mx_1_legend.txt   Legend    Chaumont                             Precipitation; maximum 2-day total of the month             186312-188711
order_95474_CHM_rre002mx_2_data.txt     Data      Chaumont                             Precipitation; maximum 2-day total of the month             188712-202105
order_95474_CHM_rre002mx_2_legend.txt   Legend    Chaumont                             Precipitation; maximum 2-day total of the month             188712-202105
order_95474_NABCHA_rre002mx_1_data.txt  Data      Chaumont / Bosset                    Precipitation; maximum 2-day total of the month             200909-200911
order_95474_NABCHA_rre002mx_1_legend.txt Legend    Chaumont / Bosset                    Precipitation; maximum 2-day total of the month             200909-200911
order_95474_NABCHA_rre002mx_2_data.txt  Data      Chaumont / Bosset                    Precipitation; maximum 2-day total of the month             201001-201311
order_95474_NABCHA_rre002mx_2_legend.txt Legend    Chaumont / Bosset                    Precipitation; maximum 2-day total of the month             201001-201311
order_95474_NABCHA_rre002mx_3_data.txt  Data      Chaumont / Bosset                    Precipitation; maximum 2-day total of the month             201312-201412
order_95474_NABCHA_rre002mx_3_legend.txt Legend    Chaumont / Bosset                    Precipitation; maximum 2-day total of the month             201312-201412
order_95474_TICHI_rre002mx_1_data.txt   Data      Chironico                            Precipitation; maximum 2-day total of the month             201010-201012
order_95474_TICHI_rre002mx_1_legend.txt Legend    Chironico                            Precipitation; maximum 2-day total of the month             201010-201012
order_95474_TICHI_rre002mx_2_data.txt   Data      Chironico                            Precipitation; maximum 2-day total of the month             201102-201111
order_95474_TICHI_rre002mx_2_legend.txt Legend    Chironico                            Precipitation; maximum 2-day total of the month             201102-201111
order_95474_TICHI_rre002mx_3_data.txt   Data      Chironico                            Precipitation; maximum 2-day total of the month             201112-201612
order_95474_TICHI_rre002mx_3_legend.txt Legend    Chironico                            Precipitation; maximum 2-day total of the month             201112-201612
order_95474_TICHI_rre002mx_4_data.txt   Data      Chironico                            Precipitation; maximum 2-day total of the month             201701-202105
order_95474_TICHI_rre002mx_4_legend.txt Legend    Chironico                            Precipitation; maximum 2-day total of the month             201701-202105
order_95474_WSLCIB_rre002mx_1_data.txt  Data      Chironico Bestand                    Precipitation; maximum 2-day total of the month             201712-201908
order_95474_WSLCIB_rre002mx_1_legend.txt Legend    Chironico Bestand                    Precipitation; maximum 2-day total of the month             201712-201908
order_95474_WSLCIB_rre002mx_2_data.txt  Data      Chironico Bestand                    Precipitation; maximum 2-day total of the month             202008-202009
order_95474_WSLCIB_rre002mx_2_legend.txt Legend    Chironico Bestand                    Precipitation; maximum 2-day total of the month             202008-202009
order_95474_WSLCIB_rre002mx_3_data.txt  Data      Chironico Bestand                    Precipitation; maximum 2-day total of the month             202104-202105
order_95474_WSLCIB_rre002mx_3_legend.txt Legend    Chironico Bestand                    Precipitation; maximum 2-day total of the month             202104-202105
order_95474_CDM_rre002mx_1_data.txt     Data      Col des Mosses                       Precipitation; maximum 2-day total of the month             197112-202105
order_95474_CDM_rre002mx_1_legend.txt   Legend    Col des Mosses                       Precipitation; maximum 2-day total of the month             197112-202105
order_95474_TICOL_rre002mx_1_data.txt   Data      Colla                                Precipitation; maximum 2-day total of the month             200607-201612
order_95474_TICOL_rre002mx_1_legend.txt Legend    Colla                                Precipitation; maximum 2-day total of the month             200607-201612
order_95474_TICOL_rre002mx_2_data.txt   Data      Colla                                Precipitation; maximum 2-day total of the month             201701-201705
order_95474_TICOL_rre002mx_2_legend.txt Legend    Colla                                Precipitation; maximum 2-day total of the month             201701-201705
order_95474_TICOL_rre002mx_3_data.txt   Data      Colla                                Precipitation; maximum 2-day total of the month             201706-202105
order_95474_TICOL_rre002mx_3_legend.txt Legend    Colla                                Precipitation; maximum 2-day total of the month             201706-202105
order_95474_VSDER_rre002mx_1_data.txt   Data      Derborence                           Precipitation; maximum 2-day total of the month             201211-201306
order_95474_VSDER_rre002mx_1_legend.txt Legend    Derborence                           Precipitation; maximum 2-day total of the month             201211-201306
order_95474_VSDER_rre002mx_2_data.txt   Data      Derborence                           Precipitation; maximum 2-day total of the month             201308-201309
order_95474_VSDER_rre002mx_2_legend.txt Legend    Derborence                           Precipitation; maximum 2-day total of the month             201308-201309
order_95474_VSDER_rre002mx_3_data.txt   Data      Derborence                           Precipitation; maximum 2-day total of the month             201310-202105
order_95474_VSDER_rre002mx_3_legend.txt Legend    Derborence                           Precipitation; maximum 2-day total of the month             201310-202105
order_95474_IYDEU_rre002mx_1_data.txt   Data      Deutschnofen                         Precipitation; maximum 2-day total of the month             200012-202004
order_95474_IYDEU_rre002mx_1_legend.txt Legend    Deutschnofen                         Precipitation; maximum 2-day total of the month             200012-202004
