Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95483

Filename                                Filetype  Station                              Parameter                                                   Period
order_95483_CHF_rre003mx_1_legend.txt   Legend    Champ-Fahy                           Precipitation; maximum 3-day total of the month             190012-192112
order_95483_CNZ_rre003mx_1_data.txt     Data      Chanéaz                              Precipitation; maximum 3-day total of the month             197112-201905
order_95483_CNZ_rre003mx_1_legend.txt   Legend    Chanéaz                              Precipitation; maximum 3-day total of the month             197112-201905
order_95483_CNZ_rre003mx_2_data.txt     Data      Chanéaz                              Precipitation; maximum 3-day total of the month             201906-202105
order_95483_CNZ_rre003mx_2_legend.txt   Legend    Chanéaz                              Precipitation; maximum 3-day total of the month             201906-202105
order_95483_VSCHO_rre003mx_1_data.txt   Data      Choëx                                Precipitation; maximum 3-day total of the month             201311-202008
order_95483_VSCHO_rre003mx_1_legend.txt Legend    Choëx                                Precipitation; maximum 3-day total of the month             201311-202008
order_95483_VSCHO_rre003mx_2_data.txt   Data      Choëx                                Precipitation; maximum 3-day total of the month             202009-202105
order_95483_VSCHO_rre003mx_2_legend.txt Legend    Choëx                                Precipitation; maximum 3-day total of the month             202009-202105
order_95483_VDCHX_rre003mx_1_data.txt   Data      Château d'Oex                        Precipitation; maximum 3-day total of the month             201212-202105
order_95483_VDCHX_rre003mx_1_legend.txt Legend    Château d'Oex                        Precipitation; maximum 3-day total of the month             201212-202105
order_95483_COT_rre003mx_1_data.txt     Data      Cotterg                              Precipitation; maximum 3-day total of the month             195906-196412
order_95483_COT_rre003mx_1_legend.txt   Legend    Cotterg                              Precipitation; maximum 3-day total of the month             195906-196412
order_95483_COU_rre003mx_1_data.txt     Data      Couvet                               Precipitation; maximum 3-day total of the month             189612-202105
order_95483_COU_rre003mx_1_legend.txt   Legend    Couvet                               Precipitation; maximum 3-day total of the month             189612-202105
order_95483_DLDAC_rre003mx_1_data.txt   Data      Dachsberg / Wolpadingen              Precipitation; maximum 3-day total of the month             202102-202105
order_95483_DLDAC_rre003mx_1_legend.txt Legend    Dachsberg / Wolpadingen              Precipitation; maximum 3-day total of the month             202102-202105
order_95483_DEH_rre003mx_1_data.txt     Data      Degersheim                           Precipitation; maximum 3-day total of the month             190012-202105
order_95483_DEH_rre003mx_1_legend.txt   Legend    Degersheim                           Precipitation; maximum 3-day total of the month             190012-202105
order_95483_DBN_rre003mx_1_data.txt     Data      Dombresson                           Precipitation; maximum 3-day total of the month             190001-193112
order_95483_DBN_rre003mx_1_legend.txt   Legend    Dombresson                           Precipitation; maximum 3-day total of the month             190001-193112
order_95483_MMDAS_rre003mx_1_data.txt   Data      Därstetten                           Precipitation; maximum 3-day total of the month             201211-201307
order_95483_MMDAS_rre003mx_1_legend.txt Legend    Därstetten                           Precipitation; maximum 3-day total of the month             201211-201307
order_95483_MMDAS_rre003mx_2_data.txt   Data      Därstetten                           Precipitation; maximum 3-day total of the month             201308-201404
order_95483_MMDAS_rre003mx_2_legend.txt Legend    Därstetten                           Precipitation; maximum 3-day total of the month             201308-201404
order_95483_MMDAS_rre003mx_3_data.txt   Data      Därstetten                           Precipitation; maximum 3-day total of the month             201405-201411
