Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95468

Filename                                Filetype  Station                              Parameter                                                   Period
order_95468_ARI_rre002mx_1_data.txt     Data      Arisdorf                             Precipitation; maximum 2-day total of the month             190001-202105
order_95468_ARI_rre002mx_1_legend.txt   Legend    Arisdorf                             Precipitation; maximum 2-day total of the month             190001-202105
order_95468_AGATT_rre002mx_1_data.txt   Data      Attelwil                             Precipitation; maximum 2-day total of the month             201406-202105
order_95468_AGATT_rre002mx_1_legend.txt Legend    Attelwil                             Precipitation; maximum 2-day total of the month             201406-202105
order_95468_RAG_rre002mx_1_data.txt     Data      Bad Ragaz                            Precipitation; maximum 2-day total of the month             187005-189012
order_95468_RAG_rre002mx_1_legend.txt   Legend    Bad Ragaz                            Precipitation; maximum 2-day total of the month             187005-189012
order_95468_RAG_rre002mx_2_data.txt     Data      Bad Ragaz                            Precipitation; maximum 2-day total of the month             193808-201112
order_95468_RAG_rre002mx_2_legend.txt   Legend    Bad Ragaz                            Precipitation; maximum 2-day total of the month             193808-201112
order_95468_RAG_rre002mx_3_data.txt     Data      Bad Ragaz                            Precipitation; maximum 2-day total of the month             201202-201605
order_95468_RAG_rre002mx_3_legend.txt   Legend    Bad Ragaz                            Precipitation; maximum 2-day total of the month             201202-201605
order_95468_RAG_rre002mx_4_data.txt     Data      Bad Ragaz                            Precipitation; maximum 2-day total of the month             201606-202105
order_95468_RAG_rre002mx_4_legend.txt   Legend    Bad Ragaz                            Precipitation; maximum 2-day total of the month             201606-202105
order_95468_IYBAR_rre002mx_1_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum 2-day total of the month             200212-202004
order_95468_IYBAR_rre002mx_1_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum 2-day total of the month             200212-202004
order_95468_IYBAR_rre002mx_2_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum 2-day total of the month             202005-202006
order_95468_IYBAR_rre002mx_2_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum 2-day total of the month             202005-202006
order_95468_IYBAR_rre002mx_3_data.txt   Data      Barbian / Kollmann                   Precipitation; maximum 2-day total of the month             202007-202105
order_95468_IYBAR_rre002mx_3_legend.txt Legend    Barbian / Kollmann                   Precipitation; maximum 2-day total of the month             202007-202105
order_95468_BEP_rre002mx_1_data.txt     Data      Belp                                 Precipitation; maximum 2-day total of the month             190012-202105
order_95468_BEP_rre002mx_1_legend.txt   Legend    Belp                                 Precipitation; maximum 2-day total of the month             190012-202105
order_95468_BNW_rre002mx_1_data.txt     Data      Bennwil BL                           Precipitation; maximum 2-day total of the month             189912-199506
order_95468_BNW_rre002mx_1_legend.txt   Legend    Bennwil BL                           Precipitation; maximum 2-day total of the month             189912-199506
order_95468_SOBIB_rre002mx_1_data.txt   Data      Bibern                               Precipitation; maximum 2-day total of the month             199812-201307
order_95468_SOBIB_rre002mx_1_legend.txt Legend    Bibern                               Precipitation; maximum 2-day total of the month             199812-201307
order_95468_AGBRW_rre002mx_1_data.txt   Data      Birrwil                              Precipitation; maximum 2-day total of the month             200007-200903
order_95468_AGBRW_rre002mx_1_legend.txt Legend    Birrwil                              Precipitation; maximum 2-day total of the month             200007-200903
order_95468_AGBRW_rre002mx_2_data.txt   Data      Birrwil                              Precipitation; maximum 2-day total of the month             200905-200906
order_95468_AGBRW_rre002mx_2_legend.txt Legend    Birrwil                              Precipitation; maximum 2-day total of the month             200905-200906
order_95468_AGBRW_rre002mx_3_data.txt   Data      Birrwil                              Precipitation; maximum 2-day total of the month             200912-202105
order_95468_AGBRW_rre002mx_3_legend.txt Legend    Birrwil                              Precipitation; maximum 2-day total of the month             200912-202105
order_95468_BIZ_rre002mx_1_data.txt     Data      Bischofszell                         Precipitation; maximum 2-day total of the month             190001-202105
order_95468_BIZ_rre002mx_1_legend.txt   Legend    Bischofszell                         Precipitation; maximum 2-day total of the month             190001-202105
order_95468_MMBOY_rre002mx_1_data.txt   Data      Boudry                               Precipitation; maximum 2-day total of the month             201211-201309
order_95468_MMBOY_rre002mx_1_legend.txt Legend    Boudry                               Precipitation; maximum 2-day total of the month             201211-201309
order_95468_MMBOY_rre002mx_2_data.txt   Data      Boudry                               Precipitation; maximum 2-day total of the month             201310-201311
order_95468_MMBOY_rre002mx_2_legend.txt Legend    Boudry                               Precipitation; maximum 2-day total of the month             201310-201311
order_95468_MMBOY_rre002mx_3_data.txt   Data      Boudry                               Precipitation; maximum 2-day total of the month             201312-201404
order_95468_MMBOY_rre002mx_3_legend.txt Legend    Boudry                               Precipitation; maximum 2-day total of the month             201312-201404
order_95468_MMBOY_rre002mx_4_data.txt   Data      Boudry                               Precipitation; maximum 2-day total of the month             201405-201410
order_95468_MMBOY_rre002mx_4_legend.txt Legend    Boudry                               Precipitation; maximum 2-day total of the month             201405-201410
order_95468_MMBOY_rre002mx_5_data.txt   Data      Boudry                               Precipitation; maximum 2-day total of the month             201411-201511
order_95468_MMBOY_rre002mx_5_legend.txt Legend    Boudry                               Precipitation; maximum 2-day total of the month             201411-201511
order_95468_MMBOY_rre002mx_6_data.txt   Data      Boudry                               Precipitation; maximum 2-day total of the month             201602-201706
order_95468_MMBOY_rre002mx_6_legend.txt Legend    Boudry                               Precipitation; maximum 2-day total of the month             201602-201706
order_95468_MMBOY_rre002mx_7_data.txt   Data      Boudry                               Precipitation; maximum 2-day total of the month             201707-201811
order_95468_MMBOY_rre002mx_7_legend.txt Legend    Boudry                               Precipitation; maximum 2-day total of the month             201707-201811
order_95468_MMBOY_rre002mx_8_data.txt   Data      Boudry                               Precipitation; maximum 2-day total of the month             201812-202105
order_95468_MMBOY_rre002mx_8_legend.txt Legend    Boudry                               Precipitation; maximum 2-day total of the month             201812-202105
order_95468_CPS_rre002mx_1_data.txt     Data      Compesières                          Precipitation; maximum 2-day total of the month             190009-197312
order_95468_CPS_rre002mx_1_legend.txt   Legend    Compesières                          Precipitation; maximum 2-day total of the month             190009-197312
order_95468_VDCRI_rre002mx_1_data.txt   Data      Crissier                             Precipitation; maximum 2-day total of the month             201212-201512
order_95468_VDCRI_rre002mx_1_legend.txt Legend    Crissier                             Precipitation; maximum 2-day total of the month             201212-201512
order_95468_VDCRI_rre002mx_2_data.txt   Data      Crissier                             Precipitation; maximum 2-day total of the month             201601-202105
order_95468_VDCRI_rre002mx_2_legend.txt Legend    Crissier                             Precipitation; maximum 2-day total of the month             201601-202105
order_95468_CRO_rre002mx_1_data.txt     Data      Croix-de-Rozon                       Precipitation; maximum 2-day total of the month             197312-200505
order_95468_CRO_rre002mx_1_legend.txt   Legend    Croix-de-Rozon                       Precipitation; maximum 2-day total of the month             197312-200505
order_95468_DLDEU_rre002mx_1_data.txt   Data      Deuselbach                           Precipitation; maximum 2-day total of the month             202008-202105
order_95468_DLDEU_rre002mx_1_legend.txt Legend    Deuselbach                           Precipitation; maximum 2-day total of the month             202008-202105
order_95468_EFF_rre002mx_1_data.txt     Data      Effretikon                           Precipitation; maximum 2-day total of the month             195212-202105
order_95468_EFF_rre002mx_1_legend.txt   Legend    Effretikon                           Precipitation; maximum 2-day total of the month             195212-202105
order_95468_EVI_rre002mx_1_data.txt     Data      Evionnaz                             Precipitation; maximum 2-day total of the month             201312-202105
order_95468_EVI_rre002mx_1_legend.txt   Legend    Evionnaz                             Precipitation; maximum 2-day total of the month             201312-202105
order_95468_DLFEL_rre002mx_1_data.txt   Data      Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum 2-day total of the month             198112-199711
order_95468_DLFEL_rre002mx_1_legend.txt Legend    Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum 2-day total of the month             198112-199711
order_95468_DLFEL_rre002mx_2_data.txt   Data      Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum 2-day total of the month             199712-200003
order_95468_DLFEL_rre002mx_2_legend.txt Legend    Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum 2-day total of the month             199712-200003
order_95468_DLFEL_rre002mx_3_data.txt   Data      Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum 2-day total of the month             200101-200105
order_95468_DLFEL_rre002mx_3_legend.txt Legend    Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum 2-day total of the month             200101-200105
order_95468_DLFEL_rre002mx_4_data.txt   Data      Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum 2-day total of the month             200612-202105
order_95468_DLFEL_rre002mx_4_legend.txt Legend    Feldkirchen-Westerham / Lenzmühle    Precipitation; maximum 2-day total of the month             200612-202105
order_95468_DLFEU_rre002mx_1_data.txt   Data      Feuchtwangen / Heilbronn             Precipitation; maximum 2-day total of the month             202008-202105
order_95468_DLFEU_rre002mx_1_legend.txt Legend    Feuchtwangen / Heilbronn             Precipitation; maximum 2-day total of the month             202008-202105
order_95468_DLHAH_rre002mx_1_data.txt   Data      Frankfurt / Hahn Flughafen           Precipitation; maximum 2-day total of the month             202008-202105
order_95468_DLHAH_rre002mx_1_legend.txt Legend    Frankfurt / Hahn Flughafen           Precipitation; maximum 2-day total of the month             202008-202105
order_95468_VDFEC_rre002mx_1_data.txt   Data      Féchy                                Precipitation; maximum 2-day total of the month             201212-201512
order_95468_VDFEC_rre002mx_1_legend.txt Legend    Féchy                                Precipitation; maximum 2-day total of the month             201212-201512
order_95468_VDFEC_rre002mx_2_data.txt   Data      Féchy                                Precipitation; maximum 2-day total of the month             201601-202105
order_95468_VDFEC_rre002mx_2_legend.txt Legend    Féchy                                Precipitation; maximum 2-day total of the month             201601-202105
order_95468_DLFUR_rre002mx_1_data.txt   Data      Fürstenzell                          Precipitation; maximum 2-day total of the month             202008-202105
order_95468_DLFUR_rre002mx_1_legend.txt Legend    Fürstenzell                          Precipitation; maximum 2-day total of the month             202008-202105
order_95468_GPN_rre002mx_1_data.txt     Data      Gempenach                            Precipitation; maximum 2-day total of the month             197112-197912
order_95468_GPN_rre002mx_1_legend.txt   Legend    Gempenach                            Precipitation; maximum 2-day total of the month             197112-197912
order_95468_GIH_rre002mx_1_data.txt     Data      Giswil                               Precipitation; maximum 2-day total of the month             197607-202105
order_95468_GIH_rre002mx_1_legend.txt   Legend    Giswil                               Precipitation; maximum 2-day total of the month             197607-202105
order_95468_GLA_rre002mx_1_data.txt     Data      Glarus                               Precipitation; maximum 2-day total of the month             189912-202105
order_95468_GLA_rre002mx_1_legend.txt   Legend    Glarus                               Precipitation; maximum 2-day total of the month             189912-202105
order_95468_GLGLA_rre002mx_1_data.txt   Data      Glarus                               Precipitation; maximum 2-day total of the month             201308-201406
order_95468_GLGLA_rre002mx_1_legend.txt Legend    Glarus                               Precipitation; maximum 2-day total of the month             201308-201406
