Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95479

Filename                                Filetype  Station                              Parameter                                                   Period
order_95479_VDAVS_rre003mx_4_data.txt   Data      Bex / Avançon                        Precipitation; maximum 3-day total of the month             202103-202105
order_95479_VDAVS_rre003mx_4_legend.txt Legend    Bex / Avançon                        Precipitation; maximum 3-day total of the month             202103-202105
order_95479_BEBIL_rre003mx_1_data.txt   Data      Biel / Bözingen                      Precipitation; maximum 3-day total of the month             200207-201303
order_95479_BEBIL_rre003mx_1_legend.txt Legend    Biel / Bözingen                      Precipitation; maximum 3-day total of the month             200207-201303
order_95479_BEBIL_rre003mx_2_data.txt   Data      Biel / Bözingen                      Precipitation; maximum 3-day total of the month             201304-201403
order_95479_BEBIL_rre003mx_2_legend.txt Legend    Biel / Bözingen                      Precipitation; maximum 3-day total of the month             201304-201403
order_95479_ZHBID_rre003mx_1_data.txt   Data      Birmensdorf                          Precipitation; maximum 3-day total of the month             197805-198110
order_95479_ZHBID_rre003mx_1_legend.txt Legend    Birmensdorf                          Precipitation; maximum 3-day total of the month             197805-198110
order_95479_ZHBID_rre003mx_2_data.txt   Data      Birmensdorf                          Precipitation; maximum 3-day total of the month             198112-198203
order_95479_ZHBID_rre003mx_2_legend.txt Legend    Birmensdorf                          Precipitation; maximum 3-day total of the month             198112-198203
order_95479_ZHBID_rre003mx_3_data.txt   Data      Birmensdorf                          Precipitation; maximum 3-day total of the month             198206-202105
order_95479_ZHBID_rre003mx_3_legend.txt Legend    Birmensdorf                          Precipitation; maximum 3-day total of the month             198206-202105
order_95479_DLBUC_rre003mx_1_data.txt   Data      Buchenbach                           Precipitation; maximum 3-day total of the month             201605-202105
order_95479_DLBUC_rre003mx_1_legend.txt Legend    Buchenbach                           Precipitation; maximum 3-day total of the month             201605-202105
order_95479_TICAM_rre003mx_1_data.txt   Data      Camignolo                            Precipitation; maximum 3-day total of the month             200910-201409
order_95479_TICAM_rre003mx_1_legend.txt Legend    Camignolo                            Precipitation; maximum 3-day total of the month             200910-201409
order_95479_TICAM_rre003mx_2_data.txt   Data      Camignolo                            Precipitation; maximum 3-day total of the month             201410-201505
order_95479_TICAM_rre003mx_2_legend.txt Legend    Camignolo                            Precipitation; maximum 3-day total of the month             201410-201505
order_95479_TICAM_rre003mx_3_data.txt   Data      Camignolo                            Precipitation; maximum 3-day total of the month             201506-201507
order_95479_TICAM_rre003mx_3_legend.txt Legend    Camignolo                            Precipitation; maximum 3-day total of the month             201506-201507
order_95479_TICAM_rre003mx_4_data.txt   Data      Camignolo                            Precipitation; maximum 3-day total of the month             201508-201510
order_95479_TICAM_rre003mx_4_legend.txt Legend    Camignolo                            Precipitation; maximum 3-day total of the month             201508-201510
order_95479_TICAM_rre003mx_5_data.txt   Data      Camignolo                            Precipitation; maximum 3-day total of the month             201511-201609
order_95479_TICAM_rre003mx_5_legend.txt Legend    Camignolo                            Precipitation; maximum 3-day total of the month             201511-201609
order_95479_TICAM_rre003mx_6_data.txt   Data      Camignolo                            Precipitation; maximum 3-day total of the month             201610-201611
order_95479_TICAM_rre003mx_6_legend.txt Legend    Camignolo                            Precipitation; maximum 3-day total of the month             201610-201611
order_95479_TICAM_rre003mx_7_data.txt   Data      Camignolo                            Precipitation; maximum 3-day total of the month             201701-201704
order_95479_TICAM_rre003mx_7_legend.txt Legend    Camignolo                            Precipitation; maximum 3-day total of the month             201701-201704
order_95479_TICAM_rre003mx_8_data.txt   Data      Camignolo                            Precipitation; maximum 3-day total of the month             201705-201709
order_95479_TICAM_rre003mx_8_legend.txt Legend    Camignolo                            Precipitation; maximum 3-day total of the month             201705-201709
order_95479_TICAM_rre003mx_9_data.txt   Data      Camignolo                            Precipitation; maximum 3-day total of the month             201711-201805
order_95479_TICAM_rre003mx_9_legend.txt Legend    Camignolo                            Precipitation; maximum 3-day total of the month             201711-201805
order_95479_TICAM_rre003mx_10_data.txt  Data      Camignolo                            Precipitation; maximum 3-day total of the month             201806-201808
order_95479_TICAM_rre003mx_10_legend.txt Legend    Camignolo                            Precipitation; maximum 3-day total of the month             201806-201808
order_95479_TICAM_rre003mx_11_data.txt  Data      Camignolo                            Precipitation; maximum 3-day total of the month             201809-201810
order_95479_TICAM_rre003mx_11_legend.txt Legend    Camignolo                            Precipitation; maximum 3-day total of the month             201809-201810
order_95479_TICAM_rre003mx_12_data.txt  Data      Camignolo                            Precipitation; maximum 3-day total of the month             201812-201901
order_95479_TICAM_rre003mx_12_legend.txt Legend    Camignolo                            Precipitation; maximum 3-day total of the month             201812-201901
order_95479_TICAM_rre003mx_13_data.txt  Data      Camignolo                            Precipitation; maximum 3-day total of the month             201903-201905
order_95479_TICAM_rre003mx_13_legend.txt Legend    Camignolo                            Precipitation; maximum 3-day total of the month             201903-201905
order_95479_TICAM_rre003mx_14_data.txt  Data      Camignolo                            Precipitation; maximum 3-day total of the month             201906-202105
order_95479_TICAM_rre003mx_14_legend.txt Legend    Camignolo                            Precipitation; maximum 3-day total of the month             201906-202105
order_95479_TIBIG_rre003mx_1_data.txt   Data      Cavergno Bignasco                    Precipitation; maximum 3-day total of the month             200402-202105
order_95479_TIBIG_rre003mx_1_legend.txt Legend    Cavergno Bignasco                    Precipitation; maximum 3-day total of the month             200402-202105
order_95479_CHZ_rre003mx_1_data.txt     Data      Cham                                 Precipitation; maximum 3-day total of the month             199306-199308
order_95479_CHZ_rre003mx_1_legend.txt   Legend    Cham                                 Precipitation; maximum 3-day total of the month             199306-199308
order_95479_CHZ_rre003mx_2_data.txt     Data      Cham                                 Precipitation; maximum 3-day total of the month             199310-199604
order_95479_CHZ_rre003mx_2_legend.txt   Legend    Cham                                 Precipitation; maximum 3-day total of the month             199310-199604
order_95479_CHZ_rre003mx_3_data.txt     Data      Cham                                 Precipitation; maximum 3-day total of the month             199606-201402
order_95479_CHZ_rre003mx_3_legend.txt   Legend    Cham                                 Precipitation; maximum 3-day total of the month             199606-201402
order_95479_CHZ_rre003mx_4_data.txt     Data      Cham                                 Precipitation; maximum 3-day total of the month             201406-201904
order_95479_CHZ_rre003mx_4_legend.txt   Legend    Cham                                 Precipitation; maximum 3-day total of the month             201406-201904
order_95479_CHZ_rre003mx_5_data.txt     Data      Cham                                 Precipitation; maximum 3-day total of the month             201905-202105
order_95479_CHZ_rre003mx_5_legend.txt   Legend    Cham                                 Precipitation; maximum 3-day total of the month             201905-202105
order_95479_CHY_rre003mx_1_data.txt     Data      Chavornay                            Precipitation; maximum 3-day total of the month             197312-202105
order_95479_CHY_rre003mx_1_legend.txt   Legend    Chavornay                            Precipitation; maximum 3-day total of the month             197312-202105
order_95479_TICOM_rre003mx_1_data.txt   Data      Comano                               Precipitation; maximum 3-day total of the month             200910-201409
order_95479_TICOM_rre003mx_1_legend.txt Legend    Comano                               Precipitation; maximum 3-day total of the month             200910-201409
order_95479_TICOM_rre003mx_2_data.txt   Data      Comano                               Precipitation; maximum 3-day total of the month             201410-201505
order_95479_TICOM_rre003mx_2_legend.txt Legend    Comano                               Precipitation; maximum 3-day total of the month             201410-201505
order_95479_TICOM_rre003mx_3_data.txt   Data      Comano                               Precipitation; maximum 3-day total of the month             201506-201507
order_95479_TICOM_rre003mx_3_legend.txt Legend    Comano                               Precipitation; maximum 3-day total of the month             201506-201507
order_95479_TICOM_rre003mx_4_data.txt   Data      Comano                               Precipitation; maximum 3-day total of the month             201508-201510
order_95479_TICOM_rre003mx_4_legend.txt Legend    Comano                               Precipitation; maximum 3-day total of the month             201508-201510
order_95479_TICOM_rre003mx_5_data.txt   Data      Comano                               Precipitation; maximum 3-day total of the month             201602-201606
order_95479_TICOM_rre003mx_5_legend.txt Legend    Comano                               Precipitation; maximum 3-day total of the month             201602-201606
order_95479_DEM_rre003mx_1_data.txt     Data      Delémont                             Precipitation; maximum 3-day total of the month             189207-201104
order_95479_DEM_rre003mx_1_legend.txt   Legend    Delémont                             Precipitation; maximum 3-day total of the month             189207-201104
order_95479_DEM_rre003mx_2_data.txt     Data      Delémont                             Precipitation; maximum 3-day total of the month             201105-202105
order_95479_DEM_rre003mx_2_legend.txt   Legend    Delémont                             Precipitation; maximum 3-day total of the month             201105-202105
order_95479_DUB_rre003mx_1_data.txt     Data      Dübendorf                            Precipitation; maximum 3-day total of the month             190012-191912
order_95479_DUB_rre003mx_1_legend.txt   Legend    Dübendorf                            Precipitation; maximum 3-day total of the month             190012-191912
order_95479_DUB_rre003mx_2_data.txt     Data      Dübendorf                            Precipitation; maximum 3-day total of the month             194112-194812
order_95479_DUB_rre003mx_2_legend.txt   Legend    Dübendorf                            Precipitation; maximum 3-day total of the month             194112-194812
order_95479_DLELZ_rre003mx_1_data.txt   Data      Elzach / Fisnacht                    Precipitation; maximum 3-day total of the month             200403-200407
order_95479_DLELZ_rre003mx_1_legend.txt Legend    Elzach / Fisnacht                    Precipitation; maximum 3-day total of the month             200403-200407
order_95479_DLELZ_rre003mx_2_data.txt   Data      Elzach / Fisnacht                    Precipitation; maximum 3-day total of the month             201605-202105
order_95479_DLELZ_rre003mx_2_legend.txt Legend    Elzach / Fisnacht                    Precipitation; maximum 3-day total of the month             201605-202105
order_95479_DLFRH_rre003mx_1_data.txt   Data      Friedrichshafen / Unterraderach      Precipitation; maximum 3-day total of the month             201605-202105
order_95479_DLFRH_rre003mx_1_legend.txt Legend    Friedrichshafen / Unterraderach      Precipitation; maximum 3-day total of the month             201605-202105
order_95479_FRA_rre003mx_1_data.txt     Data      Fräschels                            Precipitation; maximum 3-day total of the month             200007-201905
order_95479_FRA_rre003mx_1_legend.txt   Legend    Fräschels                            Precipitation; maximum 3-day total of the month             200007-201905
order_95479_FRA_rre003mx_2_data.txt     Data      Fräschels                            Precipitation; maximum 3-day total of the month             201906-202105
order_95479_FRA_rre003mx_2_legend.txt   Legend    Fräschels                            Precipitation; maximum 3-day total of the month             201906-202105
order_95479_VDFEC_rre003mx_1_data.txt   Data      Féchy                                Precipitation; maximum 3-day total of the month             201212-202105
order_95479_VDFEC_rre003mx_1_legend.txt Legend    Féchy                                Precipitation; maximum 3-day total of the month             201212-202105
order_95479_GER_rre003mx_1_data.txt     Data      Gerlafingen                          Precipitation; maximum 3-day total of the month             193912-197812
order_95479_GER_rre003mx_1_legend.txt   Legend    Gerlafingen                          Precipitation; maximum 3-day total of the month             193912-197812
order_95479_SOGER_rre003mx_1_data.txt   Data      Gerlafingen                          Precipitation; maximum 3-day total of the month             200301-201403
order_95479_SOGER_rre003mx_1_legend.txt Legend    Gerlafingen                          Precipitation; maximum 3-day total of the month             200301-201403
order_95479_SOGER_rre003mx_2_data.txt   Data      Gerlafingen                          Precipitation; maximum 3-day total of the month             201404-201410
order_95479_SOGER_rre003mx_2_legend.txt Legend    Gerlafingen                          Precipitation; maximum 3-day total of the month             201404-201410
order_95479_SOGER_rre003mx_3_data.txt   Data      Gerlafingen                          Precipitation; maximum 3-day total of the month             201502-201503
order_95479_SOGER_rre003mx_3_legend.txt Legend    Gerlafingen                          Precipitation; maximum 3-day total of the month             201502-201503
order_95479_SOGER_rre003mx_4_data.txt   Data      Gerlafingen                          Precipitation; maximum 3-day total of the month             201505-201508
order_95479_SOGER_rre003mx_4_legend.txt Legend    Gerlafingen                          Precipitation; maximum 3-day total of the month             201505-201508
order_95479_DLGTT_rre003mx_1_data.txt   Data      Gottmadingen                         Precipitation; maximum 3-day total of the month             202102-202105
order_95479_DLGTT_rre003mx_1_legend.txt Legend    Gottmadingen                         Precipitation; maximum 3-day total of the month             202102-202105
order_95479_GUT_rre003mx_1_data.txt     Data      Güttingen                            Precipitation; maximum 3-day total of the month             197605-202105
order_95479_GUT_rre003mx_1_legend.txt   Legend    Güttingen                            Precipitation; maximum 3-day total of the month             197605-202105
order_95479_DLHEM_rre003mx_1_data.txt   Data      Hermaringen                          Precipitation; maximum 3-day total of the month             201605-202105
order_95479_DLHEM_rre003mx_1_legend.txt Legend    Hermaringen                          Precipitation; maximum 3-day total of the month             201605-202105
order_95479_HOB_rre003mx_1_data.txt     Data      Hof Oberkirch                        Precipitation; maximum 3-day total of the month             196012-197112
order_95479_HOB_rre003mx_1_legend.txt   Legend    Hof Oberkirch                        Precipitation; maximum 3-day total of the month             196012-197112
order_95479_HOG_rre003mx_1_data.txt     Data      Horgen                               Precipitation; maximum 3-day total of the month             196012-198612
order_95479_HOG_rre003mx_1_legend.txt   Legend    Horgen                               Precipitation; maximum 3-day total of the month             196012-198612
order_95479_IMS_rre003mx_1_data.txt     Data      Immensee                             Precipitation; maximum 3-day total of the month             196812-198005
order_95479_IMS_rre003mx_1_legend.txt   Legend    Immensee                             Precipitation; maximum 3-day total of the month             196812-198005
order_95479_BEINS_rre003mx_1_data.txt   Data      Ins                                  Precipitation; maximum 3-day total of the month             199908-201303
order_95479_BEINS_rre003mx_1_legend.txt Legend    Ins                                  Precipitation; maximum 3-day total of the month             199908-201303
order_95479_BEINS_rre003mx_2_data.txt   Data      Ins                                  Precipitation; maximum 3-day total of the month             201304-201403
order_95479_BEINS_rre003mx_2_legend.txt Legend    Ins                                  Precipitation; maximum 3-day total of the month             201304-201403
order_95479_BEINS_rre003mx_3_data.txt   Data      Ins                                  Precipitation; maximum 3-day total of the month             201409-202105
