Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95667

Filename                                Filetype  Station                              Parameter                                                   Period
order_95667_BEP_rhh150mx_1_data.txt     Data      Belp                                 Precipitation; maximum total per hour of the month          202103-202105
order_95667_BEP_rhh150mx_1_legend.txt   Legend    Belp                                 Precipitation; maximum total per hour of the month          202103-202105
order_95667_DOB_rhh150mx_1_data.txt     Data      Benken / Doggen                      Precipitation; maximum total per hour of the month          202103-202105
order_95667_DOB_rhh150mx_1_legend.txt   Legend    Benken / Doggen                      Precipitation; maximum total per hour of the month          202103-202105
order_95667_VDBER_rhh150mx_1_data.txt   Data      Bercher                              Precipitation; maximum total per hour of the month          202103-202105
order_95667_VDBER_rhh150mx_1_legend.txt Legend    Bercher                              Precipitation; maximum total per hour of the month          202103-202105
order_95667_BER_rhh150mx_1_data.txt     Data      Bern / Zollikofen                    Precipitation; maximum total per hour of the month          202103-202105
order_95667_BER_rhh150mx_1_legend.txt   Legend    Bern / Zollikofen                    Precipitation; maximum total per hour of the month          202103-202105
order_95667_NABBER_rhh150mx_1_data.txt  Data      Bern-Bollwerk                        Precipitation; maximum total per hour of the month          202103-202105
order_95667_NABBER_rhh150mx_1_legend.txt Legend    Bern-Bollwerk                        Precipitation; maximum total per hour of the month          202103-202105
order_95667_BEX_rhh150mx_1_data.txt     Data      Bex                                  Precipitation; maximum total per hour of the month          202103-202105
order_95667_BEX_rhh150mx_1_legend.txt   Legend    Bex                                  Precipitation; maximum total per hour of the month          202103-202105
order_95667_VDAVS_rhh150mx_1_data.txt   Data      Bex / Avançon                        Precipitation; maximum total per hour of the month          202103-202105
order_95667_VDAVS_rhh150mx_1_legend.txt Legend    Bex / Avançon                        Precipitation; maximum total per hour of the month          202103-202105
order_95667_BEZ_rhh150mx_1_data.txt     Data      Beznau                               Precipitation; maximum total per hour of the month          202103-202105
order_95667_BEZ_rhh150mx_1_legend.txt   Legend    Beznau                               Precipitation; maximum total per hour of the month          202103-202105
order_95667_BIA_rhh150mx_1_data.txt     Data      Biasca                               Precipitation; maximum total per hour of the month          202103-202105
order_95667_BIA_rhh150mx_1_legend.txt   Legend    Biasca                               Precipitation; maximum total per hour of the month          202103-202105
order_95667_GLBIL_rhh150mx_1_data.txt   Data      Bilten                               Precipitation; maximum total per hour of the month          202103-202105
order_95667_GLBIL_rhh150mx_1_legend.txt Legend    Bilten                               Precipitation; maximum total per hour of the month          202103-202105
order_95667_TIBIO_rhh150mx_1_data.txt   Data      Bioggio                              Precipitation; maximum total per hour of the month          202103-202105
order_95667_TIBIO_rhh150mx_1_legend.txt Legend    Bioggio                              Precipitation; maximum total per hour of the month          202103-202105
order_95667_ZHBID_rhh150mx_1_data.txt   Data      Birmensdorf                          Precipitation; maximum total per hour of the month          202103-202105
order_95667_ZHBID_rhh150mx_1_legend.txt Legend    Birmensdorf                          Precipitation; maximum total per hour of the month          202103-202105
order_95667_AGBRW_rhh150mx_1_data.txt   Data      Birrwil                              Precipitation; maximum total per hour of the month          202103-202105
order_95667_AGBRW_rhh150mx_1_legend.txt Legend    Birrwil                              Precipitation; maximum total per hour of the month          202103-202105
order_95667_BIZ_rhh150mx_1_data.txt     Data      Bischofszell                         Precipitation; maximum total per hour of the month          202103-202105
order_95667_BIZ_rhh150mx_1_legend.txt   Legend    Bischofszell                         Precipitation; maximum total per hour of the month          202103-202105
order_95667_BIE_rhh150mx_1_data.txt     Data      Bière                                Precipitation; maximum total per hour of the month          202103-202105
order_95667_BIE_rhh150mx_1_legend.txt   Legend    Bière                                Precipitation; maximum total per hour of the month          202103-202105
order_95667_MMBOY_rhh150mx_1_data.txt   Data      Boudry                               Precipitation; maximum total per hour of the month          202103-202105
order_95667_MMBOY_rhh150mx_1_legend.txt Legend    Boudry                               Precipitation; maximum total per hour of the month          202103-202105
order_95667_IYBOZ_rhh150mx_1_data.txt   Data      Bozen                                Precipitation; maximum total per hour of the month          202104-202105
order_95667_IYBOZ_rhh150mx_1_legend.txt Legend    Bozen                                Precipitation; maximum total per hour of the month          202104-202105
order_95667_IYBRZ_rhh150mx_1_data.txt   Data      Branzoll                             Precipitation; maximum total per hour of the month          202104-202105
order_95667_IYBRZ_rhh150mx_1_legend.txt Legend    Branzoll                             Precipitation; maximum total per hour of the month          202104-202105
order_95667_TGBOH_rhh150mx_1_data.txt   Data      Braunau / Oberhof                    Precipitation; maximum total per hour of the month          202103-202105
order_95667_TGBOH_rhh150mx_1_legend.txt Legend    Braunau / Oberhof                    Precipitation; maximum total per hour of the month          202103-202105
order_95667_BRZ_rhh150mx_1_data.txt     Data      Brienz                               Precipitation; maximum total per hour of the month          202103-202105
order_95667_BRZ_rhh150mx_1_legend.txt   Legend    Brienz                               Precipitation; maximum total per hour of the month          202103-202105
order_95667_BRI_rhh150mx_1_data.txt     Data      Brig                                 Precipitation; maximum total per hour of the month          202103-202105
order_95667_BRI_rhh150mx_1_legend.txt   Legend    Brig                                 Precipitation; maximum total per hour of the month          202103-202105
order_95667_IYBRI_rhh150mx_1_data.txt   Data      Brixen / Vahrn                       Precipitation; maximum total per hour of the month          202104-202105
order_95667_IYBRI_rhh150mx_1_legend.txt Legend    Brixen / Vahrn                       Precipitation; maximum total per hour of the month          202104-202105
order_95667_DLBUC_rhh150mx_1_data.txt   Data      Buchenbach                           Precipitation; maximum total per hour of the month          202103-202105
order_95667_DLBUC_rhh150mx_1_legend.txt Legend    Buchenbach                           Precipitation; maximum total per hour of the month          202103-202105
order_95667_BUS_rhh150mx_1_data.txt     Data      Buchs / Aarau                        Precipitation; maximum total per hour of the month          202103-202105
order_95667_BUS_rhh150mx_1_legend.txt   Legend    Buchs / Aarau                        Precipitation; maximum total per hour of the month          202103-202105
order_95667_BEBUE_rhh150mx_1_data.txt   Data      Burgdorf / Einschlag                 Precipitation; maximum total per hour of the month          202104-202105
order_95667_BEBUE_rhh150mx_1_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; maximum total per hour of the month          202104-202105
