Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95471

Filename                                Filetype  Station                              Parameter                                                   Period
order_95471_EBK_rre002mx_1_legend.txt   Legend    Ebnat-Kappel                         Precipitation; maximum 2-day total of the month             187907-201306
order_95471_EBK_rre002mx_2_data.txt     Data      Ebnat-Kappel                         Precipitation; maximum 2-day total of the month             201307-202105
order_95471_EBK_rre002mx_2_legend.txt   Legend    Ebnat-Kappel                         Precipitation; maximum 2-day total of the month             201307-202105
order_95471_FAR_rre002mx_1_data.txt     Data      Farvagny-le-Grand                    Precipitation; maximum 2-day total of the month             196912-198312
order_95471_FAR_rre002mx_1_legend.txt   Legend    Farvagny-le-Grand                    Precipitation; maximum 2-day total of the month             196912-198312
order_95471_GLFIL_rre002mx_1_data.txt   Data      Filzbach                             Precipitation; maximum 2-day total of the month             201308-201404
order_95471_GLFIL_rre002mx_1_legend.txt Legend    Filzbach                             Precipitation; maximum 2-day total of the month             201308-201404
order_95471_GLFIL_rre002mx_2_data.txt   Data      Filzbach                             Precipitation; maximum 2-day total of the month             201405-201406
order_95471_GLFIL_rre002mx_2_legend.txt Legend    Filzbach                             Precipitation; maximum 2-day total of the month             201405-201406
order_95471_GLFIL_rre002mx_3_data.txt   Data      Filzbach                             Precipitation; maximum 2-day total of the month             201407-202006
order_95471_GLFIL_rre002mx_3_legend.txt Legend    Filzbach                             Precipitation; maximum 2-day total of the month             201407-202006
order_95471_GLFIL_rre002mx_4_data.txt   Data      Filzbach                             Precipitation; maximum 2-day total of the month             202007-202105
order_95471_GLFIL_rre002mx_4_legend.txt Legend    Filzbach                             Precipitation; maximum 2-day total of the month             202007-202105
order_95471_VDFOL_rre002mx_1_data.txt   Data      Forel                                Precipitation; maximum 2-day total of the month             201212-202105
order_95471_VDFOL_rre002mx_1_legend.txt Legend    Forel                                Precipitation; maximum 2-day total of the month             201212-202105
order_95471_GRA_rre002mx_1_data.txt     Data      Fribourg / Grangeneuve               Precipitation; maximum 2-day total of the month             190001-190004
order_95471_GRA_rre002mx_1_legend.txt   Legend    Fribourg / Grangeneuve               Precipitation; maximum 2-day total of the month             190001-190004
order_95471_GRA_rre002mx_2_data.txt     Data      Fribourg / Grangeneuve               Precipitation; maximum 2-day total of the month             190005-200509
order_95471_GRA_rre002mx_2_legend.txt   Legend    Fribourg / Grangeneuve               Precipitation; maximum 2-day total of the month             190005-200509
order_95471_GRA_rre002mx_3_data.txt     Data      Fribourg / Grangeneuve               Precipitation; maximum 2-day total of the month             200607-202105
order_95471_GRA_rre002mx_3_legend.txt   Legend    Fribourg / Grangeneuve               Precipitation; maximum 2-day total of the month             200607-202105
order_95471_DLGAR_rre002mx_1_data.txt   Data      Garmisch-Partenkirchen               Precipitation; maximum 2-day total of the month             201605-202105
order_95471_DLGAR_rre002mx_1_legend.txt Legend    Garmisch-Partenkirchen               Precipitation; maximum 2-day total of the month             201605-202105
order_95471_DLGEI_rre002mx_1_data.txt   Data      Geisingen                            Precipitation; maximum 2-day total of the month             197012-199707
order_95471_DLGEI_rre002mx_1_legend.txt Legend    Geisingen                            Precipitation; maximum 2-day total of the month             197012-199707
order_95471_DLGEI_rre002mx_2_data.txt   Data      Geisingen                            Precipitation; maximum 2-day total of the month             199803-200312
order_95471_DLGEI_rre002mx_2_legend.txt Legend    Geisingen                            Precipitation; maximum 2-day total of the month             199803-200312
order_95471_DLGEI_rre002mx_3_data.txt   Data      Geisingen                            Precipitation; maximum 2-day total of the month             201605-202105
order_95471_DLGEI_rre002mx_3_legend.txt Legend    Geisingen                            Precipitation; maximum 2-day total of the month             201605-202105
order_95471_GOL_rre002mx_1_data.txt     Data      Goldingen                            Precipitation; maximum 2-day total of the month             196912-197712
order_95471_GOL_rre002mx_1_legend.txt   Legend    Goldingen                            Precipitation; maximum 2-day total of the month             196912-197712
order_95471_STF_rre002mx_1_data.txt     Data      Grossdietwil / Stampfi               Precipitation; maximum 2-day total of the month             200106-201010
order_95471_STF_rre002mx_1_legend.txt   Legend    Grossdietwil / Stampfi               Precipitation; maximum 2-day total of the month             200106-201010
order_95471_STF_rre002mx_2_data.txt     Data      Grossdietwil / Stampfi               Precipitation; maximum 2-day total of the month             201012-202105
order_95471_STF_rre002mx_2_legend.txt   Legend    Grossdietwil / Stampfi               Precipitation; maximum 2-day total of the month             201012-202105
order_95471_HES_rre002mx_1_data.txt     Data      Herisau                              Precipitation; maximum 2-day total of the month             190012-202105
order_95471_HES_rre002mx_1_legend.txt   Legend    Herisau                              Precipitation; maximum 2-day total of the month             190012-202105
order_95471_SOHIM_rre002mx_1_data.txt   Data      Himmelried                           Precipitation; maximum 2-day total of the month             199912-201208
order_95471_SOHIM_rre002mx_1_legend.txt Legend    Himmelried                           Precipitation; maximum 2-day total of the month             199912-201208
order_95471_SOHIM_rre002mx_2_data.txt   Data      Himmelried                           Precipitation; maximum 2-day total of the month             201209-201210
order_95471_SOHIM_rre002mx_2_legend.txt Legend    Himmelried                           Precipitation; maximum 2-day total of the month             201209-201210
order_95471_SOHIM_rre002mx_3_data.txt   Data      Himmelried                           Precipitation; maximum 2-day total of the month             201212-201301
order_95471_SOHIM_rre002mx_3_legend.txt Legend    Himmelried                           Precipitation; maximum 2-day total of the month             201212-201301
order_95471_SOHIM_rre002mx_4_data.txt   Data      Himmelried                           Precipitation; maximum 2-day total of the month             201307-201308
order_95471_SOHIM_rre002mx_4_legend.txt Legend    Himmelried                           Precipitation; maximum 2-day total of the month             201307-201308
order_95471_SOHIM_rre002mx_5_data.txt   Data      Himmelried                           Precipitation; maximum 2-day total of the month             201310-202103
order_95471_SOHIM_rre002mx_5_legend.txt Legend    Himmelried                           Precipitation; maximum 2-day total of the month             201310-202103
order_95471_SOHIM_rre002mx_6_data.txt   Data      Himmelried                           Precipitation; maximum 2-day total of the month             202104-202105
order_95471_SOHIM_rre002mx_6_legend.txt Legend    Himmelried                           Precipitation; maximum 2-day total of the month             202104-202105
order_95471_DLHOL_rre002mx_1_data.txt   Data      Holzkirchen                          Precipitation; maximum 2-day total of the month             201605-202105
order_95471_DLHOL_rre002mx_1_legend.txt Legend    Holzkirchen                          Precipitation; maximum 2-day total of the month             201605-202105
order_95471_HOS_rre002mx_1_data.txt     Data      Hosenruck                            Precipitation; maximum 2-day total of the month             196012-198612
order_95471_HOS_rre002mx_1_legend.txt   Legend    Hosenruck                            Precipitation; maximum 2-day total of the month             196012-198612
order_95471_HUT_rre002mx_1_data.txt     Data      Huttwil                              Precipitation; maximum 2-day total of the month             197104-202105
order_95471_HUT_rre002mx_1_legend.txt   Legend    Huttwil                              Precipitation; maximum 2-day total of the month             197104-202105
order_95471_ILZ_rre002mx_1_data.txt     Data      Ilanz                                Precipitation; maximum 2-day total of the month             189112-202105
order_95471_ILZ_rre002mx_1_legend.txt   Legend    Ilanz                                Precipitation; maximum 2-day total of the month             189112-202105
order_95471_DLKEM_rre002mx_1_data.txt   Data      Kempten                              Precipitation; maximum 2-day total of the month             189504-195112
order_95471_DLKEM_rre002mx_1_legend.txt Legend    Kempten                              Precipitation; maximum 2-day total of the month             189504-195112
order_95471_DLKEM_rre002mx_2_data.txt   Data      Kempten                              Precipitation; maximum 2-day total of the month             201605-202105
order_95471_DLKEM_rre002mx_2_legend.txt Legend    Kempten                              Precipitation; maximum 2-day total of the month             201605-202105
order_95471_DLKIE_rre002mx_1_data.txt   Data      Kisslegg                             Precipitation; maximum 2-day total of the month             202104-202105
order_95471_DLKIE_rre002mx_1_legend.txt Legend    Kisslegg                             Precipitation; maximum 2-day total of the month             202104-202105
order_95471_DLKRO_rre002mx_1_data.txt   Data      Kronburg                             Precipitation; maximum 2-day total of the month             202104-202105
order_95471_DLKRO_rre002mx_1_legend.txt Legend    Kronburg                             Precipitation; maximum 2-day total of the month             202104-202105
order_95471_ABG_rre002mx_1_data.txt     Data      L'Abergement                         Precipitation; maximum 2-day total of the month             193012-193312
order_95471_ABG_rre002mx_1_legend.txt   Legend    L'Abergement                         Precipitation; maximum 2-day total of the month             193012-193312
order_95471_ABG_rre002mx_2_data.txt     Data      L'Abergement                         Precipitation; maximum 2-day total of the month             196012-201005
order_95471_ABG_rre002mx_2_legend.txt   Legend    L'Abergement                         Precipitation; maximum 2-day total of the month             196012-201005
order_95471_ABG_rre002mx_3_data.txt     Data      L'Abergement                         Precipitation; maximum 2-day total of the month             201006-202105
order_95471_ABG_rre002mx_3_legend.txt   Legend    L'Abergement                         Precipitation; maximum 2-day total of the month             201006-202105
order_95471_TILAV_rre002mx_1_data.txt   Data      Lavertezzo                           Precipitation; maximum 2-day total of the month             201812-202104
order_95471_TILAV_rre002mx_1_legend.txt Legend    Lavertezzo                           Precipitation; maximum 2-day total of the month             201812-202104
order_95471_GECOI_rre002mx_1_data.txt   Data      Le Coin, France                      Precipitation; maximum 2-day total of the month             201212-201512
order_95471_GECOI_rre002mx_1_legend.txt Legend    Le Coin, France                      Precipitation; maximum 2-day total of the month             201212-201512
order_95471_GECOI_rre002mx_2_data.txt   Data      Le Coin, France                      Precipitation; maximum 2-day total of the month             201601-201803
order_95471_GECOI_rre002mx_2_legend.txt Legend    Le Coin, France                      Precipitation; maximum 2-day total of the month             201601-201803
order_95471_DLLEU_rre002mx_1_data.txt   Data      Leutkirch                            Precipitation; maximum 2-day total of the month             201605-201709
order_95471_DLLEU_rre002mx_1_legend.txt Legend    Leutkirch                            Precipitation; maximum 2-day total of the month             201605-201709
order_95471_DLLEU_rre002mx_2_data.txt   Data      Leutkirch                            Precipitation; maximum 2-day total of the month             201710-202105
order_95471_DLLEU_rre002mx_2_legend.txt Legend    Leutkirch                            Precipitation; maximum 2-day total of the month             201710-202105
order_95471_GLLIN_rre002mx_1_data.txt   Data      Linthal                              Precipitation; maximum 2-day total of the month             201308-201406
order_95471_GLLIN_rre002mx_1_legend.txt Legend    Linthal                              Precipitation; maximum 2-day total of the month             201308-201406
order_95471_GLLIN_rre002mx_2_data.txt   Data      Linthal                              Precipitation; maximum 2-day total of the month             201407-201806
order_95471_GLLIN_rre002mx_2_legend.txt Legend    Linthal                              Precipitation; maximum 2-day total of the month             201407-201806
order_95471_GLLIN_rre002mx_3_data.txt   Data      Linthal                              Precipitation; maximum 2-day total of the month             201809-201905
order_95471_GLLIN_rre002mx_3_legend.txt Legend    Linthal                              Precipitation; maximum 2-day total of the month             201809-201905
order_95471_GLLIN_rre002mx_4_data.txt   Data      Linthal                              Precipitation; maximum 2-day total of the month             201909-202004
order_95471_GLLIN_rre002mx_4_legend.txt Legend    Linthal                              Precipitation; maximum 2-day total of the month             201909-202004
order_95471_GLLIN_rre002mx_5_data.txt   Data      Linthal                              Precipitation; maximum 2-day total of the month             202005-202006
order_95471_GLLIN_rre002mx_5_legend.txt Legend    Linthal                              Precipitation; maximum 2-day total of the month             202005-202006
order_95471_GLLIN_rre002mx_6_data.txt   Data      Linthal                              Precipitation; maximum 2-day total of the month             202007-202009
order_95471_GLLIN_rre002mx_6_legend.txt Legend    Linthal                              Precipitation; maximum 2-day total of the month             202007-202009
order_95471_GLLIN_rre002mx_7_data.txt   Data      Linthal                              Precipitation; maximum 2-day total of the month             202011-202101
order_95471_GLLIN_rre002mx_7_legend.txt Legend    Linthal                              Precipitation; maximum 2-day total of the month             202011-202101
order_95471_MMLIN_rre002mx_1_data.txt   Data      Linthal                              Precipitation; maximum 2-day total of the month             201608-201808
order_95471_MMLIN_rre002mx_1_legend.txt Legend    Linthal                              Precipitation; maximum 2-day total of the month             201608-201808
order_95471_MMLIN_rre002mx_2_data.txt   Data      Linthal                              Precipitation; maximum 2-day total of the month             201809-201908
order_95471_MMLIN_rre002mx_2_legend.txt Legend    Linthal                              Precipitation; maximum 2-day total of the month             201809-201908
order_95471_MMLIN_rre002mx_3_data.txt   Data      Linthal                              Precipitation; maximum 2-day total of the month             201909-202006
order_95471_MMLIN_rre002mx_3_legend.txt Legend    Linthal                              Precipitation; maximum 2-day total of the month             201909-202006
order_95471_MMLIN_rre002mx_4_data.txt   Data      Linthal                              Precipitation; maximum 2-day total of the month             202007-202011
order_95471_MMLIN_rre002mx_4_legend.txt Legend    Linthal                              Precipitation; maximum 2-day total of the month             202007-202011
order_95471_MMLIN_rre002mx_5_data.txt   Data      Linthal                              Precipitation; maximum 2-day total of the month             202012-202105
order_95471_MMLIN_rre002mx_5_legend.txt Legend    Linthal                              Precipitation; maximum 2-day total of the month             202012-202105
order_95471_MMLOP_rre002mx_1_data.txt   Data      Lopagno                              Precipitation; maximum 2-day total of the month             201211-201312
order_95471_MMLOP_rre002mx_1_legend.txt Legend    Lopagno                              Precipitation; maximum 2-day total of the month             201211-201312
order_95471_MMLOP_rre002mx_2_data.txt   Data      Lopagno                              Precipitation; maximum 2-day total of the month             201401-201404
order_95471_MMLOP_rre002mx_2_legend.txt Legend    Lopagno                              Precipitation; maximum 2-day total of the month             201401-201404
order_95471_MMLOP_rre002mx_3_data.txt   Data      Lopagno                              Precipitation; maximum 2-day total of the month             201405-201409
order_95471_MMLOP_rre002mx_3_legend.txt Legend    Lopagno                              Precipitation; maximum 2-day total of the month             201405-201409
order_95471_MMLOP_rre002mx_4_data.txt   Data      Lopagno                              Precipitation; maximum 2-day total of the month             201410-201511
order_95471_MMLOP_rre002mx_4_legend.txt Legend    Lopagno                              Precipitation; maximum 2-day total of the month             201410-201511
order_95471_MMLOP_rre002mx_5_data.txt   Data      Lopagno                              Precipitation; maximum 2-day total of the month             201602-201612
order_95471_MMLOP_rre002mx_5_legend.txt Legend    Lopagno                              Precipitation; maximum 2-day total of the month             201602-201612
order_95471_MMLOP_rre002mx_6_data.txt   Data      Lopagno                              Precipitation; maximum 2-day total of the month             201701-202105
order_95471_MMLOP_rre002mx_6_legend.txt Legend    Lopagno                              Precipitation; maximum 2-day total of the month             201701-202105
order_95471_NABLAE_rre002mx_1_data.txt  Data      Lägeren / Zindelen                   Precipitation; maximum 2-day total of the month             199102-199105
order_95471_NABLAE_rre002mx_1_legend.txt Legend    Lägeren / Zindelen                   Precipitation; maximum 2-day total of the month             199102-199105
order_95471_NABLAE_rre002mx_2_data.txt  Data      Lägeren / Zindelen                   Precipitation; maximum 2-day total of the month             199108-199109
order_95471_NABLAE_rre002mx_2_legend.txt Legend    Lägeren / Zindelen                   Precipitation; maximum 2-day total of the month             199108-199109
order_95471_NABLAE_rre002mx_3_data.txt  Data      Lägeren / Zindelen                   Precipitation; maximum 2-day total of the month             199301-199304
order_95471_NABLAE_rre002mx_3_legend.txt Legend    Lägeren / Zindelen                   Precipitation; maximum 2-day total of the month             199301-199304
order_95471_NABLAE_rre002mx_4_data.txt  Data      Lägeren / Zindelen                   Precipitation; maximum 2-day total of the month             199307-199411
order_95471_NABLAE_rre002mx_4_legend.txt Legend    Lägeren / Zindelen                   Precipitation; maximum 2-day total of the month             199307-199411
order_95471_NABLAE_rre002mx_5_data.txt  Data      Lägeren / Zindelen                   Precipitation; maximum 2-day total of the month             199412-199604
