Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94067

Filename                                Filetype  Station                              Parameter                                                   Period
order_94067_VSCHY_rzz150mx_5_legend.txt Legend    Champéry                             Precipitation; maximum ten minute total of the month        201706-202006
order_94067_VSCHY_rzz150mx_6_data.txt   Data      Champéry                             Precipitation; maximum ten minute total of the month        202007-202012
order_94067_VSCHY_rzz150mx_6_legend.txt Legend    Champéry                             Precipitation; maximum ten minute total of the month        202007-202012
order_94067_VSCHY_rzz150mx_7_data.txt   Data      Champéry                             Precipitation; maximum ten minute total of the month        202101-202103
order_94067_VSCHY_rzz150mx_7_legend.txt Legend    Champéry                             Precipitation; maximum ten minute total of the month        202101-202103
order_94067_MMCPY_rzz150mx_1_data.txt   Data      Champéry                             Precipitation; maximum ten minute total of the month        201608-201610
order_94067_MMCPY_rzz150mx_1_legend.txt Legend    Champéry                             Precipitation; maximum ten minute total of the month        201608-201610
order_94067_MMCPY_rzz150mx_2_data.txt   Data      Champéry                             Precipitation; maximum ten minute total of the month        201611-201612
order_94067_MMCPY_rzz150mx_2_legend.txt Legend    Champéry                             Precipitation; maximum ten minute total of the month        201611-201612
order_94067_MMCPY_rzz150mx_3_data.txt   Data      Champéry                             Precipitation; maximum ten minute total of the month        201701-201802
order_94067_MMCPY_rzz150mx_3_legend.txt Legend    Champéry                             Precipitation; maximum ten minute total of the month        201701-201802
order_94067_MMCPY_rzz150mx_4_data.txt   Data      Champéry                             Precipitation; maximum ten minute total of the month        201804-201808
order_94067_MMCPY_rzz150mx_4_legend.txt Legend    Champéry                             Precipitation; maximum ten minute total of the month        201804-201808
order_94067_MMCPY_rzz150mx_5_data.txt   Data      Champéry                             Precipitation; maximum ten minute total of the month        201809-201811
order_94067_MMCPY_rzz150mx_5_legend.txt Legend    Champéry                             Precipitation; maximum ten minute total of the month        201809-201811
order_94067_MMCPY_rzz150mx_6_data.txt   Data      Champéry                             Precipitation; maximum ten minute total of the month        201812-201906
order_94067_MMCPY_rzz150mx_6_legend.txt Legend    Champéry                             Precipitation; maximum ten minute total of the month        201812-201906
order_94067_MMCPY_rzz150mx_7_data.txt   Data      Champéry                             Precipitation; maximum ten minute total of the month        201907-201908
order_94067_MMCPY_rzz150mx_7_legend.txt Legend    Champéry                             Precipitation; maximum ten minute total of the month        201907-201908
order_94067_MMCPY_rzz150mx_8_data.txt   Data      Champéry                             Precipitation; maximum ten minute total of the month        201909-201912
order_94067_MMCPY_rzz150mx_8_legend.txt Legend    Champéry                             Precipitation; maximum ten minute total of the month        201909-201912
order_94067_MMCPY_rzz150mx_9_data.txt   Data      Champéry                             Precipitation; maximum ten minute total of the month        202001-202103
order_94067_MMCPY_rzz150mx_9_legend.txt Legend    Champéry                             Precipitation; maximum ten minute total of the month        202001-202103
order_94067_CHD_rzz150mx_1_data.txt     Data      Château-d'Oex                        Precipitation; maximum ten minute total of the month        201202-201609
order_94067_CHD_rzz150mx_1_legend.txt   Legend    Château-d'Oex                        Precipitation; maximum ten minute total of the month        201202-201609
order_94067_CHD_rzz150mx_2_data.txt     Data      Château-d'Oex                        Precipitation; maximum ten minute total of the month        201611-201706
order_94067_CHD_rzz150mx_2_legend.txt   Legend    Château-d'Oex                        Precipitation; maximum ten minute total of the month        201611-201706
order_94067_CHD_rzz150mx_3_data.txt     Data      Château-d'Oex                        Precipitation; maximum ten minute total of the month        201707-202103
order_94067_CHD_rzz150mx_3_legend.txt   Legend    Château-d'Oex                        Precipitation; maximum ten minute total of the month        201707-202103
order_94067_DLEIS_rzz150mx_1_data.txt   Data      Eisenbach                            Precipitation; maximum ten minute total of the month        202102-202103
