Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94913

Filename                                Filetype  Station                              Parameter                                                   Period
order_94913_EIT_rti150yx_3_legend.txt   Legend    Eigenthal                            Precipitation; date of the maximum daily total of the year  1930-2020
order_94913_VSERG_rti150yx_1_data.txt   Data      Ergisch                              Precipitation; date of the maximum daily total of the year  2013-2020
order_94913_VSERG_rti150yx_1_legend.txt Legend    Ergisch                              Precipitation; date of the maximum daily total of the year  2013-2020
order_94913_EVL_rti150yx_1_data.txt     Data      Evolène                              Precipitation; date of the maximum daily total of the year  1979-2004
order_94913_EVL_rti150yx_1_legend.txt   Legend    Evolène                              Precipitation; date of the maximum daily total of the year  1979-2004
order_94913_DLFEB_rti150yx_1_data.txt   Data      Feldberg, Schwarzwald                Precipitation; date of the maximum daily total of the year  1940-1944
order_94913_DLFEB_rti150yx_1_legend.txt Legend    Feldberg, Schwarzwald                Precipitation; date of the maximum daily total of the year  1940-1944
order_94913_DLFEB_rti150yx_2_data.txt   Data      Feldberg, Schwarzwald                Precipitation; date of the maximum daily total of the year  1945-2018
order_94913_DLFEB_rti150yx_2_legend.txt Legend    Feldberg, Schwarzwald                Precipitation; date of the maximum daily total of the year  1945-2018
order_94913_DLFEB_rti150yx_3_data.txt   Data      Feldberg, Schwarzwald                Precipitation; date of the maximum daily total of the year  2019-2020
order_94913_DLFEB_rti150yx_3_legend.txt Legend    Feldberg, Schwarzwald                Precipitation; date of the maximum daily total of the year  2019-2020
order_94913_FIE_rti150yx_1_data.txt     Data      Fiesch                               Precipitation; date of the maximum daily total of the year  1900-1990
order_94913_FIE_rti150yx_1_legend.txt   Legend    Fiesch                               Precipitation; date of the maximum daily total of the year  1900-1990
order_94913_FIT_rti150yx_1_data.txt     Data      Fieschertal                          Precipitation; date of the maximum daily total of the year  1999-2020
order_94913_FIT_rti150yx_1_legend.txt   Legend    Fieschertal                          Precipitation; date of the maximum daily total of the year  1999-2020
order_94913_CTA_rti150yx_1_data.txt     Data      Finhaut                              Precipitation; date of the maximum daily total of the year  1968-2012
order_94913_CTA_rti150yx_1_legend.txt   Legend    Finhaut                              Precipitation; date of the maximum daily total of the year  1968-2012
order_94913_CTA_rti150yx_2_data.txt     Data      Finhaut                              Precipitation; date of the maximum daily total of the year  2013-2020
order_94913_CTA_rti150yx_2_legend.txt   Legend    Finhaut                              Precipitation; date of the maximum daily total of the year  2013-2020
order_94913_FIO_rti150yx_1_data.txt     Data      Fionnay                              Precipitation; date of the maximum daily total of the year  1996-2020
order_94913_FIO_rti150yx_1_legend.txt   Legend    Fionnay                              Precipitation; date of the maximum daily total of the year  1996-2020
order_94913_FLI_rti150yx_1_data.txt     Data      Flims                                Precipitation; date of the maximum daily total of the year  1960-2020
order_94913_FLI_rti150yx_1_legend.txt   Legend    Flims                                Precipitation; date of the maximum daily total of the year  1960-2020
order_94913_FUS_rti150yx_1_data.txt     Data      Fusio                                Precipitation; date of the maximum daily total of the year  1960-1973
order_94913_FUS_rti150yx_1_legend.txt   Legend    Fusio                                Precipitation; date of the maximum daily total of the year  1960-1973
order_94913_TIFUS_rti150yx_1_data.txt   Data      Fusio                                Precipitation; date of the maximum daily total of the year  2004-2006
order_94913_TIFUS_rti150yx_1_legend.txt Legend    Fusio                                Precipitation; date of the maximum daily total of the year  2004-2006
order_94913_TIFUS_rti150yx_2_data.txt   Data      Fusio                                Precipitation; date of the maximum daily total of the year  2010-2020
order_94913_TIFUS_rti150yx_2_legend.txt Legend    Fusio                                Precipitation; date of the maximum daily total of the year  2010-2020
order_94913_GAD_rti150yx_1_data.txt     Data      Gadmen                               Precipitation; date of the maximum daily total of the year  1911-1920
order_94913_GAD_rti150yx_1_legend.txt   Legend    Gadmen                               Precipitation; date of the maximum daily total of the year  1911-1920
order_94913_GAD_rti150yx_2_data.txt     Data      Gadmen                               Precipitation; date of the maximum daily total of the year  1923-2020
order_94913_GAD_rti150yx_2_legend.txt   Legend    Gadmen                               Precipitation; date of the maximum daily total of the year  1923-2020
order_94913_BEGAD_rti150yx_1_data.txt   Data      Gadmen                               Precipitation; date of the maximum daily total of the year  2008-2012
order_94913_BEGAD_rti150yx_1_legend.txt Legend    Gadmen                               Precipitation; date of the maximum daily total of the year  2008-2012
order_94913_BEGAD_rti150yx_2_data.txt   Data      Gadmen                               Precipitation; date of the maximum daily total of the year  2013-2020
order_94913_BEGAD_rti150yx_2_legend.txt Legend    Gadmen                               Precipitation; date of the maximum daily total of the year  2013-2020
order_94913_TIGAN_rti150yx_1_data.txt   Data      Gambarogno / Alpe di Neggia          Precipitation; date of the maximum daily total of the year  2019-2020
order_94913_TIGAN_rti150yx_1_legend.txt Legend    Gambarogno / Alpe di Neggia          Precipitation; date of the maximum daily total of the year  2019-2020
order_94913_GSM_rti150yx_1_data.txt     Data      Grand Som Martel                     Precipitation; date of the maximum daily total of the year  1970-1974
order_94913_GSM_rti150yx_1_legend.txt   Legend    Grand Som Martel                     Precipitation; date of the maximum daily total of the year  1970-1974
order_94913_GRI_rti150yx_1_data.txt     Data      Grimentz                             Precipitation; date of the maximum daily total of the year  1906-1927
order_94913_GRI_rti150yx_1_legend.txt   Legend    Grimentz                             Precipitation; date of the maximum daily total of the year  1906-1927
order_94913_GRI_rti150yx_2_data.txt     Data      Grimentz                             Precipitation; date of the maximum daily total of the year  1928-1951
order_94913_GRI_rti150yx_2_legend.txt   Legend    Grimentz                             Precipitation; date of the maximum daily total of the year  1928-1951
order_94913_GRI_rti150yx_3_data.txt     Data      Grimentz                             Precipitation; date of the maximum daily total of the year  1953-1954
order_94913_GRI_rti150yx_3_legend.txt   Legend    Grimentz                             Precipitation; date of the maximum daily total of the year  1953-1954
order_94913_GRI_rti150yx_4_data.txt     Data      Grimentz                             Precipitation; date of the maximum daily total of the year  1955-2016
order_94913_GRI_rti150yx_4_legend.txt   Legend    Grimentz                             Precipitation; date of the maximum daily total of the year  1955-2016
order_94913_GRI_rti150yx_5_data.txt     Data      Grimentz                             Precipitation; date of the maximum daily total of the year  2017-2020
order_94913_GRI_rti150yx_5_legend.txt   Legend    Grimentz                             Precipitation; date of the maximum daily total of the year  2017-2020
order_94913_GWA_rti150yx_1_data.txt     Data      Grindelwald                          Precipitation; date of the maximum daily total of the year  1960-2004
order_94913_GWA_rti150yx_1_legend.txt   Legend    Grindelwald                          Precipitation; date of the maximum daily total of the year  1960-2004
order_94913_GWA_rti150yx_2_data.txt     Data      Grindelwald                          Precipitation; date of the maximum daily total of the year  2005-2020
order_94913_GWA_rti150yx_2_legend.txt   Legend    Grindelwald                          Precipitation; date of the maximum daily total of the year  2005-2020
order_94913_GRY_rti150yx_1_data.txt     Data      Gryon                                Precipitation; date of the maximum daily total of the year  1902-1919
order_94913_GRY_rti150yx_1_legend.txt   Legend    Gryon                                Precipitation; date of the maximum daily total of the year  1902-1919
order_94913_GRY_rti150yx_2_data.txt     Data      Gryon                                Precipitation; date of the maximum daily total of the year  1920-2009
order_94913_GRY_rti150yx_2_legend.txt   Legend    Gryon                                Precipitation; date of the maximum daily total of the year  1920-2009
order_94913_GRY_rti150yx_3_data.txt     Data      Gryon                                Precipitation; date of the maximum daily total of the year  2010-2020
order_94913_GRY_rti150yx_3_legend.txt   Legend    Gryon                                Precipitation; date of the maximum daily total of the year  2010-2020
order_94913_GST_rti150yx_1_data.txt     Data      Gstaad                               Precipitation; date of the maximum daily total of the year  1981-2010
order_94913_GST_rti150yx_1_legend.txt   Legend    Gstaad                               Precipitation; date of the maximum daily total of the year  1981-2010
order_94913_GSG_rti150yx_1_data.txt     Data      Gsteig, Gstaad                       Precipitation; date of the maximum daily total of the year  1900-1941
order_94913_GSG_rti150yx_1_legend.txt   Legend    Gsteig, Gstaad                       Precipitation; date of the maximum daily total of the year  1900-1941
order_94913_GSG_rti150yx_2_data.txt     Data      Gsteig, Gstaad                       Precipitation; date of the maximum daily total of the year  1942-2020
order_94913_GSG_rti150yx_2_legend.txt   Legend    Gsteig, Gstaad                       Precipitation; date of the maximum daily total of the year  1942-2020
order_94913_BERIF_rti150yx_1_data.txt   Data      Guggisberg / Riffenmatt              Precipitation; date of the maximum daily total of the year  2002-2020
order_94913_BERIF_rti150yx_1_legend.txt Legend    Guggisberg / Riffenmatt              Precipitation; date of the maximum daily total of the year  2002-2020
order_94913_GNB_rti150yx_1_data.txt     Data      Gurnigelbad / Gassenscheuer          Precipitation; date of the maximum daily total of the year  1971-1975
order_94913_GNB_rti150yx_1_legend.txt   Legend    Gurnigelbad / Gassenscheuer          Precipitation; date of the maximum daily total of the year  1971-1975
order_94913_GNB_rti150yx_2_data.txt     Data      Gurnigelbad / Gassenscheuer          Precipitation; date of the maximum daily total of the year  1981-1994
order_94913_GNB_rti150yx_2_legend.txt   Legend    Gurnigelbad / Gassenscheuer          Precipitation; date of the maximum daily total of the year  1981-1994
order_94913_GTT_rti150yx_1_data.txt     Data      Guttannen                            Precipitation; date of the maximum daily total of the year  1876-2020
