Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95481

Filename                                Filetype  Station                              Parameter                                                   Period
order_95481_BNU_rre003mx_1_data.txt     Data      Braunau                              Precipitation; maximum 3-day total of the month             197705-201708
order_95481_BNU_rre003mx_1_legend.txt   Legend    Braunau                              Precipitation; maximum 3-day total of the month             197705-201708
order_95481_BNU_rre003mx_2_data.txt     Data      Braunau                              Precipitation; maximum 3-day total of the month             201710-201905
order_95481_BNU_rre003mx_2_legend.txt   Legend    Braunau                              Precipitation; maximum 3-day total of the month             201710-201905
order_95481_BNU_rre003mx_3_data.txt     Data      Braunau                              Precipitation; maximum 3-day total of the month             201906-202105
order_95481_BNU_rre003mx_3_legend.txt   Legend    Braunau                              Precipitation; maximum 3-day total of the month             201906-202105
order_95481_BHO_rre003mx_1_data.txt     Data      Breitenhof BL                        Precipitation; maximum 3-day total of the month             196812-199506
order_95481_BHO_rre003mx_1_legend.txt   Legend    Breitenhof BL                        Precipitation; maximum 3-day total of the month             196812-199506
order_95481_BRZ_rre003mx_1_data.txt     Data      Brienz                               Precipitation; maximum 3-day total of the month             190012-202105
order_95481_BRZ_rre003mx_1_legend.txt   Legend    Brienz                               Precipitation; maximum 3-day total of the month             190012-202105
order_95481_IYBRI_rre003mx_1_data.txt   Data      Brixen / Vahrn                       Precipitation; maximum 3-day total of the month             200012-202105
order_95481_IYBRI_rre003mx_1_legend.txt Legend    Brixen / Vahrn                       Precipitation; maximum 3-day total of the month             200012-202105
order_95481_BZL_rre003mx_1_data.txt     Data      Bruzella                             Precipitation; maximum 3-day total of the month             197312-200707
order_95481_BZL_rre003mx_1_legend.txt   Legend    Bruzella                             Precipitation; maximum 3-day total of the month             197312-200707
order_95481_BUD_rre003mx_1_data.txt     Data      Burgdorf                             Precipitation; maximum 3-day total of the month             190012-202105
order_95481_BUD_rre003mx_1_legend.txt   Legend    Burgdorf                             Precipitation; maximum 3-day total of the month             190012-202105
order_95481_BEBUD_rre003mx_1_data.txt   Data      Burgdorf / Buchmatt                  Precipitation; maximum 3-day total of the month             201312-201405
order_95481_BEBUD_rre003mx_1_legend.txt Legend    Burgdorf / Buchmatt                  Precipitation; maximum 3-day total of the month             201312-201405
order_95481_BEBUD_rre003mx_2_data.txt   Data      Burgdorf / Buchmatt                  Precipitation; maximum 3-day total of the month             201406-201407
order_95481_BEBUD_rre003mx_2_legend.txt Legend    Burgdorf / Buchmatt                  Precipitation; maximum 3-day total of the month             201406-201407
order_95481_BEBUD_rre003mx_3_data.txt   Data      Burgdorf / Buchmatt                  Precipitation; maximum 3-day total of the month             201408-201703
order_95481_BEBUD_rre003mx_3_legend.txt Legend    Burgdorf / Buchmatt                  Precipitation; maximum 3-day total of the month             201408-201703
order_95481_BEBUD_rre003mx_4_data.txt   Data      Burgdorf / Buchmatt                  Precipitation; maximum 3-day total of the month             201705-201810
order_95481_BEBUD_rre003mx_4_legend.txt Legend    Burgdorf / Buchmatt                  Precipitation; maximum 3-day total of the month             201705-201810
order_95481_BEBUD_rre003mx_5_data.txt   Data      Burgdorf / Buchmatt                  Precipitation; maximum 3-day total of the month             201901-202102
order_95481_BEBUD_rre003mx_5_legend.txt Legend    Burgdorf / Buchmatt                  Precipitation; maximum 3-day total of the month             201901-202102
order_95481_BEBUD_rre003mx_6_data.txt   Data      Burgdorf / Buchmatt                  Precipitation; maximum 3-day total of the month             202104-202105
order_95481_BEBUD_rre003mx_6_legend.txt Legend    Burgdorf / Buchmatt                  Precipitation; maximum 3-day total of the month             202104-202105
order_95481_BEBUE_rre003mx_1_data.txt   Data      Burgdorf / Einschlag                 Precipitation; maximum 3-day total of the month             201312-201407
order_95481_BEBUE_rre003mx_1_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; maximum 3-day total of the month             201312-201407
order_95481_BEBUE_rre003mx_2_data.txt   Data      Burgdorf / Einschlag                 Precipitation; maximum 3-day total of the month             201408-201610
order_95481_BEBUE_rre003mx_2_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; maximum 3-day total of the month             201408-201610
order_95481_BEBUE_rre003mx_3_data.txt   Data      Burgdorf / Einschlag                 Precipitation; maximum 3-day total of the month             201612-201707
order_95481_BEBUE_rre003mx_3_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; maximum 3-day total of the month             201612-201707
order_95481_BEBUE_rre003mx_4_data.txt   Data      Burgdorf / Einschlag                 Precipitation; maximum 3-day total of the month             201708-202102
order_95481_BEBUE_rre003mx_4_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; maximum 3-day total of the month             201708-202102
order_95481_BEBUE_rre003mx_5_data.txt   Data      Burgdorf / Einschlag                 Precipitation; maximum 3-day total of the month             202104-202105
order_95481_BEBUE_rre003mx_5_legend.txt Legend    Burgdorf / Einschlag                 Precipitation; maximum 3-day total of the month             202104-202105
order_95481_BEBUV_rre003mx_1_data.txt   Data      Burgdorf / Viehmarktplatz            Precipitation; maximum 3-day total of the month             201312-202102
order_95481_BEBUV_rre003mx_1_legend.txt Legend    Burgdorf / Viehmarktplatz            Precipitation; maximum 3-day total of the month             201312-202102
order_95481_BEBUV_rre003mx_2_data.txt   Data      Burgdorf / Viehmarktplatz            Precipitation; maximum 3-day total of the month             202104-202105
order_95481_BEBUV_rre003mx_2_legend.txt Legend    Burgdorf / Viehmarktplatz            Precipitation; maximum 3-day total of the month             202104-202105
order_95481_UBB_rre003mx_1_data.txt     Data      Bözberg                              Precipitation; maximum 3-day total of the month             191312-202105
order_95481_UBB_rre003mx_1_legend.txt   Legend    Bözberg                              Precipitation; maximum 3-day total of the month             191312-202105
order_95481_TICAB_rre003mx_1_data.txt   Data      Cabbio                               Precipitation; maximum 3-day total of the month             201407-202105
order_95481_TICAB_rre003mx_1_legend.txt Legend    Cabbio                               Precipitation; maximum 3-day total of the month             201407-202105
order_95481_CMD_rre003mx_1_data.txt     Data      Camedo                               Precipitation; maximum 3-day total of the month             190012-193903
