Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94093

Filename                                Filetype  Station                              Parameter                                                   Period
order_94093_DLGEI_rre150m0_2_data.txt   Data      Geisingen                            Precipitation; monthly total                                197012-199707
order_94093_DLGEI_rre150m0_2_legend.txt Legend    Geisingen                            Precipitation; monthly total                                197012-199707
order_94093_DLGEI_rre150m0_3_data.txt   Data      Geisingen                            Precipitation; monthly total                                199803-200312
order_94093_DLGEI_rre150m0_3_legend.txt Legend    Geisingen                            Precipitation; monthly total                                199803-200312
order_94093_DLGEI_rre150m0_4_data.txt   Data      Geisingen                            Precipitation; monthly total                                200905-202103
order_94093_DLGEI_rre150m0_4_legend.txt Legend    Geisingen                            Precipitation; monthly total                                200905-202103
order_94093_GOL_rre150m0_1_data.txt     Data      Goldingen                            Precipitation; monthly total                                196912-197712
order_94093_GOL_rre150m0_1_legend.txt   Legend    Goldingen                            Precipitation; monthly total                                196912-197712
order_94093_STF_rre150m0_1_data.txt     Data      Grossdietwil / Stampfi               Precipitation; monthly total                                198108-202103
order_94093_STF_rre150m0_1_legend.txt   Legend    Grossdietwil / Stampfi               Precipitation; monthly total                                198108-202103
order_94093_HES_rre150m0_1_data.txt     Data      Herisau                              Precipitation; monthly total                                190012-202103
order_94093_HES_rre150m0_1_legend.txt   Legend    Herisau                              Precipitation; monthly total                                190012-202103
order_94093_DLHOL_rre150m0_1_data.txt   Data      Holzkirchen                          Precipitation; monthly total                                195212-195812
order_94093_DLHOL_rre150m0_1_legend.txt Legend    Holzkirchen                          Precipitation; monthly total                                195212-195812
order_94093_DLHOL_rre150m0_2_data.txt   Data      Holzkirchen                          Precipitation; monthly total                                198211-202103
order_94093_DLHOL_rre150m0_2_legend.txt Legend    Holzkirchen                          Precipitation; monthly total                                198211-202103
order_94093_HOS_rre150m0_1_data.txt     Data      Hosenruck                            Precipitation; monthly total                                196012-198612
order_94093_HOS_rre150m0_1_legend.txt   Legend    Hosenruck                            Precipitation; monthly total                                196012-198612
order_94093_ILZ_rre150m0_1_data.txt     Data      Ilanz                                Precipitation; monthly total                                189112-202103
order_94093_ILZ_rre150m0_1_legend.txt   Legend    Ilanz                                Precipitation; monthly total                                189112-202103
order_94093_DLKEM_rre150m0_1_data.txt   Data      Kempten                              Precipitation; monthly total                                187812-201305
order_94093_DLKEM_rre150m0_1_legend.txt Legend    Kempten                              Precipitation; monthly total                                187812-201305
order_94093_DLKEM_rre150m0_2_data.txt   Data      Kempten                              Precipitation; monthly total                                201306-201906
order_94093_DLKEM_rre150m0_2_legend.txt Legend    Kempten                              Precipitation; monthly total                                201306-201906
order_94093_DLKEM_rre150m0_3_data.txt   Data      Kempten                              Precipitation; monthly total                                201907-202103
order_94093_DLKEM_rre150m0_3_legend.txt Legend    Kempten                              Precipitation; monthly total                                201907-202103
order_94093_GECOI_rre150m0_1_data.txt   Data      Le Coin, France                      Precipitation; monthly total                                199904-199910
order_94093_GECOI_rre150m0_1_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                199904-199910
order_94093_GECOI_rre150m0_2_data.txt   Data      Le Coin, France                      Precipitation; monthly total                                200002-200012
order_94093_GECOI_rre150m0_2_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                200002-200012
order_94093_GECOI_rre150m0_3_data.txt   Data      Le Coin, France                      Precipitation; monthly total                                200101-200110
order_94093_GECOI_rre150m0_3_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                200101-200110
order_94093_GECOI_rre150m0_4_data.txt   Data      Le Coin, France                      Precipitation; monthly total                                200111-200201
order_94093_GECOI_rre150m0_4_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                200111-200201
order_94093_GECOI_rre150m0_5_data.txt   Data      Le Coin, France                      Precipitation; monthly total                                200203-200204
order_94093_GECOI_rre150m0_5_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                200203-200204
order_94093_GECOI_rre150m0_6_data.txt   Data      Le Coin, France                      Precipitation; monthly total                                200205-200212
order_94093_GECOI_rre150m0_6_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                200205-200212
order_94093_GECOI_rre150m0_7_data.txt   Data      Le Coin, France                      Precipitation; monthly total                                200302-200303
order_94093_GECOI_rre150m0_7_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                200302-200303
order_94093_GECOI_rre150m0_8_data.txt   Data      Le Coin, France                      Precipitation; monthly total                                200304-200311
order_94093_GECOI_rre150m0_8_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                200304-200311
order_94093_GECOI_rre150m0_9_data.txt   Data      Le Coin, France                      Precipitation; monthly total                                200401-200409
order_94093_GECOI_rre150m0_9_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                200401-200409
order_94093_GECOI_rre150m0_10_data.txt  Data      Le Coin, France                      Precipitation; monthly total                                200410-200411
order_94093_GECOI_rre150m0_10_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                200410-200411
order_94093_GECOI_rre150m0_11_data.txt  Data      Le Coin, France                      Precipitation; monthly total                                200412-200508
order_94093_GECOI_rre150m0_11_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                200412-200508
order_94093_GECOI_rre150m0_12_data.txt  Data      Le Coin, France                      Precipitation; monthly total                                200601-200606
order_94093_GECOI_rre150m0_12_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                200601-200606
order_94093_GECOI_rre150m0_13_data.txt  Data      Le Coin, France                      Precipitation; monthly total                                200608-200609
order_94093_GECOI_rre150m0_13_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                200608-200609
order_94093_GECOI_rre150m0_14_data.txt  Data      Le Coin, France                      Precipitation; monthly total                                200610-200612
order_94093_GECOI_rre150m0_14_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                200610-200612
order_94093_GECOI_rre150m0_15_data.txt  Data      Le Coin, France                      Precipitation; monthly total                                200701-200705
order_94093_GECOI_rre150m0_15_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                200701-200705
order_94093_GECOI_rre150m0_16_data.txt  Data      Le Coin, France                      Precipitation; monthly total                                200706-200708
order_94093_GECOI_rre150m0_16_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                200706-200708
order_94093_GECOI_rre150m0_17_data.txt  Data      Le Coin, France                      Precipitation; monthly total                                200709-200711
order_94093_GECOI_rre150m0_17_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                200709-200711
order_94093_GECOI_rre150m0_18_data.txt  Data      Le Coin, France                      Precipitation; monthly total                                200712-200801
order_94093_GECOI_rre150m0_18_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                200712-200801
order_94093_GECOI_rre150m0_19_data.txt  Data      Le Coin, France                      Precipitation; monthly total                                200804-200809
order_94093_GECOI_rre150m0_19_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                200804-200809
order_94093_GECOI_rre150m0_20_data.txt  Data      Le Coin, France                      Precipitation; monthly total                                200810-200811
order_94093_GECOI_rre150m0_20_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                200810-200811
order_94093_GECOI_rre150m0_21_data.txt  Data      Le Coin, France                      Precipitation; monthly total                                200903-200905
order_94093_GECOI_rre150m0_21_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                200903-200905
order_94093_GECOI_rre150m0_22_data.txt  Data      Le Coin, France                      Precipitation; monthly total                                200906-200907
order_94093_GECOI_rre150m0_22_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                200906-200907
order_94093_GECOI_rre150m0_23_data.txt  Data      Le Coin, France                      Precipitation; monthly total                                200910-200911
order_94093_GECOI_rre150m0_23_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                200910-200911
order_94093_GECOI_rre150m0_24_data.txt  Data      Le Coin, France                      Precipitation; monthly total                                201003-201011
order_94093_GECOI_rre150m0_24_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                201003-201011
order_94093_GECOI_rre150m0_25_data.txt  Data      Le Coin, France                      Precipitation; monthly total                                201012-201104
order_94093_GECOI_rre150m0_25_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                201012-201104
order_94093_GECOI_rre150m0_26_data.txt  Data      Le Coin, France                      Precipitation; monthly total                                201106-201111
order_94093_GECOI_rre150m0_26_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                201106-201111
order_94093_GECOI_rre150m0_27_data.txt  Data      Le Coin, France                      Precipitation; monthly total                                201202-201203
order_94093_GECOI_rre150m0_27_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                201202-201203
order_94093_GECOI_rre150m0_28_data.txt  Data      Le Coin, France                      Precipitation; monthly total                                201204-201208
order_94093_GECOI_rre150m0_28_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                201204-201208
order_94093_GECOI_rre150m0_29_data.txt  Data      Le Coin, France                      Precipitation; monthly total                                201210-201211
order_94093_GECOI_rre150m0_29_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                201210-201211
order_94093_GECOI_rre150m0_30_data.txt  Data      Le Coin, France                      Precipitation; monthly total                                201212-201803
order_94093_GECOI_rre150m0_30_legend.txt Legend    Le Coin, France                      Precipitation; monthly total                                201212-201803
order_94093_DLLEU_rre150m0_1_data.txt   Data      Leutkirch                            Precipitation; monthly total                                193012-194412
order_94093_DLLEU_rre150m0_1_legend.txt Legend    Leutkirch                            Precipitation; monthly total                                193012-194412
order_94093_DLLEU_rre150m0_2_data.txt   Data      Leutkirch                            Precipitation; monthly total                                194512-197011
order_94093_DLLEU_rre150m0_2_legend.txt Legend    Leutkirch                            Precipitation; monthly total                                194512-197011
order_94093_DLLEU_rre150m0_3_data.txt   Data      Leutkirch                            Precipitation; monthly total                                200703-201210
order_94093_DLLEU_rre150m0_3_legend.txt Legend    Leutkirch                            Precipitation; monthly total                                200703-201210
order_94093_DLLEU_rre150m0_4_data.txt   Data      Leutkirch                            Precipitation; monthly total                                201211-201603
order_94093_DLLEU_rre150m0_4_legend.txt Legend    Leutkirch                            Precipitation; monthly total                                201211-201603
order_94093_DLLEU_rre150m0_5_data.txt   Data      Leutkirch                            Precipitation; monthly total                                201604-201708
order_94093_DLLEU_rre150m0_5_legend.txt Legend    Leutkirch                            Precipitation; monthly total                                201604-201708
order_94093_DLLEU_rre150m0_6_data.txt   Data      Leutkirch                            Precipitation; monthly total                                201710-201804
order_94093_DLLEU_rre150m0_6_legend.txt Legend    Leutkirch                            Precipitation; monthly total                                201710-201804
order_94093_DLLEU_rre150m0_7_data.txt   Data      Leutkirch                            Precipitation; monthly total                                201805-202103
order_94093_DLLEU_rre150m0_7_legend.txt Legend    Leutkirch                            Precipitation; monthly total                                201805-202103
order_94093_MMLIN_rre150m0_1_data.txt   Data      Linthal                              Precipitation; monthly total                                201607-201612
order_94093_MMLIN_rre150m0_1_legend.txt Legend    Linthal                              Precipitation; monthly total                                201607-201612
order_94093_MMLIN_rre150m0_2_data.txt   Data      Linthal                              Precipitation; monthly total                                201701-201808
order_94093_MMLIN_rre150m0_2_legend.txt Legend    Linthal                              Precipitation; monthly total                                201701-201808
order_94093_MMLIN_rre150m0_3_data.txt   Data      Linthal                              Precipitation; monthly total                                201809-201811
order_94093_MMLIN_rre150m0_3_legend.txt Legend    Linthal                              Precipitation; monthly total                                201809-201811
order_94093_MMLIN_rre150m0_4_data.txt   Data      Linthal                              Precipitation; monthly total                                201812-201908
order_94093_MMLIN_rre150m0_4_legend.txt Legend    Linthal                              Precipitation; monthly total                                201812-201908
order_94093_MMLIN_rre150m0_5_data.txt   Data      Linthal                              Precipitation; monthly total                                201909-202006
order_94093_MMLIN_rre150m0_5_legend.txt Legend    Linthal                              Precipitation; monthly total                                201909-202006
order_94093_MMLIN_rre150m0_6_data.txt   Data      Linthal                              Precipitation; monthly total                                202008-202011
order_94093_MMLIN_rre150m0_6_legend.txt Legend    Linthal                              Precipitation; monthly total                                202008-202011
order_94093_MMLIN_rre150m0_7_data.txt   Data      Linthal                              Precipitation; monthly total                                202012-202103
order_94093_MMLIN_rre150m0_7_legend.txt Legend    Linthal                              Precipitation; monthly total                                202012-202103
order_94093_NABLAE_rre150m0_1_data.txt  Data      Lägeren / Zindelen                   Precipitation; monthly total                                199102-199105
order_94093_NABLAE_rre150m0_1_legend.txt Legend    Lägeren / Zindelen                   Precipitation; monthly total                                199102-199105
order_94093_NABLAE_rre150m0_2_data.txt  Data      Lägeren / Zindelen                   Precipitation; monthly total                                199108-199109
order_94093_NABLAE_rre150m0_2_legend.txt Legend    Lägeren / Zindelen                   Precipitation; monthly total                                199108-199109
order_94093_NABLAE_rre150m0_3_data.txt  Data      Lägeren / Zindelen                   Precipitation; monthly total                                199301-199303
order_94093_NABLAE_rre150m0_3_legend.txt Legend    Lägeren / Zindelen                   Precipitation; monthly total                                199301-199303
