Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94072

Filename                                Filetype  Station                              Parameter                                                   Period
order_94072_IYBOZ_rhh150mx_4_legend.txt Legend    Bozen                                Precipitation; maximum total per hour of the month          201909-201912
order_94072_IYBOZ_rhh150mx_5_data.txt   Data      Bozen                                Precipitation; maximum total per hour of the month          202001-202004
order_94072_IYBOZ_rhh150mx_5_legend.txt Legend    Bozen                                Precipitation; maximum total per hour of the month          202001-202004
order_94072_IYBOZ_rhh150mx_6_data.txt   Data      Bozen                                Precipitation; maximum total per hour of the month          202005-202006
order_94072_IYBOZ_rhh150mx_6_legend.txt Legend    Bozen                                Precipitation; maximum total per hour of the month          202005-202006
order_94072_IYBOZ_rhh150mx_7_data.txt   Data      Bozen                                Precipitation; maximum total per hour of the month          202009-202012
order_94072_IYBOZ_rhh150mx_7_legend.txt Legend    Bozen                                Precipitation; maximum total per hour of the month          202009-202012
order_94072_IYBOZ_rhh150mx_8_data.txt   Data      Bozen                                Precipitation; maximum total per hour of the month          202102-202103
order_94072_IYBOZ_rhh150mx_8_legend.txt Legend    Bozen                                Precipitation; maximum total per hour of the month          202102-202103
order_94072_IYBRZ_rhh150mx_1_data.txt   Data      Branzoll                             Precipitation; maximum total per hour of the month          200805-201807
order_94072_IYBRZ_rhh150mx_1_legend.txt Legend    Branzoll                             Precipitation; maximum total per hour of the month          200805-201807
order_94072_IYBRZ_rhh150mx_2_data.txt   Data      Branzoll                             Precipitation; maximum total per hour of the month          201808-201902
order_94072_IYBRZ_rhh150mx_2_legend.txt Legend    Branzoll                             Precipitation; maximum total per hour of the month          201808-201902
order_94072_IYBRZ_rhh150mx_3_data.txt   Data      Branzoll                             Precipitation; maximum total per hour of the month          201905-201907
order_94072_IYBRZ_rhh150mx_3_legend.txt Legend    Branzoll                             Precipitation; maximum total per hour of the month          201905-201907
order_94072_IYBRZ_rhh150mx_4_data.txt   Data      Branzoll                             Precipitation; maximum total per hour of the month          201909-201912
order_94072_IYBRZ_rhh150mx_4_legend.txt Legend    Branzoll                             Precipitation; maximum total per hour of the month          201909-201912
order_94072_IYBRZ_rhh150mx_5_data.txt   Data      Branzoll                             Precipitation; maximum total per hour of the month          202001-202004
order_94072_IYBRZ_rhh150mx_5_legend.txt Legend    Branzoll                             Precipitation; maximum total per hour of the month          202001-202004
order_94072_IYBRZ_rhh150mx_6_data.txt   Data      Branzoll                             Precipitation; maximum total per hour of the month          202005-202006
order_94072_IYBRZ_rhh150mx_6_legend.txt Legend    Branzoll                             Precipitation; maximum total per hour of the month          202005-202006
order_94072_IYBRZ_rhh150mx_7_data.txt   Data      Branzoll                             Precipitation; maximum total per hour of the month          202008-202012
order_94072_IYBRZ_rhh150mx_7_legend.txt Legend    Branzoll                             Precipitation; maximum total per hour of the month          202008-202012
order_94072_IYBRZ_rhh150mx_8_data.txt   Data      Branzoll                             Precipitation; maximum total per hour of the month          202102-202103
order_94072_IYBRZ_rhh150mx_8_legend.txt Legend    Branzoll                             Precipitation; maximum total per hour of the month          202102-202103
order_94072_BUS_rhh150mx_1_data.txt     Data      Buchs / Aarau                        Precipitation; maximum total per hour of the month          198405-200706
order_94072_BUS_rhh150mx_1_legend.txt   Legend    Buchs / Aarau                        Precipitation; maximum total per hour of the month          198405-200706
order_94072_BUS_rhh150mx_2_data.txt     Data      Buchs / Aarau                        Precipitation; maximum total per hour of the month          200707-201909
order_94072_BUS_rhh150mx_2_legend.txt   Legend    Buchs / Aarau                        Precipitation; maximum total per hour of the month          200707-201909
order_94072_BUS_rhh150mx_3_data.txt     Data      Buchs / Aarau                        Precipitation; maximum total per hour of the month          201910-202103
order_94072_BUS_rhh150mx_3_legend.txt   Legend    Buchs / Aarau                        Precipitation; maximum total per hour of the month          201910-202103
order_94072_KABAT_rhh150mx_1_data.txt   Data      Bättwil                              Precipitation; maximum total per hour of the month          201810-201904
order_94072_KABAT_rhh150mx_1_legend.txt Legend    Bättwil                              Precipitation; maximum total per hour of the month          201810-201904
order_94072_KABAT_rhh150mx_2_data.txt   Data      Bättwil                              Precipitation; maximum total per hour of the month          201911-202012
order_94072_KABAT_rhh150mx_2_legend.txt Legend    Bättwil                              Precipitation; maximum total per hour of the month          201911-202012
order_94072_TICAN_rhh150mx_1_data.txt   Data      Canobbio                             Precipitation; maximum total per hour of the month          200712-200908
order_94072_TICAN_rhh150mx_1_legend.txt Legend    Canobbio                             Precipitation; maximum total per hour of the month          200712-200908
order_94072_TICAN_rhh150mx_2_data.txt   Data      Canobbio                             Precipitation; maximum total per hour of the month          200909-201612
order_94072_TICAN_rhh150mx_2_legend.txt Legend    Canobbio                             Precipitation; maximum total per hour of the month          200909-201612
order_94072_TICAN_rhh150mx_3_data.txt   Data      Canobbio                             Precipitation; maximum total per hour of the month          201701-202005
order_94072_TICAN_rhh150mx_3_legend.txt Legend    Canobbio                             Precipitation; maximum total per hour of the month          201701-202005
order_94072_TICAN_rhh150mx_4_data.txt   Data      Canobbio                             Precipitation; maximum total per hour of the month          202006-202102
order_94072_TICAN_rhh150mx_4_legend.txt Legend    Canobbio                             Precipitation; maximum total per hour of the month          202006-202102
order_94072_TICIA_rhh150mx_1_data.txt   Data      Chiasso                              Precipitation; maximum total per hour of the month          200709-201208
order_94072_TICIA_rhh150mx_1_legend.txt Legend    Chiasso                              Precipitation; maximum total per hour of the month          200709-201208
order_94072_TICIA_rhh150mx_2_data.txt   Data      Chiasso                              Precipitation; maximum total per hour of the month          201209-201612
order_94072_TICIA_rhh150mx_2_legend.txt Legend    Chiasso                              Precipitation; maximum total per hour of the month          201209-201612
order_94072_TICIA_rhh150mx_3_data.txt   Data      Chiasso                              Precipitation; maximum total per hour of the month          201701-201912
order_94072_TICIA_rhh150mx_3_legend.txt Legend    Chiasso                              Precipitation; maximum total per hour of the month          201701-201912
order_94072_TICIA_rhh150mx_4_data.txt   Data      Chiasso                              Precipitation; maximum total per hour of the month          202001-202005
order_94072_TICIA_rhh150mx_4_legend.txt Legend    Chiasso                              Precipitation; maximum total per hour of the month          202001-202005
order_94072_TICIA_rhh150mx_5_data.txt   Data      Chiasso                              Precipitation; maximum total per hour of the month          202006-202103
order_94072_TICIA_rhh150mx_5_legend.txt Legend    Chiasso                              Precipitation; maximum total per hour of the month          202006-202103
order_94072_COL_rhh150mx_1_data.txt     Data      Coldrerio                            Precipitation; maximum total per hour of the month          201508-201806
order_94072_COL_rhh150mx_1_legend.txt   Legend    Coldrerio                            Precipitation; maximum total per hour of the month          201508-201806
order_94072_COL_rhh150mx_2_data.txt     Data      Coldrerio                            Precipitation; maximum total per hour of the month          201807-202103
order_94072_COL_rhh150mx_2_legend.txt   Legend    Coldrerio                            Precipitation; maximum total per hour of the month          201807-202103
order_94072_VDCUL_rhh150mx_1_data.txt   Data      Cully                                Precipitation; maximum total per hour of the month          201212-202103
order_94072_VDCUL_rhh150mx_1_legend.txt Legend    Cully                                Precipitation; maximum total per hour of the month          201212-202103
order_94072_DIT_rhh150mx_1_data.txt     Data      Dietikon                             Precipitation; maximum total per hour of the month          201608-201811
order_94072_DIT_rhh150mx_1_legend.txt   Legend    Dietikon                             Precipitation; maximum total per hour of the month          201608-201811
order_94072_DIT_rhh150mx_2_data.txt     Data      Dietikon                             Precipitation; maximum total per hour of the month          201812-202103
order_94072_DIT_rhh150mx_2_legend.txt   Legend    Dietikon                             Precipitation; maximum total per hour of the month          201812-202103
order_94072_DLDRE_rhh150mx_1_data.txt   Data      Dresden / Klotzsche                  Precipitation; maximum total per hour of the month          199509-199911
order_94072_DLDRE_rhh150mx_1_legend.txt Legend    Dresden / Klotzsche                  Precipitation; maximum total per hour of the month          199509-199911
order_94072_DLDRE_rhh150mx_2_data.txt   Data      Dresden / Klotzsche                  Precipitation; maximum total per hour of the month          200001-200007
order_94072_DLDRE_rhh150mx_2_legend.txt Legend    Dresden / Klotzsche                  Precipitation; maximum total per hour of the month          200001-200007
order_94072_DLDRE_rhh150mx_3_data.txt   Data      Dresden / Klotzsche                  Precipitation; maximum total per hour of the month          200008-200011
order_94072_DLDRE_rhh150mx_3_legend.txt Legend    Dresden / Klotzsche                  Precipitation; maximum total per hour of the month          200008-200011
order_94072_DLDRE_rhh150mx_4_data.txt   Data      Dresden / Klotzsche                  Precipitation; maximum total per hour of the month          200012-200103
order_94072_DLDRE_rhh150mx_4_legend.txt Legend    Dresden / Klotzsche                  Precipitation; maximum total per hour of the month          200012-200103
order_94072_DLDRE_rhh150mx_5_data.txt   Data      Dresden / Klotzsche                  Precipitation; maximum total per hour of the month          200104-200307
order_94072_DLDRE_rhh150mx_5_legend.txt Legend    Dresden / Klotzsche                  Precipitation; maximum total per hour of the month          200104-200307
order_94072_DLDRE_rhh150mx_6_data.txt   Data      Dresden / Klotzsche                  Precipitation; maximum total per hour of the month          200308-200312
order_94072_DLDRE_rhh150mx_6_legend.txt Legend    Dresden / Klotzsche                  Precipitation; maximum total per hour of the month          200308-200312
order_94072_DLDRE_rhh150mx_7_data.txt   Data      Dresden / Klotzsche                  Precipitation; maximum total per hour of the month          200401-200412
order_94072_DLDRE_rhh150mx_7_legend.txt Legend    Dresden / Klotzsche                  Precipitation; maximum total per hour of the month          200401-200412
