Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95668

Filename                                Filetype  Station                              Parameter                                                   Period
order_95668_BLA_rhh150mx_1_data.txt     Data      Blatten, Lötschental                 Precipitation; maximum total per hour of the month          202103-202105
order_95668_BLA_rhh150mx_1_legend.txt   Legend    Blatten, Lötschental                 Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLBLU_rhh150mx_1_data.txt   Data      Blumberg / Randen                    Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLBLU_rhh150mx_1_legend.txt Legend    Blumberg / Randen                    Precipitation; maximum total per hour of the month          202103-202105
order_95668_BOL_rhh150mx_1_data.txt     Data      Boltigen                             Precipitation; maximum total per hour of the month          202103-202105
order_95668_BOL_rhh150mx_1_legend.txt   Legend    Boltigen                             Precipitation; maximum total per hour of the month          202103-202105
order_95668_BOS_rhh150mx_1_data.txt     Data      Bosco/Gurin                          Precipitation; maximum total per hour of the month          202103-202105
order_95668_BOS_rhh150mx_1_legend.txt   Legend    Bosco/Gurin                          Precipitation; maximum total per hour of the month          202103-202105
order_95668_VSBSP_rhh150mx_1_data.txt   Data      Bourg-St-Pierre                      Precipitation; maximum total per hour of the month          202103-202105
order_95668_VSBSP_rhh150mx_1_legend.txt Legend    Bourg-St-Pierre                      Precipitation; maximum total per hour of the month          202103-202105
order_95668_BRW_rhh150mx_1_data.txt     Data      Braunwald                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_BRW_rhh150mx_1_legend.txt   Legend    Braunwald                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLBRI_rhh150mx_1_data.txt   Data      Breitnau                             Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLBRI_rhh150mx_1_legend.txt Legend    Breitnau                             Precipitation; maximum total per hour of the month          202103-202105
order_95668_BRT_rhh150mx_1_data.txt     Data      Bristen                              Precipitation; maximum total per hour of the month          202103-202105
order_95668_BRT_rhh150mx_1_legend.txt   Legend    Bristen                              Precipitation; maximum total per hour of the month          202103-202105
order_95668_VSBRU_rhh150mx_1_data.txt   Data      Bruchji                              Precipitation; maximum total per hour of the month          202103-202105
order_95668_VSBRU_rhh150mx_1_legend.txt Legend    Bruchji                              Precipitation; maximum total per hour of the month          202103-202105
order_95668_IYBRU_rhh150mx_1_data.txt   Data      Bruneck                              Precipitation; maximum total per hour of the month          202104-202105
order_95668_IYBRU_rhh150mx_1_legend.txt Legend    Bruneck                              Precipitation; maximum total per hour of the month          202104-202105
order_95668_BRP_rhh150mx_1_data.txt     Data      Brusio                               Precipitation; maximum total per hour of the month          202103-202105
order_95668_BRP_rhh150mx_1_legend.txt   Legend    Brusio                               Precipitation; maximum total per hour of the month          202103-202105
order_95668_BUF_rhh150mx_1_data.txt     Data      Buffalora                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_BUF_rhh150mx_1_legend.txt   Legend    Buffalora                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_FRE_rhh150mx_1_data.txt     Data      Bullet / La Frétaz                   Precipitation; maximum total per hour of the month          202103-202105
order_95668_FRE_rhh150mx_1_legend.txt   Legend    Bullet / La Frétaz                   Precipitation; maximum total per hour of the month          202103-202105
order_95668_URBUE_rhh150mx_1_data.txt   Data      Bürglen / Selez                      Precipitation; maximum total per hour of the month          202104-202105
order_95668_URBUE_rhh150mx_1_legend.txt Legend    Bürglen / Selez                      Precipitation; maximum total per hour of the month          202104-202105
order_95668_VSCHY_rhh150mx_1_data.txt   Data      Champéry                             Precipitation; maximum total per hour of the month          202103-202105
order_95668_VSCHY_rhh150mx_1_legend.txt Legend    Champéry                             Precipitation; maximum total per hour of the month          202103-202105
order_95668_MMCPY_rhh150mx_1_data.txt   Data      Champéry                             Precipitation; maximum total per hour of the month          202103-202105
order_95668_MMCPY_rhh150mx_1_legend.txt Legend    Champéry                             Precipitation; maximum total per hour of the month          202103-202105
order_95668_CHA_rhh150mx_1_data.txt     Data      Chasseral                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_CHA_rhh150mx_1_legend.txt   Legend    Chasseral                            Precipitation; maximum total per hour of the month          202103-202105
order_95668_CHM_rhh150mx_1_data.txt     Data      Chaumont                             Precipitation; maximum total per hour of the month          202103-202105
order_95668_CHM_rhh150mx_1_legend.txt   Legend    Chaumont                             Precipitation; maximum total per hour of the month          202103-202105
order_95668_WSLCIB_rhh150mx_1_data.txt  Data      Chironico Bestand                    Precipitation; maximum total per hour of the month          202104-202105
order_95668_WSLCIB_rhh150mx_1_legend.txt Legend    Chironico Bestand                    Precipitation; maximum total per hour of the month          202104-202105
order_95668_VSCHO_rhh150mx_1_data.txt   Data      Choëx                                Precipitation; maximum total per hour of the month          202103-202105
order_95668_VSCHO_rhh150mx_1_legend.txt Legend    Choëx                                Precipitation; maximum total per hour of the month          202103-202105
order_95668_VDCHX_rhh150mx_1_data.txt   Data      Château d'Oex                        Precipitation; maximum total per hour of the month          202103-202105
order_95668_VDCHX_rhh150mx_1_legend.txt Legend    Château d'Oex                        Precipitation; maximum total per hour of the month          202103-202105
order_95668_CHD_rhh150mx_1_data.txt     Data      Château-d'Oex                        Precipitation; maximum total per hour of the month          202103-202105
order_95668_CHD_rhh150mx_1_legend.txt   Legend    Château-d'Oex                        Precipitation; maximum total per hour of the month          202103-202105
order_95668_CIM_rhh150mx_1_data.txt     Data      Cimetta                              Precipitation; maximum total per hour of the month          202103-202105
order_95668_CIM_rhh150mx_1_legend.txt   Legend    Cimetta                              Precipitation; maximum total per hour of the month          202103-202105
order_95668_VSCLU_rhh150mx_1_data.txt   Data      Clusanfe                             Precipitation; maximum total per hour of the month          202103-202105
order_95668_VSCLU_rhh150mx_1_legend.txt Legend    Clusanfe                             Precipitation; maximum total per hour of the month          202103-202105
order_95668_CDM_rhh150mx_1_data.txt     Data      Col des Mosses                       Precipitation; maximum total per hour of the month          202103-202105
order_95668_CDM_rhh150mx_1_legend.txt   Legend    Col des Mosses                       Precipitation; maximum total per hour of the month          202103-202105
order_95668_GSB_rhh150mx_1_data.txt     Data      Col du Grand St-Bernard              Precipitation; maximum total per hour of the month          202103-202105
order_95668_GSB_rhh150mx_1_legend.txt   Legend    Col du Grand St-Bernard              Precipitation; maximum total per hour of the month          202103-202105
order_95668_COU_rhh150mx_1_data.txt     Data      Couvet                               Precipitation; maximum total per hour of the month          202103-202105
order_95668_COU_rhh150mx_1_legend.txt   Legend    Couvet                               Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLDAC_rhh150mx_1_data.txt   Data      Dachsberg / Wolpadingen              Precipitation; maximum total per hour of the month          202103-202105
order_95668_DLDAC_rhh150mx_1_legend.txt Legend    Dachsberg / Wolpadingen              Precipitation; maximum total per hour of the month          202103-202105
order_95668_DAV_rhh150mx_1_data.txt     Data      Davos                                Precipitation; maximum total per hour of the month          202103-202105
order_95668_DAV_rhh150mx_1_legend.txt   Legend    Davos                                Precipitation; maximum total per hour of the month          202103-202105
