Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 93928

Filename                                Filetype  Station                              Parameter                                                   Period
order_93928_MMGTT_tre200d0_1_legend.txt Legend    Guttannen                            Air temperature 2 m above ground; daily mean                20141223-20210414
order_93928_GOS_tre200d0_1_data.txt     Data      Göschenen                            Air temperature 2 m above ground; daily mean                19591231-19831230
order_93928_GOS_tre200d0_1_legend.txt   Legend    Göschenen                            Air temperature 2 m above ground; daily mean                19591231-19831230
order_93928_GOS_tre200d0_2_data.txt     Data      Göschenen                            Air temperature 2 m above ground; daily mean                20160223-20210414
order_93928_GOS_tre200d0_2_legend.txt   Legend    Göschenen                            Air temperature 2 m above ground; daily mean                20160223-20210414
order_93928_BEHAK_tre200d0_1_data.txt   Data      Habkern                              Air temperature 2 m above ground; daily mean                20100329-20151202
order_93928_BEHAK_tre200d0_1_legend.txt Legend    Habkern                              Air temperature 2 m above ground; daily mean                20100329-20151202
order_93928_BEHAK_tre200d0_2_data.txt   Data      Habkern                              Air temperature 2 m above ground; daily mean                20160203-20210414
order_93928_BEHAK_tre200d0_2_legend.txt Legend    Habkern                              Air temperature 2 m above ground; daily mean                20160203-20210414
order_93928_BEHAB_tre200d0_1_data.txt   Data      Hasliberg                            Air temperature 2 m above ground; daily mean                20100329-20151202
order_93928_BEHAB_tre200d0_1_legend.txt Legend    Hasliberg                            Air temperature 2 m above ground; daily mean                20100329-20151202
order_93928_BEHAB_tre200d0_2_data.txt   Data      Hasliberg                            Air temperature 2 m above ground; daily mean                20160203-20210414
order_93928_BEHAB_tre200d0_2_legend.txt Legend    Hasliberg                            Air temperature 2 m above ground; daily mean                20160203-20210414
order_93928_HDI_tre200d0_1_data.txt     Data      Heiligenschwendi                     Air temperature 2 m above ground; daily mean                19601231-19710429
order_93928_HDI_tre200d0_1_legend.txt   Legend    Heiligenschwendi                     Air temperature 2 m above ground; daily mean                19601231-19710429
order_93928_DLHOH_tre200d0_1_data.txt   Data      Hohenpeissenberg                     Air temperature 2 m above ground; daily mean                18000101-18101230
order_93928_DLHOH_tre200d0_1_legend.txt Legend    Hohenpeissenberg                     Air temperature 2 m above ground; daily mean                18000101-18101230
order_93928_DLHOH_tre200d0_2_data.txt   Data      Hohenpeissenberg                     Air temperature 2 m above ground; daily mean                18121231-20210414
order_93928_DLHOH_tre200d0_2_legend.txt Legend    Hohenpeissenberg                     Air temperature 2 m above ground; daily mean                18121231-20210414
order_93928_HOE_tre200d0_1_data.txt     Data      Hörnli                               Air temperature 2 m above ground; daily mean                19911122-20210414
order_93928_HOE_tre200d0_1_legend.txt   Legend    Hörnli                               Air temperature 2 m above ground; daily mean                19911122-20210414
order_93928_WSLISB_tre200d0_1_data.txt  Data      Isone Bestand                        Air temperature 2 m above ground; daily mean                20171231-20210117
order_93928_WSLISB_tre200d0_1_legend.txt Legend    Isone Bestand                        Air temperature 2 m above ground; daily mean                20171231-20210117
order_93928_WSLISF_tre200d0_1_data.txt  Data      Isone Freiland                       Air temperature 2 m above ground; daily mean                20171231-20210110
order_93928_WSLISF_tre200d0_1_legend.txt Legend    Isone Freiland                       Air temperature 2 m above ground; daily mean                20171231-20210110
order_93928_IYJEN_tre200d0_1_data.txt   Data      Jenesien                             Air temperature 2 m above ground; daily mean                20151013-20210414
order_93928_IYJEN_tre200d0_1_legend.txt Legend    Jenesien                             Air temperature 2 m above ground; daily mean                20151013-20210414
order_93928_KIE_tre200d0_1_data.txt     Data      Kiental                              Air temperature 2 m above ground; daily mean                20160104-20210414
order_93928_KIE_tre200d0_1_legend.txt   Legend    Kiental                              Air temperature 2 m above ground; daily mean                20160104-20210414
order_93928_DLKLI_tre200d0_1_data.txt   Data      Klippeneck                           Air temperature 2 m above ground; daily mean                19461231-20210414
order_93928_DLKLI_tre200d0_1_legend.txt Legend    Klippeneck                           Air temperature 2 m above ground; daily mean                19461231-20210414
order_93928_BRL_tre200d0_1_data.txt     Data      La Brévine                           Air temperature 2 m above ground; daily mean                19581231-20210414
order_93928_BRL_tre200d0_1_legend.txt   Legend    La Brévine                           Air temperature 2 m above ground; daily mean                19581231-20210414
order_93928_CDF_tre200d0_1_data.txt     Data      La Chaux-de-Fonds                    Air temperature 2 m above ground; daily mean                19001231-20210414
order_93928_CDF_tre200d0_1_legend.txt   Legend    La Chaux-de-Fonds                    Air temperature 2 m above ground; daily mean                19001231-20210414
order_93928_NELSE_tre200d0_1_data.txt   Data      La Sagne                             Air temperature 2 m above ground; daily mean                20180906-20210414
order_93928_NELSE_tre200d0_1_legend.txt Legend    La Sagne                             Air temperature 2 m above ground; daily mean                20180906-20210414
order_93928_IYLAA_tre200d0_1_data.txt   Data      Laas / Eyrs                          Air temperature 2 m above ground; daily mean                20090720-20210414
order_93928_IYLAA_tre200d0_1_legend.txt Legend    Laas / Eyrs                          Air temperature 2 m above ground; daily mean                20090720-20210414
order_93928_LBA_tre200d0_1_data.txt     Data      Le Brassus                           Air temperature 2 m above ground; daily mean                19741231-19911230
order_93928_LBA_tre200d0_1_legend.txt   Legend    Le Brassus                           Air temperature 2 m above ground; daily mean                19741231-19911230
order_93928_NELOC_tre200d0_1_data.txt   Data      Le Locle                             Air temperature 2 m above ground; daily mean                20180906-20210414
order_93928_NELOC_tre200d0_1_legend.txt Legend    Le Locle                             Air temperature 2 m above ground; daily mean                20180906-20210414
order_93928_MMNOI_tre200d0_1_data.txt   Data      Le Noirmont                          Air temperature 2 m above ground; daily mean                20121008-20210414
order_93928_MMNOI_tre200d0_1_legend.txt Legend    Le Noirmont                          Air temperature 2 m above ground; daily mean                20121008-20210414
order_93928_SEP_tre200d0_1_data.txt     Data      Le Sepey                             Air temperature 2 m above ground; daily mean                19770430-19961230
order_93928_SEP_tre200d0_1_legend.txt   Legend    Le Sepey                             Air temperature 2 m above ground; daily mean                19770430-19961230
order_93928_MMLEN_tre200d0_1_data.txt   Data      Lenk                                 Air temperature 2 m above ground; daily mean                20120824-20120912
order_93928_MMLEN_tre200d0_1_legend.txt Legend    Lenk                                 Air temperature 2 m above ground; daily mean                20120824-20120912
order_93928_MMLEN_tre200d0_2_data.txt   Data      Lenk                                 Air temperature 2 m above ground; daily mean                20121125-20210414
order_93928_MMLEN_tre200d0_2_legend.txt Legend    Lenk                                 Air temperature 2 m above ground; daily mean                20121125-20210414
order_93928_WSLLEB_tre200d0_1_data.txt  Data      Lens Bestand                         Air temperature 2 m above ground; daily mean                20171231-20210413
order_93928_WSLLEB_tre200d0_1_legend.txt Legend    Lens Bestand                         Air temperature 2 m above ground; daily mean                20171231-20210413
order_93928_CHB_tre200d0_1_data.txt     Data      Les Charbonnières                    Air temperature 2 m above ground; daily mean                20140923-20210414
order_93928_CHB_tre200d0_1_legend.txt   Legend    Les Charbonnières                    Air temperature 2 m above ground; daily mean                20140923-20210414
order_93928_MAR_tre200d0_1_data.txt     Data      Les Marécottes                       Air temperature 2 m above ground; daily mean                20150825-20210414
