Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94077

Filename                                Filetype  Station                              Parameter                                                   Period
order_94077_GLFIL_rhh150mx_1_data.txt   Data      Filzbach                             Precipitation; maximum total per hour of the month          201309-201404
order_94077_GLFIL_rhh150mx_1_legend.txt Legend    Filzbach                             Precipitation; maximum total per hour of the month          201309-201404
order_94077_GLFIL_rhh150mx_2_data.txt   Data      Filzbach                             Precipitation; maximum total per hour of the month          201405-201406
order_94077_GLFIL_rhh150mx_2_legend.txt Legend    Filzbach                             Precipitation; maximum total per hour of the month          201405-201406
order_94077_GLFIL_rhh150mx_3_data.txt   Data      Filzbach                             Precipitation; maximum total per hour of the month          201407-201509
order_94077_GLFIL_rhh150mx_3_legend.txt Legend    Filzbach                             Precipitation; maximum total per hour of the month          201407-201509
order_94077_GLFIL_rhh150mx_4_data.txt   Data      Filzbach                             Precipitation; maximum total per hour of the month          201511-201712
order_94077_GLFIL_rhh150mx_4_legend.txt Legend    Filzbach                             Precipitation; maximum total per hour of the month          201511-201712
order_94077_GLFIL_rhh150mx_5_data.txt   Data      Filzbach                             Precipitation; maximum total per hour of the month          201801-201802
order_94077_GLFIL_rhh150mx_5_legend.txt Legend    Filzbach                             Precipitation; maximum total per hour of the month          201801-201802
order_94077_GLFIL_rhh150mx_6_data.txt   Data      Filzbach                             Precipitation; maximum total per hour of the month          201805-201807
order_94077_GLFIL_rhh150mx_6_legend.txt Legend    Filzbach                             Precipitation; maximum total per hour of the month          201805-201807
order_94077_GLFIL_rhh150mx_7_data.txt   Data      Filzbach                             Precipitation; maximum total per hour of the month          201808-202003
order_94077_GLFIL_rhh150mx_7_legend.txt Legend    Filzbach                             Precipitation; maximum total per hour of the month          201808-202003
order_94077_GLFIL_rhh150mx_8_data.txt   Data      Filzbach                             Precipitation; maximum total per hour of the month          202004-202006
order_94077_GLFIL_rhh150mx_8_legend.txt Legend    Filzbach                             Precipitation; maximum total per hour of the month          202004-202006
order_94077_GLFIL_rhh150mx_9_data.txt   Data      Filzbach                             Precipitation; maximum total per hour of the month          202009-202012
order_94077_GLFIL_rhh150mx_9_legend.txt Legend    Filzbach                             Precipitation; maximum total per hour of the month          202009-202012
order_94077_VDFOL_rhh150mx_1_data.txt   Data      Forel                                Precipitation; maximum total per hour of the month          201212-202103
order_94077_VDFOL_rhh150mx_1_legend.txt Legend    Forel                                Precipitation; maximum total per hour of the month          201212-202103
order_94077_GRA_rhh150mx_1_data.txt     Data      Fribourg / Grangeneuve               Precipitation; maximum total per hour of the month          201106-202103
order_94077_GRA_rhh150mx_1_legend.txt   Legend    Fribourg / Grangeneuve               Precipitation; maximum total per hour of the month          201106-202103
order_94077_DLGAR_rhh150mx_1_data.txt   Data      Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          199508-199511
order_94077_DLGAR_rhh150mx_1_legend.txt Legend    Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          199508-199511
order_94077_DLGAR_rhh150mx_2_data.txt   Data      Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          199512-199708
order_94077_DLGAR_rhh150mx_2_legend.txt Legend    Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          199512-199708
order_94077_DLGAR_rhh150mx_3_data.txt   Data      Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          199709-199801
order_94077_DLGAR_rhh150mx_3_legend.txt Legend    Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          199709-199801
order_94077_DLGAR_rhh150mx_4_data.txt   Data      Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          199809-200003
order_94077_DLGAR_rhh150mx_4_legend.txt Legend    Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          199809-200003
order_94077_DLGAR_rhh150mx_5_data.txt   Data      Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          200004-200007
order_94077_DLGAR_rhh150mx_5_legend.txt Legend    Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          200004-200007
order_94077_DLGAR_rhh150mx_6_data.txt   Data      Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          200008-200011
order_94077_DLGAR_rhh150mx_6_legend.txt Legend    Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          200008-200011
order_94077_DLGAR_rhh150mx_7_data.txt   Data      Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          200012-200103
order_94077_DLGAR_rhh150mx_7_legend.txt Legend    Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          200012-200103
order_94077_DLGAR_rhh150mx_8_data.txt   Data      Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          200104-200105
order_94077_DLGAR_rhh150mx_8_legend.txt Legend    Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          200104-200105
order_94077_DLGAR_rhh150mx_9_data.txt   Data      Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          200107-200205
order_94077_DLGAR_rhh150mx_9_legend.txt Legend    Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          200107-200205
order_94077_DLGAR_rhh150mx_10_data.txt  Data      Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          200206-200407
order_94077_DLGAR_rhh150mx_10_legend.txt Legend    Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          200206-200407
order_94077_DLGAR_rhh150mx_11_data.txt  Data      Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          200408-200708
order_94077_DLGAR_rhh150mx_11_legend.txt Legend    Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          200408-200708
order_94077_DLGAR_rhh150mx_12_data.txt  Data      Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          200709-200811
order_94077_DLGAR_rhh150mx_12_legend.txt Legend    Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          200709-200811
order_94077_DLGAR_rhh150mx_13_data.txt  Data      Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          200812-201612
order_94077_DLGAR_rhh150mx_13_legend.txt Legend    Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          200812-201612
order_94077_DLGAR_rhh150mx_14_data.txt  Data      Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          201701-202006
order_94077_DLGAR_rhh150mx_14_legend.txt Legend    Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          201701-202006
order_94077_DLGAR_rhh150mx_15_data.txt  Data      Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          202007-202103
order_94077_DLGAR_rhh150mx_15_legend.txt Legend    Garmisch-Partenkirchen               Precipitation; maximum total per hour of the month          202007-202103
order_94077_DLGEI_rhh150mx_1_data.txt   Data      Geisingen                            Precipitation; maximum total per hour of the month          200905-202103
order_94077_DLGEI_rhh150mx_1_legend.txt Legend    Geisingen                            Precipitation; maximum total per hour of the month          200905-202103
order_94077_SOHIM_rhh150mx_1_data.txt   Data      Himmelried                           Precipitation; maximum total per hour of the month          200612-201310
order_94077_SOHIM_rhh150mx_1_legend.txt Legend    Himmelried                           Precipitation; maximum total per hour of the month          200612-201310
order_94077_SOHIM_rhh150mx_2_data.txt   Data      Himmelried                           Precipitation; maximum total per hour of the month          201312-202008
order_94077_SOHIM_rhh150mx_2_legend.txt Legend    Himmelried                           Precipitation; maximum total per hour of the month          201312-202008
order_94077_SOHIM_rhh150mx_3_data.txt   Data      Himmelried                           Precipitation; maximum total per hour of the month          202009-202103
order_94077_SOHIM_rhh150mx_3_legend.txt Legend    Himmelried                           Precipitation; maximum total per hour of the month          202009-202103
order_94077_DLHOL_rhh150mx_1_data.txt   Data      Holzkirchen                          Precipitation; maximum total per hour of the month          200505-202103
order_94077_DLHOL_rhh150mx_1_legend.txt Legend    Holzkirchen                          Precipitation; maximum total per hour of the month          200505-202103
order_94077_HUT_rhh150mx_1_data.txt     Data      Huttwil                              Precipitation; maximum total per hour of the month          201310-201510
order_94077_HUT_rhh150mx_1_legend.txt   Legend    Huttwil                              Precipitation; maximum total per hour of the month          201310-201510
order_94077_HUT_rhh150mx_2_data.txt     Data      Huttwil                              Precipitation; maximum total per hour of the month          201511-201811
order_94077_HUT_rhh150mx_2_legend.txt   Legend    Huttwil                              Precipitation; maximum total per hour of the month          201511-201811
