 

stn;time;rhs150m0
SBE;201104;16.8
SBE;201105;96.6
SBE;201106;180.1
SBE;201107;323.2
SBE;201108;187.3
SBE;201109;136.8
SBE;201110;65.2
SBE;201111;137.7
SBE;201112;68.9
SBE;201201;66.9
SBE;201202;3.3
SBE;201203;62.2
SBE;201204;180.9
SBE;201205;156.7
SBE;201206;206.9
SBE;201207;194.6
SBE;201208;277.3
SBE;201209;191.6
SBE;201210;139.0
SBE;201211;201.2
SBE;201212;45.8
SBE;201301;39.4
SBE;201302;17.4
SBE;201303;60.4
SBE;201304;223.8
SBE;201305;303.3
SBE;201306;100.6
SBE;201307;82.0
SBE;201308;138.9
SBE;201309;141.0
SBE;201310;383.4
SBE;201311;126.2
SBE;201312;253.1
SBE;201401;245.6
SBE;201402;258.3
SBE;201403;113.6
SBE;201404;79.5
SBE;201405;117.3
SBE;201406;234.4
SBE;201407;246.4
SBE;201408;240.9
SBE;201409;59.9
SBE;201410;286.6
SBE;201411;453.7
SBE;201412;52.4
SBE;201501;110.1
SBE;201502;93.1
SBE;201503;67.1
SBE;201504;95.6
SBE;201505;225.7
SBE;201506;103.9
SBE;201507;102.9
SBE;201508;248.3
SBE;201509;323.2
SBE;201510;147.9
SBE;201511;6.9
SBE;201512;0.2
SBE;201601;69.9
SBE;201602;145.1
SBE;201603;116.8
SBE;201604;221.2
SBE;201605;240.6
SBE;201606;272.0
SBE;201607;133.1
SBE;201608;113.4
SBE;201609;47.3
SBE;201610;112.8
SBE;201611;178.1
SBE;201612;5.1
SBE;201701;15.8
SBE;201702;135.9
SBE;201703;159.0
SBE;201704;155.0
SBE;201705;138.1
SBE;201706;228.1
SBE;201707;102.2
SBE;201708;249.3
SBE;201709;222.5
SBE;201710;4.6
SBE;201711;85.9
SBE;201712;146.3
SBE;201801;147.1
SBE;201802;22.7
SBE;201803;145.9
SBE;201804;170.5
SBE;201805;135.0
SBE;201806;94.8
SBE;201807;148.8
SBE;201808;182.5
SBE;201809;47.4
SBE;201810;303.4
SBE;201811;198.1
SBE;201812;62.9
SBE;201901;30.9
SBE;201902;80.2
SBE;201903;94.4
SBE;201904;242.8
SBE;201905;117.4
SBE;201906;243.1
SBE;201907;84.7
SBE;201908;287.1
SBE;201909;106.0
SBE;201910;288.8
SBE;201911;312.3
SBE;201912;168.0
SBE;202001;22.6
SBE;202002;30.9
SBE;202003;58.3
SBE;202004;78.4
SBE;202005;157.1
SBE;202006;198.4
SBE;202007;54.8
SBE;202008;307.7
SBE;202009;118.2
SBE;202010;366.4
SBE;202011;3.0
SBE;202012;184.9
SBE;202101;117.9
SBE;202102;60.1
SBE;202103;16.1
